,Narito,Aspen Chase,The Great Houdini,Smokeshow,Compassionate,Passeggiata
07-01-2023 12:07:24.215829,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:25.442750,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:26.553565,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:27.692698,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:28.974019,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:30.209363,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:31.352435,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:32.444127,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:33.606968,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:34.687840,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:35.713491,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:36.914643,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:38.063894,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:39.092319,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 25.285714285714285)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:40.216882,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 25.285714285714285)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:41.400391,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 25.285714285714285)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:42.521397,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 25.285714285714285)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:43.527338,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 25.285714285714285)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:44.655627,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:45.796186,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:46.942943,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:48.093658,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:49.172451,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.0)","(2.0, 2.38, 2.3785443037974683)"
07-01-2023 12:07:50.257916,"(4.2, 5.5, 5.333333333333333)","(10.0, 13.5, 13.333333333333334)","(4.4, 5.4, 5.382608695652174)","(11.0, 14.5, 13.875)","(20.0, 27.0, 24.636363636363637)","(2.0, 2.38, 2.382312925170068)"
07-01-2023 12:07:51.274029,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.382312925170068)"
07-01-2023 12:07:52.377380,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.382312925170068)"
07-01-2023 12:07:53.490542,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.382312925170068)"
07-01-2023 12:07:54.538718,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.382312925170068)"
07-01-2023 12:07:55.572101,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.382312925170068)"
07-01-2023 12:07:56.634219,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.382312925170068)"
07-01-2023 12:07:57.635500,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.382312925170068)"
07-01-2023 12:07:58.658013,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.386734693877551)"
07-01-2023 12:07:59.842956,"(4.2, 5.4, 5.322222222222222)","(10.0, 13.0, 12.916666666666666)","(4.4, 5.3, 5.291304347826086)","(11.0, 14.0, 13.875)","(20.0, 25.0, 24.636363636363637)","(2.0, 2.4, 2.386734693877551)"
07-01-2023 12:08:01.203717,"(4.2, 5.4, 5.333333333333333)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.3, 5.39344262295082)","(11.0, 14.0, 13.61111111111111)","(20.0, 25.0, 22.81818181818182)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:02.433245,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.81818181818182)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:03.539174,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.81818181818182)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:04.890115,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.81818181818182)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:06.059234,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.81818181818182)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:07.272278,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:08.367408,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:09.557757,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:10.744250,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:11.711052,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:12.660060,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.39344262295082)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:13.757915,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:14.884907,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:15.975025,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:17.118436,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:18.251186,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:19.264871,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:20.303401,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:21.334111,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:22.409865,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:23.490867,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:24.569047,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:25.628814,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:26.683262,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:27.684327,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392857142857143)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:28.772601,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392156862745098)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:29.843641,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392156862745098)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:30.834919,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392156862745098)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:08:31.968114,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392156862745098)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 22.77777777777778)","(2.0, 2.4, 2.386153846153846)"
07-01-2023 12:09:12.066187,"(4.2, 5.3, 5.288571428571428)","(10.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.392156862745098)","(11.0, 14.5, 13.61111111111111)","(20.0, 23.0, 23.153846153846153)","(2.0, 2.4, 2.3992505854800936)"
07-01-2023 12:09:13.176713,"(4.2, 5.2, 5.126315789473685)","(10.0, 13.0, 12.74074074074074)","(4.4, 5.7, 5.565185185185185)","(11.0, 14.0, 14.3425)","(20.0, 25.0, 24.23076923076923)","(2.0, 2.4, 2.3992505854800936)"
07-01-2023 12:09:14.165153,"(4.2, 5.2, 5.143283582089552)","(10.0, 13.0, 12.766666666666666)","(4.4, 5.6, 5.565185185185185)","(11.0, 14.5, 14.3425)","(20.0, 27.0, 24.23076923076923)","(2.0, 2.4, 2.3992505854800936)"
07-01-2023 12:09:15.179923,"(4.2, 5.2, 5.143283582089552)","(10.0, 13.0, 12.766666666666666)","(4.4, 5.6, 5.565185185185185)","(11.0, 14.5, 14.3425)","(20.0, 27.0, 25.0)","(2.0, 2.4, 2.3986253776435045)"
07-01-2023 12:09:16.197207,"(4.2, 5.1, 5.073684210526316)","(10.0, 13.0, 12.766666666666667)","(4.4, 5.6, 5.572727272727272)","(11.0, 13.5, 13.481182795698924)","(20.0, 25.0, 24.0)","(2.0, 2.4, 2.3986363636363635)"
07-01-2023 12:09:17.249836,"(4.2, 5.1, 5.074666666666666)","(10.0, 13.0, 12.766666666666667)","(4.4, 5.6, 5.573846153846153)","(11.0, 13.5, 13.481182795698924)","(20.0, 25.0, 24.0)","(2.0, 2.4, 2.3986363636363635)"
07-01-2023 12:09:18.271767,"(4.2, 5.1, 5.074666666666666)","(10.0, 13.0, 12.766666666666667)","(4.4, 5.6, 5.573846153846153)","(11.0, 13.5, 13.481182795698924)","(20.0, 25.0, 24.0)","(2.0, 2.4, 2.3986363636363635)"
07-01-2023 12:09:19.317656,"(4.2, 5.1, 5.074666666666666)","(10.0, 13.0, 12.766666666666667)","(4.4, 5.6, 5.573846153846153)","(11.0, 13.5, 13.481182795698924)","(20.0, 25.0, 23.0)","(2.0, 2.4, 2.3981929555895865)"
07-01-2023 12:09:20.363749,"(4.2, 5.1, 5.052941176470588)","(10.0, 13.5, 13.36046511627907)","(4.4, 5.6, 5.548387096774193)","(11.0, 13.5, 13.476190476190476)","(20.0, 23.0, 22.416666666666668)","(2.0, 2.4, 2.3981929555895865)"
07-01-2023 12:09:21.468455,"(4.2, 5.1, 5.052941176470588)","(10.0, 13.5, 13.406976744186046)","(4.4, 5.6, 5.56)","(11.0, 13.5, 13.476190476190476)","(20.0, 23.0, 22.416666666666668)","(2.0, 2.4, 2.3981929555895865)"
07-01-2023 12:09:22.422201,"(4.2, 5.1, 5.052941176470588)","(10.0, 13.5, 13.406976744186046)","(4.4, 5.6, 5.56)","(11.0, 13.5, 13.476190476190476)","(20.0, 23.0, 22.416666666666668)","(2.0, 2.4, 2.3981929555895865)"
07-01-2023 12:09:23.373680,"(4.2, 5.1, 5.052941176470588)","(10.0, 13.5, 13.406976744186046)","(4.4, 5.6, 5.56)","(11.0, 13.5, 13.476190476190476)","(20.0, 23.0, 22.333333333333332)","(2.0, 2.4, 2.3981929555895865)"
07-01-2023 12:09:24.383455,"(4.2, 5.1, 5.052941176470588)","(10.0, 13.5, 13.406976744186046)","(4.4, 5.6, 5.56)","(11.0, 13.5, 13.476190476190476)","(20.0, 23.0, 22.333333333333332)","(2.0, 2.4, 2.3981929555895865)"
07-01-2023 12:09:25.456781,"(4.2, 5.1, 5.052941176470588)","(10.0, 13.5, 13.406976744186046)","(4.4, 5.6, 5.56)","(11.0, 13.5, 13.476190476190476)","(20.0, 23.0, 22.357142857142858)","(2.0, 2.4, 2.398361669242658)"
07-01-2023 12:09:26.593355,"(4.2, 5.1, 5.057142857142857)","(10.0, 13.5, 13.406976744186046)","(4.4, 5.6, 5.555555555555555)","(11.0, 13.5, 13.946745562130177)","(20.0, 23.0, 22.05263157894737)","(2.0, 2.4, 2.398361669242658)"
07-01-2023 12:09:27.489900,"(4.2, 5.1, 5.057142857142857)","(10.0, 14.0, 13.795454545454545)","(4.6, 5.7, 5.579365079365079)","(11.0, 14.0, 13.946745562130177)","(20.0, 23.0, 22.05263157894737)","(2.0, 2.4, 2.398361669242658)"
07-01-2023 12:09:28.532823,"(4.2, 5.1, 5.057142857142857)","(10.0, 14.0, 13.795454545454545)","(4.6, 5.7, 5.579365079365079)","(11.0, 14.0, 13.946745562130177)","(20.0, 23.0, 22.05263157894737)","(2.0, 2.4, 2.398361669242658)"
07-01-2023 12:09:29.671684,"(4.2, 5.1, 5.057142857142857)","(10.0, 14.0, 13.795454545454545)","(4.6, 5.7, 5.579365079365079)","(11.0, 14.0, 13.946745562130177)","(20.0, 23.0, 22.05263157894737)","(2.0, 2.4, 2.398361669242658)"
07-01-2023 12:09:30.629000,"(4.2, 5.1, 5.057142857142857)","(10.0, 14.0, 13.795454545454545)","(4.6, 5.7, 5.579365079365079)","(11.0, 14.0, 13.946745562130177)","(20.0, 23.0, 22.05263157894737)","(2.0, 2.4, 2.398361669242658)"
07-01-2023 12:09:31.637049,"(4.2, 5.1, 5.057142857142857)","(10.0, 14.0, 13.795454545454545)","(4.6, 5.7, 5.579365079365079)","(11.0, 14.0, 13.946745562130177)","(20.0, 23.0, 22.05263157894737)","(2.0, 2.4, 2.398361669242658)"
07-01-2023 12:09:32.798069,"(4.2, 5.1, 5.057142857142857)","(10.0, 14.0, 13.795454545454545)","(4.6, 5.7, 5.579365079365079)","(11.0, 14.0, 13.946745562130177)","(20.0, 23.0, 22.05263157894737)","(2.0, 2.4, 2.3927891156462584)"
07-01-2023 12:09:33.837790,"(4.2, 5.1, 5.057142857142857)","(10.0, 14.0, 13.795454545454545)","(4.6, 5.7, 5.605263157894736)","(11.0, 14.0, 13.969696969696969)","(20.0, 23.0, 21.46153846153846)","(2.0, 2.4, 2.393925925925926)"
07-01-2023 12:09:34.793091,"(4.2, 5.1, 5.070588235294117)","(10.0, 14.0, 13.875)","(4.6, 5.7, 5.605263157894736)","(11.0, 14.0, 13.969696969696969)","(20.0, 23.0, 21.46153846153846)","(2.0, 2.4, 2.394406130268199)"
07-01-2023 12:09:35.852827,"(4.2, 5.1, 5.070588235294117)","(10.0, 14.0, 13.875)","(4.6, 5.7, 5.605263157894736)","(11.0, 14.0, 13.969696969696969)","(20.0, 23.0, 21.46153846153846)","(2.0, 2.4, 2.394406130268199)"
07-01-2023 12:09:36.904967,"(4.2, 5.1, 5.070588235294117)","(10.0, 14.0, 13.875)","(4.6, 5.7, 5.605263157894736)","(11.0, 14.0, 13.969696969696969)","(20.0, 23.0, 21.46153846153846)","(2.0, 2.4, 2.3952131147540983)"
07-01-2023 12:09:37.981476,"(4.2, 5.1, 5.070588235294117)","(10.0, 14.0, 13.875)","(4.6, 5.7, 5.633333333333333)","(11.0, 14.0, 14.428571428571429)","(20.0, 23.0, 22.0)","(2.0, 2.4, 2.3977591036414565)"
07-01-2023 12:09:39.055306,"(4.2, 5.1, 5.045945945945946)","(10.0, 14.5, 13.666666666666666)","(4.6, 5.7, 5.633333333333333)","(11.0, 14.5, 14.457627118644067)","(20.0, 23.0, 22.0)","(2.0, 2.4, 2.3977591036414565)"
07-01-2023 12:09:40.207794,"(4.2, 5.1, 5.086206896551724)","(10.0, 14.5, 13.38888888888889)","(4.6, 5.7, 5.633333333333333)","(11.0, 14.5, 14.441340782122905)","(20.0, 23.0, 22.4)","(2.0, 2.4, 2.398925373134328)"
07-01-2023 12:09:41.349727,"(4.2, 5.1, 5.0777777777777775)","(10.0, 14.0, 13.5)","(4.6, 5.7, 5.633333333333333)","(11.0, 14.5, 14.474285714285715)","(20.0, 23.0, 22.272727272727273)","(2.0, 2.4, 2.398187134502924)"
07-01-2023 12:09:42.466945,"(4.2, 5.2, 5.175)","(10.0, 13.0, 12.625)","(4.6, 5.6, 5.5906666666666665)","(11.0, 13.5, 13.491379310344827)","(19.0, 23.0, 22.272727272727273)","(2.0, 2.4, 2.398187134502924)"
07-01-2023 12:09:43.368214,"(4.2, 5.2, 5.175)","(10.0, 13.0, 12.625)","(4.6, 5.6, 5.5906666666666665)","(11.0, 13.5, 13.491379310344827)","(19.0, 23.0, 22.272727272727273)","(2.0, 2.4, 2.398187134502924)"
07-01-2023 12:09:44.352177,"(4.2, 5.2, 5.175)","(10.0, 13.0, 12.625)","(4.6, 5.6, 5.5906666666666665)","(11.0, 13.5, 13.491379310344827)","(19.0, 23.0, 22.272727272727273)","(2.0, 2.4, 2.398187134502924)"
