,Sirius Bill,Shes Sleek,Galloping Black,Just As Nice,Rubeson,Silver Skylark,Sirius Suzie,Skylark Bully
06-01-2023 13:44:53.233700,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:54.509206,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:55.702205,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:57.083459,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:58.560962,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:59.881646,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:01.101846,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:02.195511,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:03.322929,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:04.565657,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:05.714851,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:06.922928,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:08.141524,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:09.366607,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:10.588775,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:11.764032,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:12.862726,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:14.002432,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:15.127817,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:16.282245,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:17.410532,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:18.557807,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:19.724088,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:20.907664,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:22.097404,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:23.202806,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:45:24.398890,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 170.0)"
06-01-2023 13:45:25.696856,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:26.946666,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:28.209259,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:29.351400,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:30.409242,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:31.493953,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:32.660174,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:33.710120,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:34.901545,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:36.105515,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:37.301617,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:38.759565,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:40.180001,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:41.536086,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:42.935025,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:44.360376,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:45.712995,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:46.919935,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:48.008503,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:49.183984,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:50.381562,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:51.519840,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:52.796453,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:54.044039,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:55.134140,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:56.218396,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:57.301864,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:58.430671,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:45:59.564825,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:46:00.903930,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:46:02.127096,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:46:03.354758,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 153.33333333333331)"
06-01-2023 13:46:04.568008,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 570.0, 150.0)"
06-01-2023 13:46:05.718078,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
06-01-2023 13:46:06.836584,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
06-01-2023 13:46:08.154054,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
06-01-2023 13:46:09.435509,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
06-01-2023 13:46:10.762982,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
06-01-2023 13:46:12.248873,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
06-01-2023 13:46:13.553924,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
06-01-2023 13:46:14.706743,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 21.0, 19.0)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 550.0, 150.0)"
