,Amuri Andy,Know Ratio,Caesar Lies,Made The Cut,Nighthawk Jink,Right On Ramsay,Miss Adobe,Homebush Archie
16-12-2022 11:46:35.140471,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:36.123948,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:37.090954,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:38.096412,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:39.129846,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:40.223952,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:41.274826,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:42.337720,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:43.415647,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:44.483536,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:45.478855,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:46.475899,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:47.468108,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:48.442681,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:49.385038,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:50.369193,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:51.359211,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:52.402815,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:53.417621,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:54.492783,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:55.533431,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:56.575464,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:57.669852,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:58.723790,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:59.831467,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:00.887225,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:01.970785,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:02.946369,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:03.926329,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:04.937314,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:06.071598,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:07.143621,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:08.233786,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:09.340265,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:10.452237,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:11.515716,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:12.555157,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:13.605147,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:14.700500,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:16.010101,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:17.030905,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:18.050317,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:19.098515,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:20.229109,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:21.338843,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:22.406692,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:23.456795,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:24.510785,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:25.535544,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:26.495239,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:27.449615,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:28.412937,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:29.409982,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:30.496967,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:31.593356,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:32.664377,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:33.728024,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:34.857971,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:35.977432,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:36.984799,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:47:38.008364,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
