,Fenton,Ovoid,Reckless Intention,Zillions,Cmon Mate,Charlie Foxtrot,Cyclone Rupert,Lims Synergy,Pennypacker,Star Legacy
08-01-2023 14:27:18.972296,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.52)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:20.133868,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.52)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:21.351170,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.52)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:22.553172,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.453333333333333)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:23.754639,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.453333333333333)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:24.956098,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.453333333333333)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:26.240619,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:27.501637,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:28.752662,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:29.973333,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 230.0, 156.42857142857142)","(101.0, 230.0, 190.0)","(31.0, 230.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 25.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 230.0, 188.88888888888889)"
08-01-2023 14:27:31.124637,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.401818181818182)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:32.252994,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.401818181818182)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:33.420224,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.401818181818182)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:34.584870,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:35.785011,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:36.943776,"(7.5, 14.5, 11.90909090909091)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:38.182268,"(7.5, 14.5, 11.430769230769231)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:39.446573,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:40.739008,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:41.980157,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:43.175402,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:44.305714,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:45.429285,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:46.608138,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:47.833235,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:49.043491,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:50.283391,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 190.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 15.0)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 188.88888888888889)"
08-01-2023 14:27:51.483840,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:27:52.662285,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:27:53.891411,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:27:55.122875,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:27:56.357668,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:27:57.615249,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:27:58.853355,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:28:00.095584,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:28:01.349175,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:28:02.575304,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 160.0)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.453333333333333)","(81.0, 220.0, 164.0)"
08-01-2023 14:28:03.715256,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:04.841073,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:06.009931,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:07.230708,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:08.394715,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:09.608567,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:10.938881,"(7.5, 14.5, 13.075)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.5, 5.2, 4.8)","(2.3, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:12.213962,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:13.413170,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:14.570442,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:15.756549,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.51)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:16.908646,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.453333333333333)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:18.061423,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.453333333333333)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:19.179843,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.453333333333333)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:20.323098,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.453333333333333)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:21.576484,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.453333333333333)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:22.794292,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.453333333333333)","(81.0, 220.0, 126.66666666666666)"
08-01-2023 14:28:24.034807,"(7.0, 14.5, 10.9375)","(5.0, 10.0, 8.4)","(31.0, 220.0, 156.42857142857142)","(101.0, 220.0, 157.5)","(31.0, 220.0, 190.0)","(12.0, 17.0, 16.086956521739133)","(11.0, 24.0, 21.333333333333332)","(3.6, 5.2, 4.8)","(2.35, 2.68, 2.453333333333333)","(81.0, 220.0, 126.66666666666666)"
