,Floral Marg,Limitless Speed,Inconsequential,Wild Rumour,New To Me,Jebrynah Astra,Galileo Brae
16-12-2022 12:53:57.215009,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:58.240106,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:59.282379,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:00.286707,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:01.327623,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:02.389393,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:03.333566,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:04.231234,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:05.278665,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:06.257540,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:07.213317,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:08.168345,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:09.190482,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:10.310151,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:11.371303,"(4.0, 6.6, 6.3374999999999995)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:12.324275,"(4.0, 6.6, 6.1)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:13.281739,"(4.0, 6.6, 6.1)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:14.271732,"(4.0, 6.6, 6.1)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:15.330107,"(4.0, 6.6, 6.3374999999999995)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:16.315492,"(4.0, 6.6, 6.3374999999999995)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:17.257832,"(4.0, 6.6, 6.3374999999999995)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:18.284333,"(4.0, 6.6, 6.3374999999999995)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:19.335912,"(4.0, 6.6, 5.833333333333333)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:20.275252,"(4.0, 6.4, 4.825)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:21.299758,"(4.0, 6.2, 5.566666666666666)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:22.331443,"(4.0, 6.6, 5.833333333333333)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:23.313724,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:24.262170,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:25.283097,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:26.256632,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:27.236348,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:28.197984,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:29.190113,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:30.273792,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:31.399527,"(4.0, 6.6, 6.271428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:32.425864,"(4.0, 6.4, 5.35)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:33.434725,"(4.0, 7.0, 6.071428571428571)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:34.550852,"(4.0, 6.8, 6.615384615384615)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:35.699112,"(4.0, 6.8, 6.615384615384615)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:36.786190,"(4.0, 6.8, 6.615384615384615)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:37.926406,"(4.0, 6.8, 6.615384615384615)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:38.894502,"(4.0, 6.4, 5.733333333333333)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:39.870798,"(4.0, 6.4, 5.733333333333333)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:40.865969,"(4.0, 6.4, 5.26)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:41.851501,"(4.0, 6.4, 5.26)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:42.890969,"(4.0, 6.4, 5.26)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:44.038600,"(4.0, 6.4, 5.26)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:45.079888,"(4.0, 7.0, 5.611111111111111)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:46.134162,"(4.0, 6.4, 5.26)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:54:47.172566,"(4.0, 6.2, 5.86)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.906666666666666)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 24.0, 22.5)"
16-12-2022 12:54:48.283451,"(4.0, 6.2, 5.86)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 26.0, 20.25)"
16-12-2022 12:54:49.418890,"(4.0, 6.8, 5.336363636363636)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:50.473461,"(4.0, 6.8, 5.336363636363636)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:51.434264,"(4.0, 6.8, 5.336363636363636)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:52.487586,"(4.0, 6.8, 5.336363636363636)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:53.599053,"(4.0, 6.8, 5.336363636363636)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:54.616930,"(4.0, 6.8, 5.336363636363636)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:55.635191,"(4.0, 6.6, 6.125)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:56.730043,"(4.0, 6.6, 6.125)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:57.847195,"(4.0, 6.6, 6.314285714285714)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:54:58.980321,"(4.0, 6.6, 6.314285714285714)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:55:00.113308,"(4.0, 6.6, 6.314285714285714)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:55:01.192880,"(4.0, 6.6, 6.314285714285714)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.65, 3.0046666666666666)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:55:02.337459,"(4.0, 6.6, 6.314285714285714)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.25)"
16-12-2022 12:55:03.381954,"(4.0, 6.6, 6.314285714285714)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.5625)"
16-12-2022 12:55:04.474021,"(4.0, 6.6, 5.833333333333333)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 24.227272727272727)"
16-12-2022 12:55:05.636851,"(4.0, 6.6, 5.833333333333333)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 24.227272727272727)"
16-12-2022 12:55:06.690274,"(4.0, 6.6, 6.3999999999999995)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.5625)"
16-12-2022 12:55:07.727134,"(4.0, 6.6, 6.05)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.5625)"
16-12-2022 12:55:08.760568,"(4.0, 6.6, 5.833333333333333)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 23.545454545454547)"
16-12-2022 12:55:09.901316,"(4.0, 6.6, 5.833333333333333)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.875)"
16-12-2022 12:55:11.115859,"(4.0, 6.6, 6.3999999999999995)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.875)"
16-12-2022 12:55:12.225179,"(4.0, 6.6, 6.442857142857143)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 20.875)"
16-12-2022 12:55:13.349533,"(4.0, 6.6, 6.442857142857143)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 25.25)"
16-12-2022 12:55:14.508029,"(4.0, 6.6, 6.442857142857143)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 25.25)"
16-12-2022 12:55:15.706313,"(4.0, 6.6, 6.18)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 25.25)"
16-12-2022 12:55:16.867534,"(4.0, 6.6, 6.42)","(8.5, 15.0, 11.100000000000001)","(2.25, 3.55, 3.476)","(6.0, 10.0, 8.71875)","(4.8, 7.8, 6.675)","(31.0, 240.0, 107.57142857142857)","(12.0, 34.0, 27.77777777777778)"
