,Showem Simon,Dont Yoube Naughty,Beau Hart,Bella Godiva,Just One Good One Nz,Trioli,Non Passare,Rocco Variety,Subtle Advice
12-01-2023 13:57:47.652058,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:48.912581,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:50.138384,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:51.349084,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:52.601200,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:53.991495,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:55.255502,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:56.732926,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:58.165694,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:59.478767,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:00.891742,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:02.111400,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:03.218943,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.633333333333333)","(1.95, 99999, 99990)","(7.5, 12.0, 10.066666666666666)","(7.0, 12.0, 9.55)","(8.0, 12.5, 11.2)","(6.5, 10.0, 9.0)"
12-01-2023 13:58:04.346567,"(20.0, 44.0, 33.714285714285715)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.0, 7.633333333333333)","(1.95, 99999, 99990)","(7.5, 11.5, 10.066666666666666)","(7.0, 11.5, 9.55)","(8.0, 12.0, 11.2)","(6.5, 9.8, 9.0)"
12-01-2023 13:58:05.641113,"(20.0, 44.0, 33.714285714285715)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.0, 6.911111111111111)","(1.95, 99999, 99990)","(7.5, 11.5, 11.042857142857143)","(7.0, 11.5, 9.3)","(8.0, 12.0, 10.433333333333334)","(6.5, 9.8, 9.133333333333333)"
12-01-2023 13:58:06.874917,"(20.0, 44.0, 35.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 6.911111111111111)","(1.95, 99999, 99990)","(7.5, 12.5, 11.042857142857143)","(7.0, 11.0, 9.05)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:08.108982,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.5, 11.042857142857143)","(7.0, 10.5, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:09.410680,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.5, 11.042857142857143)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:10.625889,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.5, 11.042857142857143)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:11.828437,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.5, 11.042857142857143)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:13.032180,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.5, 9.525)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:14.355244,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.5, 10.685714285714287)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:15.546004,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 10.685714285714287)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:16.824049,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 10.685714285714287)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:18.160674,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 10.685714285714287)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:19.410450,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 9.8)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:20.660431,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 9.8)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:21.814951,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 9.8)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:23.003086,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 9.8)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:24.300147,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 9.8)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:58:25.645553,"(20.0, 44.0, 29.6)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 7.8, 7.228571428571428)","(1.95, 99999, 99990)","(7.5, 12.0, 9.8)","(7.0, 11.0, 9.866666666666667)","(8.0, 12.5, 10.433333333333334)","(6.5, 10.0, 9.133333333333333)"
