,Bear Bonus,Billy Nailer,Shaquille,Authority,Stylish Rico,Alpha Ruler,Hendy,Bert And Kenny
14-12-2022 12:36:40.843229,"(3.4, 5.1, 4.328571428571428)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.409090909090909)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:42.278913,"(3.4, 5.1, 4.328571428571428)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.409090909090909)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:43.913622,"(3.4, 5.1, 4.41)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.7437500000000004)","(11.0, 25.0, 13.0)"
14-12-2022 12:36:45.343864,"(3.4, 5.1, 4.5)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 12.725)","(51.0, 410.0, 91.5)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 13.0)"
14-12-2022 12:36:46.594724,"(3.4, 5.1, 4.5)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.485714285714286)","(51.0, 410.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:47.961639,"(3.4, 5.1, 4.623529411764705)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.485714285714286)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:49.294989,"(3.4, 5.1, 4.62)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.485714285714286)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:50.528712,"(3.4, 5.1, 4.62)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.485714285714286)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:51.685488,"(3.4, 5.1, 4.62)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.872727272727273)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:52.785091,"(3.4, 5.1, 4.729411764705882)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.872727272727273)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:53.935312,"(3.4, 5.1, 4.65)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.872727272727273)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:55.399079,"(3.4, 5.1, 4.65)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 13.872727272727273)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 16.0)"
14-12-2022 12:36:56.719582,"(3.4, 5.1, 4.65)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.5, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:36:57.974036,"(3.4, 5.0, 4.742857142857143)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:36:59.267875,"(3.4, 5.0, 4.742857142857143)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:00.513485,"(3.4, 5.0, 4.742857142857143)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:01.656240,"(3.4, 5.0, 4.614285714285715)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:02.881132,"(3.4, 5.0, 4.735294117647059)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:04.060231,"(3.4, 5.0, 4.7)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:05.245297,"(3.4, 5.0, 4.7)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:06.332780,"(3.4, 5.0, 4.55)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:07.405478,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:08.425825,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 338.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:09.505705,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:10.562676,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:11.708236,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:12.856581,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:13.867732,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:14.950595,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:16.081998,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:17.182987,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 12.933333333333334)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:18.271732,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:19.369946,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:20.409775,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:21.454604,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 400.0, 96.57142857142857)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:22.532475,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 400.0, 93.71428571428572)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:23.669738,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:24.779929,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:25.891077,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:27.047663,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:28.188645,"(3.4, 5.1, 4.566666666666666)","(5.5, 9.2, 8.657142857142857)","(4.2, 8.4, 7.828571428571429)","(61.0, 530.0, 350.0)","(7.5, 14.0, 11.52)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.7437500000000004)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:29.445721,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 7.153846153846153)","(4.2, 8.4, 7.0)","(61.0, 530.0, 350.0)","(7.5, 14.0, 9.66)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:30.640086,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 7.153846153846153)","(4.2, 8.4, 7.0)","(61.0, 530.0, 350.0)","(7.5, 14.0, 9.66)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:31.920703,"(3.4, 5.1, 4.792307692307692)","(5.5, 9.2, 7.153846153846153)","(4.2, 8.4, 7.0)","(61.0, 530.0, 350.0)","(7.5, 14.0, 9.66)","(51.0, 380.0, 87.75)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:33.382128,"(3.4, 5.1, 4.742857142857143)","(5.5, 9.2, 7.153846153846153)","(4.2, 8.4, 7.0)","(61.0, 530.0, 350.0)","(7.5, 14.0, 9.66)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:34.732396,"(3.4, 5.0, 4.742857142857143)","(5.5, 9.2, 7.153846153846153)","(4.2, 8.4, 7.0)","(61.0, 530.0, 350.0)","(7.5, 14.0, 9.66)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:35.948493,"(3.4, 5.0, 4.742857142857143)","(5.5, 9.2, 7.153846153846153)","(4.2, 8.4, 7.0)","(61.0, 530.0, 350.0)","(7.5, 14.0, 9.66)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:37.227303,"(3.4, 5.0, 4.742857142857143)","(5.5, 9.2, 7.153846153846153)","(4.2, 8.4, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:38.463014,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:39.734083,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:41.013364,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:42.202230,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:43.319063,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:44.522261,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:45.726043,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:46.854827,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:48.025944,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.2, 7.144444444444444)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:49.338933,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:50.568438,"(3.4, 5.0, 4.623529411764705)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:51.676751,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:52.718664,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:53.866883,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 185.16666666666666)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:55.046771,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 146.2)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:56.216877,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 338.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 146.2)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
