,Russian Berry,Black Compass,Aston Samba,Rear View Mirror,Zilker Park,Kaheem Bale,Meteor Monelli,Call Me Marley
06-01-2023 16:10:29.387242,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:30.443991,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:31.568514,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:32.706186,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:33.798591,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:34.941928,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:36.074470,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:37.220448,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:38.350901,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:39.482964,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:40.650623,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:41.799224,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:42.899513,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:43.921406,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:44.938722,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:46.026705,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:47.121678,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:48.213039,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:49.321897,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:50.463376,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:51.646550,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:52.810124,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:53.990052,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:55.152574,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:56.271147,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:57.425318,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:58.512287,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:59.563691,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:00.579060,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:01.562899,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:02.636631,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:03.775832,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:04.894602,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:06.018618,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:07.158334,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:08.232101,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:09.315411,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:10.289349,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:11.285120,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:12.398287,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:13.576965,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:14.679912,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:15.806377,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:16.925860,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:17.975477,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:18.980641,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:19.984814,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:21.017596,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:11:22.140826,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
