,Ravioli,Awesome Fred,Tralee Doll,Bundy Rose,Shimmy Debacle,Little Olivia,Full Of Zip,Hidden Houdini
04-01-2023 11:21:06.973595,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:07.944681,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:08.975454,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:10.002336,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:11.073866,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:12.123130,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:13.186742,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:14.260333,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:15.369406,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:16.493533,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
