,Danish Prince,Tympanist,Green Shadows,Wategos,Wineglass Bay,Semana
07-01-2023 11:22:13.521818,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:14.433069,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:15.343252,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:16.352045,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:17.358705,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:18.325625,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:19.340392,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:20.383431,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:21.285538,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:22.149929,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:23.112145,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:24.132546,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:25.136817,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:26.185705,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:27.174882,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:28.056388,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:29.040109,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:30.001647,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:30.906468,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:31.888519,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:32.888419,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:33.879876,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:34.792597,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:35.745464,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:36.692271,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:37.665683,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:38.655800,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:39.614461,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:40.555741,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:41.506298,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:42.474859,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:43.382227,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:44.369398,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:45.407569,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:46.436012,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:47.389831,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:48.316584,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:49.266723,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:50.171820,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:51.138579,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:52.083720,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:53.072689,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:54.105001,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:55.135879,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:56.081950,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:56.999447,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:57.999546,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.96, 2.873333333333333)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:59.064614,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.94, 2.873333333333333)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:00.088014,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.94, 2.873333333333333)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:00.993769,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.94, 2.873333333333333)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:01.984463,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.94, 2.873333333333333)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:02.959393,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.94, 2.873333333333333)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:03.850201,"(9.0, 12.5, 10.53125)","(9.0, 11.0, 9.410596026490067)","(2.4, 2.94, 2.873333333333333)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:04.819278,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8649999999999998)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:05.795818,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8649999999999998)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:23:06.781058,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8649999999999998)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:07.825798,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8899999999999997)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:08.830921,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8899999999999997)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:09.701747,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8899999999999997)","(10.0, 14.0, 13.0)","(4.8, 7.2, 6.245454545454546)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:10.652064,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8899999999999997)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.74)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:11.679177,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8899999999999997)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.74)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:12.719614,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.94, 2.8443478260869566)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.74)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:13.709683,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.74)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:14.680989,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.74)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:15.650197,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.74)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:16.532109,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.74)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:17.438160,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:18.460103,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:19.480583,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:20.428221,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:21.483620,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 13.0)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:22.540794,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:23.421460,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:24.388704,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:25.384177,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:26.368724,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:27.275319,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:28.258864,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:29.256147,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:30.143007,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:31.048407,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:31.971939,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:32.957917,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:34.033159,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:35.073215,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:36.045886,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:36.964226,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:37.875609,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.846086956521739)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:38.799973,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.845833333333333)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:39.755768,"(9.0, 12.5, 10.53125)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.845833333333333)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
07-01-2023 11:23:40.766294,"(9.0, 12.5, 10.752941176470587)","(9.0, 10.0, 9.5)","(2.4, 2.98, 2.845833333333333)","(10.0, 14.0, 12.25)","(4.8, 6.0, 5.778723404255319)","(3.9, 5.1, 4.705263157894737)"
