,Bundy Traveller,Stuck In Mud,Miss Maggie May,Abby Road,Zambora Blaster,Pure Devil,Gagan Singlets,Sadie Seahorse
04-01-2023 11:36:08.540990,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:09.612105,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:10.705182,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:11.774210,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:12.868726,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:13.907698,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:14.941100,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:15.938034,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:16.923886,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:17.936310,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:18.962736,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:19.985097,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:20.988463,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:21.966560,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:22.986018,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:24.022614,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:25.069683,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:26.134555,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:27.222862,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:28.286203,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:29.378209,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:30.422202,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:31.475363,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:32.539536,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:33.615555,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:34.674202,"(2.1, 3.05, 2.2094444444444448)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:35.766456,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:36.837579,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:37.924095,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:38.995002,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:40.037961,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:41.092589,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:42.106704,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:43.092605,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:44.098756,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:45.108916,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:46.118192,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:47.113075,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:48.119448,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:49.116592,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:50.108297,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:51.106958,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:52.191131,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:53.302922,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:54.350080,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:55.450989,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:56.523326,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:57.669392,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:58.837186,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:59.887555,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:00.977346,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:02.112962,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:03.162010,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:04.225883,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:05.325572,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:06.375055,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:07.472564,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:08.493181,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:09.568232,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:10.591825,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:11.685405,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:12.689447,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:13.702192,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:14.725401,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:15.765872,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:16.769966,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:17.820828,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:18.809750,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:19.811809,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:37:20.884596,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.228)","(4.6, 9.2, 8.670588235294117)"
