,Greek Flame,Greek Temptation,Typhoon Nellie,Sketchy Russ,Winlock Augustus,Be Good Beach,Stinger Casey,Winlock Too Much
05-01-2023 15:22:11.200938,"(5.5, 9.8, 7.1000000000000005)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.485714285714286)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.35)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:12.370320,"(5.5, 9.8, 7.1000000000000005)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.485714285714286)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.35)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:13.563676,"(5.5, 9.8, 7.1000000000000005)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.485714285714286)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.35)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:14.648957,"(5.5, 9.8, 7.1000000000000005)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.485714285714286)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.35)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:15.700170,"(5.5, 9.8, 7.1000000000000005)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.485714285714286)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.35)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:16.825063,"(5.5, 11.0, 7.8)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:18.062492,"(5.5, 11.0, 7.8)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:19.273860,"(5.5, 11.0, 7.8)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:20.444774,"(5.5, 11.0, 7.8)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:21.528735,"(5.5, 11.0, 7.8)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:22.580675,"(5.5, 11.0, 7.8)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:23.718587,"(5.5, 11.0, 7.8)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:24.885919,"(5.5, 11.0, 9.333333333333334)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:26.110005,"(5.5, 11.0, 9.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:27.375781,"(5.5, 11.0, 9.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:28.567729,"(5.5, 11.0, 9.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:29.738311,"(5.5, 11.0, 9.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:30.804634,"(5.5, 11.0, 10.022222222222222)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:31.918838,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:33.032588,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:34.203713,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:35.377259,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:36.567852,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:37.788929,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:39.037717,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:40.231496,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:41.405822,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:42.557363,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:43.624726,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:44.714469,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:45.890623,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:47.036807,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:48.193103,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:49.338452,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:50.607643,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:51.874184,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:53.132504,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:54.410605,"(5.5, 11.0, 9.533333333333333)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.699999999999999)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:55.755729,"(5.5, 11.0, 9.4)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.2, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:57.018293,"(5.5, 11.0, 9.4)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:58.225382,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:59.348702,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.0, 10.18)"
05-01-2023 15:23:00.441541,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:01.610694,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:02.832980,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:04.029854,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:05.164048,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:06.300977,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:07.417347,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.333333333333334)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:08.462297,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:09.531724,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:10.663897,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:11.795047,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:12.978027,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:14.166852,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:15.389618,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:16.612845,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:17.995336,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:19.402934,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
05-01-2023 15:23:20.644134,"(5.5, 11.0, 10.16)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 4.9, 4.66)","(8.5, 16.5, 10.18)"
