,Gray Royality,Blanquita Nieve,Rose Knows,Out Ona Limb,Mind Your Own,Chargina,Perfect Limit
14-12-2022 11:57:03.168922,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.884)","(51.0, 980.0, 668.6666666666666)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 17.4)"
14-12-2022 11:57:04.177960,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.884)","(51.0, 980.0, 515.0)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:05.322884,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 515.0)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:06.409100,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 360.0)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:07.501597,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 517.5)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:08.543332,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 356.0)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:09.560739,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 356.0)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:10.670744,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 602.4000000000001)","(3.3, 4.2, 3.64)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:11.677225,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 602.4000000000001)","(3.3, 4.2, 3.64)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:12.594136,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8709090909090906)","(51.0, 980.0, 349.3333333333333)","(3.3, 4.2, 3.7125)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:13.559745,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.848)","(51.0, 980.0, 664.6666666666666)","(3.3, 4.1, 3.9624999999999995)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:14.486345,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.848)","(51.0, 980.0, 790.8)","(3.3, 4.1, 3.9624999999999995)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:15.499824,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.848)","(51.0, 980.0, 602.4000000000001)","(3.3, 4.1, 3.9624999999999995)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:16.521179,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.858181818181818)","(51.0, 980.0, 602.4000000000001)","(3.3, 4.1, 3.9624999999999995)","(4.8, 5.4, 5.2)","(14.0, 21.0, 18.166666666666668)"
14-12-2022 11:57:17.691848,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.75)","(2.3, 2.88, 2.858181818181818)","(51.0, 980.0, 710.8571428571429)","(3.3, 4.1, 3.8499999999999996)","(4.8, 5.4, 5.2)","(14.0, 21.0, 13.166666666666666)"
14-12-2022 11:57:18.728684,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.88, 2.858181818181818)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(4.8, 5.4, 5.2)","(14.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:19.782580,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.9)","(2.3, 2.88, 2.8676923076923075)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(4.8, 5.4, 5.348275862068966)","(14.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:20.805154,"(9.0, 14.0, 12.64)","(12.0, 19.0, 18.1)","(2.3, 2.88, 2.8748936170212764)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(4.8, 5.4, 5.348275862068966)","(14.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:21.868349,"(9.0, 14.0, 12.64)","(12.0, 19.0, 18.1)","(2.3, 2.88, 2.8748936170212764)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(4.8, 5.4, 5.348275862068966)","(14.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:22.909878,"(9.0, 14.0, 12.64)","(13.0, 19.0, 18.1)","(2.3, 2.88, 2.8748936170212764)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:23.896067,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.8748936170212764)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:24.829350,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.848)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:25.793428,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.848)","(51.0, 980.0, 510.0)","(3.3, 4.1, 3.94)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:26.779009,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.848)","(51.0, 980.0, 578.0)","(3.3, 4.1, 3.94)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:27.776025,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.848)","(51.0, 980.0, 512.0)","(3.3, 4.1, 4.0)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:28.789754,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.848)","(51.0, 980.0, 512.0)","(3.3, 4.1, 4.0)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:29.840748,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.87)","(51.0, 980.0, 512.0)","(3.3, 4.1, 4.0)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:30.801901,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.88, 2.87)","(51.0, 980.0, 512.0)","(3.3, 4.1, 4.0)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.166666666666666)"
14-12-2022 11:57:31.827030,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.9, 2.8688)","(51.0, 980.0, 512.0)","(3.3, 4.1, 4.043749999999999)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.0)"
14-12-2022 11:57:32.910303,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.9, 2.8688)","(51.0, 980.0, 605.5999999999999)","(3.3, 4.1, 3.9916666666666667)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.0)"
14-12-2022 11:57:33.878475,"(9.0, 14.0, 12.64)","(13.0, 19.0, 18.333333333333332)","(2.3, 2.9, 2.8688)","(51.0, 980.0, 605.5999999999999)","(3.3, 4.2, 3.9916666666666667)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.0)"
14-12-2022 11:57:34.902101,"(9.0, 14.0, 12.64)","(13.0, 19.0, 17.25)","(2.3, 2.9, 2.8688)","(51.0, 980.0, 605.5999999999999)","(3.3, 4.2, 3.9916666666666667)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.0)"
14-12-2022 11:57:35.986577,"(9.0, 14.0, 12.64)","(13.0, 19.0, 17.25)","(2.3, 2.9, 2.874285714285714)","(51.0, 980.0, 605.5999999999999)","(3.3, 4.2, 3.9916666666666667)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.0)"
14-12-2022 11:57:36.971057,"(9.0, 14.0, 12.64)","(13.0, 19.0, 17.25)","(2.3, 2.9, 2.874285714285714)","(51.0, 980.0, 354.6666666666667)","(3.3, 4.2, 3.9916666666666667)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.0)"
14-12-2022 11:57:38.044800,"(9.0, 14.0, 12.64)","(13.0, 19.0, 17.25)","(2.3, 2.86, 2.855)","(51.0, 980.0, 605.5999999999999)","(3.3, 4.2, 4.007692307692308)","(5.0, 5.4, 5.233333333333333)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:39.080127,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.9, 2.855)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.4, 5.033333333333333)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:40.093567,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.9, 2.855)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.3, 5.465)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:41.093259,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 18.4)","(2.3, 2.9, 2.855)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.6, 5.199999999999999)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:42.048682,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.9, 2.855)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.6, 5.4702702702702695)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:43.016379,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.88, 2.8499999999999996)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.6, 5.4702702702702695)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:44.001112,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.88, 2.8499999999999996)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.6, 5.4702702702702695)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:44.990203,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.94, 2.922222222222222)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.6, 5.4702702702702695)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:46.039860,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.94, 2.933333333333333)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.6, 5.4702702702702695)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:47.208868,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.94, 2.933333333333333)","(51.0, 980.0, 604.0)","(3.3, 4.2, 3.93)","(5.0, 5.6, 5.32)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:48.377337,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.94, 2.913333333333333)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.492307692307692)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:49.380144,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 17.25)","(2.3, 2.94, 2.913333333333333)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.492307692307692)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:50.394688,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.913333333333333)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.449999999999999)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:51.438172,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.913333333333333)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.449999999999999)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:52.410975,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.913333333333333)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.449999999999999)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:53.386719,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.88)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.445714285714286)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:54.439843,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.88)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.445714285714286)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:55.484653,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.88)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.445714285714286)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:56.450664,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.88)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.445714285714286)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:57.431507,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.88)","(51.0, 980.0, 278.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.445714285714286)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:58.430420,"(9.0, 14.0, 12.64)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.88)","(51.0, 980.0, 419.6)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.327272727272727)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:57:59.398135,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 16.9)","(2.3, 2.94, 2.88)","(51.0, 980.0, 278.0)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.327272727272727)","(15.0, 14.0, 13.11111111111111)"
14-12-2022 11:58:00.402506,"(9.0, 14.0, 12.641891891891891)","(13.0, 19.0, 16.9)","(2.3, 2.86, 2.8133333333333335)","(51.0, 980.0, 419.6)","(3.3, 4.2, 3.9)","(5.0, 5.6, 5.5249999999999995)","(15.0, 14.0, 13.11111111111111)"
