,Rickshaw Lass,Coalville Girl,Goolagong,Mr Larson,Reality Jewel,Dance Mode,Pacific Prayer
05-01-2023 14:19:28.883044,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.257142857142857)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:30.311129,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.257142857142857)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:31.580870,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.257142857142857)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:32.811631,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.507692307692308)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:34.001455,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.507692307692308)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:35.185053,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.507692307692308)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:36.646642,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.507692307692308)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:37.942834,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.507692307692308)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:39.211805,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 5.666666666666666)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:40.419003,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:41.632785,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:42.913522,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:44.310846,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:45.603516,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:46.962095,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:48.364689,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:49.651280,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:51.254384,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:52.553722,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:53.884224,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:55.144544,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:56.497886,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.957142857142857)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4399999999999995)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:57.857557,"(4.2, 6.0, 5.1692307692307695)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.825)","(5.5, 13.0, 10.4)","(4.0, 6.8, 5.96)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:59.097308,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.2, 5.96)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:00.288322,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.2, 5.96)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:01.559544,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.2, 5.96)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:02.881783,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.2, 5.8)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:04.390042,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.0, 5.8)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:05.736820,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.0, 5.8)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:07.006404,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.0, 5.8)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:08.266603,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.0, 5.8)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:09.521698,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.0, 5.8)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:10.810821,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 6.0, 6.408)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:12.129947,"(4.2, 6.0, 5.271428571428571)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.955)","(5.5, 13.0, 10.4)","(4.0, 7.2, 6.375)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:13.412939,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.888888888888888)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.407692307692307)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:14.607768,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.888888888888888)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.407692307692307)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:15.793205,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.888888888888888)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.407692307692307)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:16.956879,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.888888888888888)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.407692307692307)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:18.140327,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 4.888888888888888)","(5.5, 13.0, 11.533333333333333)","(4.0, 6.8, 6.407692307692307)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:19.426526,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 11.533333333333333)","(4.0, 6.8, 6.407692307692307)","(7.5, 14.0, 11.0)"
05-01-2023 14:20:20.660854,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 14.0, 12.583333333333332)"
05-01-2023 14:20:21.877066,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:23.148091,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:24.327035,"(4.2, 6.0, 4.628571428571429)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:25.600525,"(4.2, 6.0, 4.785)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:26.827914,"(4.2, 6.4, 4.785)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:28.123119,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:29.454472,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:30.629685,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:31.889462,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:33.405408,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:34.751912,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:35.960170,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 33.84615384615385)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:37.144079,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 38.75)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:38.375088,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 38.75)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:39.573842,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 38.75)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:40.711274,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 38.75)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:41.875399,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 38.75)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:43.142790,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 38.75)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:44.389782,"(4.2, 6.2, 5.066666666666666)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:45.645379,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:46.796086,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:47.941199,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 4.888888888888888)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.407692307692307)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:49.151249,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:50.445588,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:51.642088,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:52.814085,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:54.004445,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:55.255410,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:56.494534,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:57.666524,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:20:58.857579,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:21:00.123361,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:21:01.354847,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 6.114285714285714)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:21:02.726584,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.125)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.8, 5.7)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:21:04.221190,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.1045454545454545)","(5.5, 12.0, 10.666666666666666)","(4.0, 6.2, 5.7555555555555555)","(7.5, 13.5, 12.583333333333332)"
05-01-2023 14:21:05.406854,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.1045454545454545)","(5.5, 12.0, 11.366666666666667)","(4.0, 6.2, 5.7555555555555555)","(7.5, 13.5, 10.75)"
05-01-2023 14:21:06.559157,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.1045454545454545)","(5.5, 12.0, 11.525)","(4.0, 6.2, 5.7555555555555555)","(7.5, 13.5, 10.75)"
05-01-2023 14:21:07.860645,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.1045454545454545)","(5.5, 12.0, 11.525)","(4.0, 6.2, 5.7555555555555555)","(7.5, 13.5, 10.75)"
05-01-2023 14:21:09.056445,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.1045454545454545)","(5.5, 12.0, 11.525)","(4.0, 6.2, 5.7555555555555555)","(7.5, 13.5, 10.75)"
05-01-2023 14:21:10.101429,"(4.2, 6.2, 5.4714285714285715)","(5.0, 8.0, 6.7555555555555555)","(20.0, 65.0, 37.14285714285714)","(4.2, 6.4, 5.1045454545454545)","(5.5, 12.0, 11.525)","(4.0, 6.2, 6.026086956521739)","(7.5, 13.5, 12.583333333333332)"
