,Fish Tog Giblet,Extravagant,Trapped,Perfect Treasure,Ertugrul Bey,Mad Brax,Locke Bale,Hannele Bale
06-01-2023 16:37:35.693752,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:36.802185,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:37.845390,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:38.929373,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:40.031385,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 18.166666666666664)"
06-01-2023 16:37:41.163590,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 22.0, 16.772727272727273)"
06-01-2023 16:37:42.370962,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 22.0, 16.772727272727273)"
06-01-2023 16:37:43.540317,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 22.0, 16.772727272727273)"
06-01-2023 16:37:44.704461,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 22.0, 16.772727272727273)"
06-01-2023 16:37:45.904169,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 22.0, 16.772727272727273)"
