,Special Ella,Big Time Yonkers,Homebush Red,Homebush Allison,Goldstar Jericho,Wild Thyme,Homebush Ari,Know Vibes
09-01-2023 11:32:08.030474,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:09.218254,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:10.444880,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:11.641218,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:12.900833,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:14.063653,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:15.258011,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:16.501055,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:17.694086,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:18.907763,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:20.127064,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:21.320148,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:22.557512,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:23.757653,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:24.911847,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:26.161711,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:27.335726,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:28.532391,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:29.763473,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:30.959955,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:32.212396,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:33.405539,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:34.597573,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:35.813330,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:36.970068,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:38.117462,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:39.277060,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:40.430575,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:41.559257,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:42.568631,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:43.553186,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:44.611294,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:45.656978,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:46.746644,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:47.900560,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:49.060066,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:50.239797,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:51.470919,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:52.636380,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:53.865096,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:55.155858,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:56.376283,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:57.638444,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:58.894396,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:00.131693,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:01.389128,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:02.629168,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:03.848744,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:05.088026,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:06.317391,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:07.549743,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:08.819272,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:10.050057,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:11.275842,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:12.486573,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:13.729092,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:14.956492,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:16.172313,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:17.396542,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:18.644965,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:19.900408,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:21.092494,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:22.287543,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:23.476232,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:24.613847,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:25.736366,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:26.737961,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:27.734326,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:28.819761,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:29.962743,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:33:31.177697,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
