,Hearts And Minds,Kazio,Demando,Coastal Town,Rich Memories,Playing It Safe,Laureus,Longtimedreaming,Mahrez,Golwen
08-12-2022 14:26:36.340815,"(11.0, 15.5, 14.78169014084507)","(7.5, 9.0, 8.838095238095239)","(4.6, 5.5, 5.434375)","(7.0, 9.0, 9.05546218487395)","(21.0, 27.0, 27.464285714285715)","(7.0, 7.4, 6.854658385093168)","(7.5, 9.6, 9.51063829787234)","(16.0, 17.0, 17.006666666666668)","(4.4, 5.4, 5.450699300699301)","(101.0, 660.0, 510.0)"
08-12-2022 14:26:37.864146,"(11.0, 15.5, 14.87037037037037)","(7.5, 9.2, 9.094117647058823)","(4.6, 5.5, 5.4491525423728815)","(7.0, 9.2, 9.214173228346455)","(21.0, 28.0, 27.464285714285715)","(7.0, 7.0, 6.7627906976744185)","(7.5, 9.6, 9.584999999999999)","(16.0, 17.5, 17.158823529411766)","(4.4, 5.5, 5.491379310344827)","(101.0, 660.0, 587.5)"
08-12-2022 14:26:39.350347,"(11.0, 15.5, 14.91095890410959)","(7.5, 9.2, 9.094117647058823)","(4.6, 5.5, 5.456521739130435)","(7.0, 9.4, 9.226086956521739)","(21.0, 28.0, 27.464285714285715)","(7.0, 6.8, 6.7627906976744185)","(7.5, 9.6, 9.576)","(16.0, 17.5, 17.158823529411766)","(4.4, 5.6, 5.5251396648044695)","(101.0, 660.0, 604.0)"
08-12-2022 14:26:40.856011,"(11.0, 15.5, 14.91095890410959)","(7.5, 9.2, 9.064)","(4.6, 5.5, 5.356896551724138)","(7.0, 9.4, 9.249382716049382)","(21.0, 28.0, 27.53125)","(7.0, 6.8, 6.7627906976744185)","(7.5, 9.6, 9.585365853658537)","(16.0, 17.5, 17.12121212121212)","(4.4, 5.6, 5.527950310559006)","(101.0, 660.0, 604.0)"
08-12-2022 14:26:42.388028,"(11.0, 15.5, 14.905405405405405)","(8.0, 9.2, 9.094117647058823)","(4.6, 5.4, 5.296619718309859)","(7.0, 9.4, 9.245977011494253)","(21.0, 28.0, 27.482758620689655)","(7.0, 6.8, 6.7627906976744185)","(7.5, 9.6, 9.738461538461538)","(16.0, 17.5, 16.39855072463768)","(4.4, 5.6, 5.613930348258706)","(101.0, 660.0, 604.0)"
08-12-2022 14:26:43.859302,"(11.0, 15.0, 14.847826086956522)","(8.0, 9.2, 9.094117647058823)","(4.6, 5.3, 5.297297297297297)","(7.0, 9.4, 9.245977011494253)","(21.0, 28.0, 28.52)","(7.0, 6.8, 6.7627906976744185)","(7.5, 10.0, 9.761904761904761)","(16.0, 16.5, 16.39855072463768)","(4.4, 5.7, 5.613930348258706)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:45.304695,"(11.0, 15.0, 14.847826086956522)","(8.0, 9.2, 9.061728395061728)","(4.6, 5.3, 5.375)","(7.0, 9.4, 9.245977011494253)","(21.0, 29.0, 28.15)","(7.0, 6.8, 6.7627906976744185)","(7.5, 10.0, 9.761904761904761)","(16.0, 16.5, 16.383333333333333)","(4.4, 5.7, 5.575539568345324)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:46.731290,"(11.0, 15.0, 14.847826086956522)","(8.0, 9.2, 9.061728395061728)","(4.6, 5.4, 5.375)","(7.0, 9.4, 9.236585365853658)","(21.0, 29.0, 27.72)","(7.0, 6.8, 6.7627906976744185)","(7.5, 10.0, 9.761904761904761)","(16.0, 16.5, 16.904761904761905)","(4.4, 5.7, 5.581911262798635)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:48.204638,"(11.0, 15.0, 14.847826086956522)","(8.0, 9.2, 9.061728395061728)","(4.6, 5.4, 5.367521367521368)","(7.0, 9.4, 9.236585365853658)","(21.0, 28.0, 27.666666666666668)","(7.0, 6.8, 6.7627906976744185)","(7.5, 10.0, 9.754545454545454)","(16.0, 17.0, 16.394736842105264)","(4.4, 5.7, 5.581911262798635)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:49.635296,"(11.0, 15.0, 14.847826086956522)","(8.0, 9.2, 9.1)","(4.6, 5.4, 5.371601208459214)","(7.0, 9.4, 9.241666666666665)","(21.0, 28.0, 27.666666666666668)","(7.0, 6.8, 6.761904761904762)","(7.5, 10.0, 9.754545454545454)","(16.0, 16.5, 16.394736842105264)","(4.4, 5.7, 5.581911262798635)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:51.197047,"(11.0, 15.0, 14.847826086956522)","(8.0, 9.2, 9.13103448275862)","(4.6, 5.4, 5.371601208459214)","(7.0, 9.4, 9.241666666666665)","(21.0, 28.0, 27.666666666666668)","(7.0, 6.8, 6.761904761904762)","(7.5, 10.0, 9.754545454545454)","(16.0, 16.5, 15.84920634920635)","(4.4, 5.7, 5.581911262798635)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:52.675155,"(11.0, 15.0, 14.840909090909092)","(8.0, 9.2, 9.128301886792453)","(4.6, 5.4, 5.373219373219373)","(7.0, 9.4, 9.225396825396825)","(21.0, 28.0, 27.375)","(7.0, 6.8, 6.895121951219512)","(7.5, 10.0, 9.82)","(16.0, 16.0, 15.745454545454546)","(4.4, 5.7, 5.586642599277979)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:54.132863,"(11.0, 15.0, 14.840909090909092)","(8.0, 9.2, 9.128301886792453)","(4.6, 5.4, 5.373219373219373)","(7.0, 9.4, 9.251351351351351)","(21.0, 28.0, 27.736842105263158)","(6.5, 7.0, 6.895121951219512)","(7.5, 10.0, 9.82)","(15.0, 16.0, 15.423076923076923)","(4.4, 5.7, 5.586642599277979)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:55.637289,"(11.0, 15.0, 14.840909090909092)","(8.0, 9.2, 9.26153846153846)","(4.6, 5.4, 5.17570093457944)","(7.0, 9.4, 9.325)","(21.0, 28.0, 27.736842105263158)","(6.5, 7.0, 6.918181818181818)","(7.5, 10.0, 9.82)","(15.0, 15.5, 15.423076923076923)","(4.4, 5.7, 5.586642599277979)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:57.098369,"(11.0, 15.0, 14.840909090909092)","(8.0, 9.4, 9.26153846153846)","(4.6, 5.2, 5.172340425531915)","(7.0, 9.4, 9.325)","(21.0, 28.0, 27.791666666666668)","(6.5, 7.0, 6.896296296296296)","(7.5, 10.0, 9.775)","(15.0, 15.5, 15.423076923076923)","(4.4, 5.7, 5.586642599277979)","(101.0, 660.0, 525.0)"
08-12-2022 14:26:58.641368,"(11.0, 15.0, 14.817460317460318)","(8.0, 9.4, 9.478260869565217)","(4.6, 5.2, 5.009375)","(7.0, 9.4, 9.535)","(21.0, 28.0, 27.977777777777778)","(6.5, 7.0, 6.911428571428571)","(7.5, 10.0, 10.060344827586206)","(15.0, 15.5, 14.925925925925926)","(4.4, 5.7, 5.625592417061611)","(101.0, 660.0, 525.0)"
08-12-2022 14:27:00.150350,"(11.0, 15.5, 14.838983050847457)","(8.0, 9.6, 9.454545454545453)","(4.6, 5.1, 4.995488721804511)","(7.0, 9.6, 9.611235955056179)","(21.0, 29.0, 28.15)","(6.5, 7.0, 6.897520661157024)","(7.5, 10.5, 9.933333333333334)","(15.0, 15.0, 14.78125)","(4.4, 5.7, 5.593197278911565)","(101.0, 660.0, 525.0)"
08-12-2022 14:27:01.738943,"(11.0, 15.5, 14.838983050847457)","(8.0, 9.6, 9.454545454545453)","(4.6, 5.0, 5.031468531468532)","(7.0, 9.8, 9.626666666666667)","(21.0, 29.0, 28.15)","(6.5, 7.0, 6.939047619047619)","(7.5, 10.0, 9.933333333333334)","(15.0, 15.0, 14.78125)","(4.4, 5.7, 5.57923076923077)","(101.0, 660.0, 525.0)"
08-12-2022 14:27:03.196832,"(11.0, 15.5, 14.838983050847457)","(8.0, 9.6, 9.353246753246754)","(4.6, 5.1, 5.039130434782608)","(7.0, 9.8, 9.65)","(21.0, 29.0, 28.15)","(6.5, 7.0, 6.896774193548387)","(7.5, 10.0, 9.876923076923077)","(15.0, 15.0, 14.85)","(4.4, 5.7, 5.584158415841584)","(101.0, 660.0, 525.0)"
08-12-2022 14:27:04.716348,"(11.0, 15.5, 14.965753424657533)","(8.0, 9.4, 9.357142857142858)","(4.6, 5.1, 5.039130434782608)","(7.0, 9.8, 9.64)","(21.0, 29.0, 28.12)","(6.5, 7.0, 6.927272727272727)","(7.5, 10.0, 9.876923076923077)","(15.0, 15.0, 14.8)","(4.4, 5.6, 5.584158415841584)","(101.0, 660.0, 452.0)"
08-12-2022 14:27:06.271098,"(11.0, 15.5, 14.965753424657533)","(8.0, 9.4, 9.357142857142858)","(4.6, 5.1, 5.0446327683615815)","(7.0, 9.8, 9.688888888888888)","(21.0, 29.0, 28.12)","(6.5, 7.0, 6.984873949579832)","(7.5, 10.0, 9.87857142857143)","(15.0, 15.0, 14.787878787878787)","(4.4, 5.6, 5.640530303030303)","(101.0, 660.0, 447.03703703703707)"
08-12-2022 14:27:07.820428,"(11.0, 15.5, 14.965753424657533)","(8.0, 9.4, 9.26153846153846)","(4.6, 5.1, 5.0446327683615815)","(7.0, 9.8, 9.688888888888888)","(21.0, 29.0, 28.12)","(6.5, 7.2, 6.977777777777778)","(7.5, 10.0, 9.80263157894737)","(15.0, 15.0, 14.787878787878787)","(4.4, 5.7, 5.647138047138047)","(101.0, 660.0, 447.03703703703707)"
08-12-2022 14:27:09.317049,"(12.0, 15.5, 14.965753424657533)","(8.0, 9.4, 9.26153846153846)","(4.4, 5.1, 5.0446327683615815)","(7.5, 9.8, 9.684615384615384)","(21.0, 29.0, 28.12)","(6.5, 7.0, 6.977777777777778)","(7.5, 10.0, 9.80263157894737)","(15.0, 15.0, 14.787878787878787)","(4.4, 5.7, 5.647138047138047)","(101.0, 660.0, 493.3333333333333)"
08-12-2022 14:27:10.946510,"(12.0, 15.5, 15.011363636363637)","(8.0, 9.4, 9.357142857142858)","(4.4, 5.1, 5.037579617834394)","(7.5, 9.8, 9.657142857142857)","(21.0, 29.0, 28.12)","(6.5, 7.0, 6.979746835443038)","(7.5, 10.0, 9.80263157894737)","(15.0, 15.0, 15.704545454545455)","(4.4, 5.7, 5.647138047138047)","(101.0, 660.0, 460.5263157894737)"
08-12-2022 14:27:12.466728,"(12.0, 15.5, 15.022222222222222)","(8.0, 9.4, 9.284210526315789)","(4.4, 5.1, 4.95774647887324)","(7.5, 9.8, 9.612499999999999)","(21.0, 29.0, 28.12)","(6.5, 7.0, 6.9849056603773585)","(7.5, 10.0, 9.825581395348838)","(15.0, 16.0, 15.673076923076923)","(4.4, 5.7, 5.646232876712329)","(101.0, 650.0, 541.4285714285714)"
08-12-2022 14:27:14.124167,"(12.0, 15.5, 15.022222222222222)","(8.0, 9.4, 8.960714285714285)","(4.4, 5.0, 4.9625)","(7.5, 9.8, 9.757142857142858)","(21.0, 29.0, 28.12)","(6.5, 7.0, 6.914666666666666)","(7.5, 10.0, 9.825581395348838)","(15.0, 16.0, 16.30952380952381)","(4.4, 5.7, 5.646232876712329)","(101.0, 640.0, 556.6666666666666)"
08-12-2022 14:27:15.736737,"(12.0, 15.5, 15.046511627906977)","(8.0, 9.0, 9.135135135135135)","(4.6, 5.0, 4.957446808510638)","(7.5, 9.8, 9.791304347826088)","(21.0, 29.0, 27.6)","(6.5, 7.0, 6.908571428571428)","(7.5, 10.0, 9.680851063829786)","(15.0, 16.5, 16.175)","(4.6, 5.7, 5.648692810457516)","(101.0, 630.0, 574.0)"
08-12-2022 14:27:17.354320,"(12.0, 15.5, 15.046511627906977)","(8.0, 9.2, 9.135135135135135)","(4.6, 5.0, 4.952755905511811)","(7.5, 9.8, 9.737142857142857)","(21.0, 28.0, 27.529411764705884)","(6.5, 7.0, 6.908571428571428)","(7.5, 10.0, 9.680851063829786)","(15.0, 16.5, 16.11764705882353)","(4.6, 5.7, 5.648692810457516)","(101.0, 630.0, 578.0)"
08-12-2022 14:27:18.983580,"(12.0, 15.5, 15.046511627906977)","(8.0, 9.2, 9.135135135135135)","(4.6, 5.0, 4.965151515151515)","(7.5, 10.0, 9.8)","(21.0, 28.0, 27.486486486486488)","(6.5, 7.0, 6.908571428571428)","(7.5, 10.0, 9.680851063829786)","(15.0, 16.5, 16.11764705882353)","(4.6, 5.7, 5.648692810457516)","(101.0, 630.0, 578.0)"
08-12-2022 14:27:20.733199,"(12.0, 15.5, 15.046511627906977)","(8.0, 9.2, 9.135135135135135)","(4.6, 5.0, 4.960162601626016)","(7.5, 10.0, 9.96)","(21.0, 28.0, 27.486486486486488)","(6.5, 7.0, 6.842962962962963)","(7.5, 10.0, 9.705555555555556)","(15.0, 16.5, 16.11764705882353)","(4.6, 5.7, 5.648692810457516)","(101.0, 610.0, 555.0)"
08-12-2022 14:27:22.361661,"(12.0, 15.5, 15.046511627906977)","(8.0, 9.2, 9.130232558139534)","(4.6, 5.0, 4.857534246575343)","(7.5, 10.0, 9.913513513513514)","(21.0, 28.0, 27.486486486486488)","(6.5, 7.0, 6.8277777777777775)","(7.5, 10.0, 9.83939393939394)","(15.0, 16.5, 16.133333333333333)","(4.6, 5.7, 5.648692810457516)","(101.0, 610.0, 555.0)"
