,Vodka En Ice,Getaloadathisbro,Motu Amethyst Nz,All Star Magician,Purple Shades,Aqua Cruiser,Artistic Saint,Motu Cullen Nz
07-12-2022 17:58:19.640435,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.12)","(4.2, 99999, 99990)"
07-12-2022 17:58:20.720631,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.12)","(4.2, 99999, 99990)"
07-12-2022 17:58:21.822799,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.12)","(4.2, 99999, 99990)"
07-12-2022 17:58:23.025171,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.35)","(4.2, 99999, 99990)"
07-12-2022 17:58:24.155791,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.35)","(4.2, 99999, 99990)"
07-12-2022 17:58:25.313634,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.528571428571428)","(4.2, 99999, 99990)"
07-12-2022 17:58:26.490948,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.528571428571428)","(4.2, 99999, 99990)"
07-12-2022 17:58:27.514714,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 16.75)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.391666666666666)","(4.2, 99999, 99990)"
07-12-2022 17:58:28.645512,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.391666666666666)","(4.2, 99999, 99990)"
07-12-2022 17:58:29.805619,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.35)","(4.2, 99999, 99990)"
07-12-2022 17:58:30.925836,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.35)","(4.2, 99999, 99990)"
07-12-2022 17:58:32.269757,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.528571428571428)","(4.2, 99999, 99990)"
07-12-2022 17:58:33.518616,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.528571428571428)","(4.2, 99999, 99990)"
07-12-2022 17:58:34.702442,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.166666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:35.779685,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.166666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:36.899343,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 13.0)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:37.986048,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:39.081889,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:40.096451,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:41.308785,"(3.0, 3.85, 3.7)","(6.0, 7.4, 6.680000000000001)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 16.5, 14.0)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:42.547428,"(3.0, 3.85, 3.7214285714285715)","(6.0, 7.4, 6.680000000000001)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.68181818181818)","(10.0, 16.0, 14.0)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:43.731230,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.68181818181818)","(10.0, 16.0, 14.0)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:44.888289,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 16.0, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:46.005728,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:47.152501,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.6875)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:48.366354,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.25)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:49.475815,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.25)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:50.561473,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.59090909090909)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:51.700558,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:52.820433,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:53.852659,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:54.972293,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:56.168239,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:57.248348,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 16.875)","(10.0, 17.5, 14.75)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:58.630088,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 17.5, 13.428571428571429)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:58:59.689835,"(3.0, 3.85, 3.6605263157894736)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 17.0, 14.25)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:59:00.841267,"(3.0, 3.85, 3.5636363636363635)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 16.5, 14.25)","(7.5, 10.5, 8.583333333333332)","(4.2, 99999, 99990)"
07-12-2022 17:59:01.920483,"(3.0, 3.85, 3.5636363636363635)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 16.25)","(10.0, 16.5, 14.4)","(7.5, 10.5, 9.222222222222221)","(4.2, 99999, 99990)"
07-12-2022 17:59:03.154642,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 16.25)","(10.0, 16.0, 14.4)","(7.5, 10.5, 9.222222222222221)","(4.2, 99999, 99990)"
07-12-2022 17:59:04.269377,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 16.25)","(10.0, 16.0, 14.4)","(7.5, 10.5, 9.222222222222221)","(4.2, 99999, 99990)"
07-12-2022 17:59:05.301923,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 16.25)","(10.0, 16.0, 14.4)","(7.5, 10.5, 9.222222222222221)","(4.2, 99999, 99990)"
07-12-2022 17:59:06.368175,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 16.25)","(10.0, 16.0, 13.3125)","(7.5, 10.5, 8.799999999999999)","(4.2, 99999, 99990)"
07-12-2022 17:59:07.452395,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 16.25)","(10.0, 15.5, 12.954545454545455)","(7.5, 10.0, 8.799999999999999)","(4.2, 99999, 99990)"
07-12-2022 17:59:08.575377,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 36.0, 22.153846153846153)","(13.0, 18.0, 17.3)","(10.0, 15.5, 13.633333333333333)","(7.5, 10.0, 8.799999999999999)","(4.2, 99999, 99990)"
07-12-2022 17:59:09.629393,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 34.0, 28.833333333333336)","(13.0, 18.0, 17.3)","(10.0, 15.5, 14.45)","(7.5, 10.0, 9.228571428571428)","(4.2, 99999, 99990)"
07-12-2022 17:59:10.703341,"(3.0, 3.85, 3.55)","(6.0, 8.0, 7.466666666666667)","(6.0, 99999, 99990)","(16.0, 34.0, 30.375)","(13.0, 18.0, 17.3)","(10.0, 15.5, 14.45)","(7.5, 10.0, 9.509090909090908)","(4.2, 99999, 99990)"
07-12-2022 17:59:11.979147,"(3.0, 3.85, 3.64)","(6.0, 8.0, 7.771428571428571)","(6.0, 99999, 99990)","(16.0, 34.0, 31.92857142857143)","(13.0, 18.0, 17.416666666666668)","(10.0, 15.5, 12.818181818181818)","(7.5, 10.0, 10.244444444444444)","(4.2, 99999, 99990)"
07-12-2022 17:59:13.505789,"(3.0, 3.85, 3.706818181818182)","(6.0, 8.0, 7.84)","(6.0, 99999, 99990)","(16.0, 34.0, 27.5)","(13.0, 18.0, 17.5)","(10.0, 15.0, 12.863636363636363)","(7.5, 10.5, 9.615384615384615)","(4.2, 99999, 99990)"
07-12-2022 17:59:14.680575,"(3.0, 3.85, 3.706818181818182)","(6.0, 8.0, 7.84)","(6.0, 99999, 99990)","(16.0, 34.0, 24.666666666666668)","(13.0, 18.0, 17.666666666666668)","(10.0, 14.5, 13.375)","(7.5, 10.5, 9.615384615384615)","(4.2, 99999, 99990)"
07-12-2022 17:59:16.209286,"(3.0, 3.85, 3.706818181818182)","(6.0, 8.0, 7.84)","(6.0, 99999, 99990)","(16.0, 32.0, 24.666666666666668)","(13.0, 18.0, 17.666666666666668)","(10.0, 14.5, 13.375)","(7.5, 10.5, 9.615384615384615)","(4.2, 99999, 99990)"
07-12-2022 17:59:17.825564,"(3.0, 3.85, 3.706818181818182)","(6.0, 8.0, 7.84)","(6.0, 99999, 99990)","(16.0, 32.0, 24.666666666666668)","(13.0, 18.0, 17.25)","(10.0, 14.5, 13.545454545454545)","(7.5, 10.5, 10.244444444444444)","(4.2, 99999, 99990)"
07-12-2022 17:59:19.177991,"(3.0, 4.1, 3.933333333333333)","(6.0, 8.8, 8.600000000000001)","(6.0, 99999, 99990)","(16.0, 32.0, 24.666666666666668)","(13.0, 18.0, 17.25)","(10.0, 14.5, 13.545454545454545)","(7.5, 10.5, 9.8)","(4.2, 99999, 99990)"
07-12-2022 17:59:20.464856,"(3.0, 4.1, 3.933333333333333)","(6.0, 8.8, 8.600000000000001)","(6.0, 99999, 99990)","(16.0, 32.0, 24.666666666666668)","(13.0, 18.0, 17.25)","(10.0, 14.5, 13.545454545454545)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:21.788505,"(3.0, 4.1, 3.933333333333333)","(6.0, 8.8, 7.8909090909090915)","(6.0, 99999, 99990)","(16.0, 32.0, 29.142857142857142)","(13.0, 18.0, 17.25)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:23.242889,"(3.0, 4.1, 3.933333333333333)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 32.0, 26.666666666666668)","(13.0, 18.0, 17.25)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:24.527210,"(3.0, 4.1, 3.933333333333333)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 32.0, 30.0)","(13.0, 18.0, 16.875)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:25.872468,"(3.0, 4.1, 3.933333333333333)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 32.0, 30.25)","(13.0, 18.0, 16.875)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:27.242185,"(3.0, 4.1, 3.9421052631578943)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 32.0, 30.25)","(13.0, 18.0, 16.875)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:28.504042,"(3.0, 4.1, 3.9421052631578943)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 32.0, 30.833333333333336)","(13.0, 18.0, 17.333333333333332)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:29.707175,"(3.0, 4.1, 4.06)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 34.0, 33.18181818181818)","(13.0, 18.0, 17.6)","(10.0, 14.5, 12.7)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:30.943045,"(3.0, 4.1, 4.04)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 34.0, 32.714285714285715)","(13.0, 18.0, 17.6)","(10.0, 14.5, 14.0)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:32.211878,"(3.0, 4.1, 3.6999999999999997)","(6.0, 8.8, 7.55)","(6.0, 99999, 99990)","(16.0, 34.0, 32.714285714285715)","(13.0, 18.0, 17.38888888888889)","(10.0, 14.5, 13.25)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:33.590360,"(3.0, 4.1, 3.6741935483870964)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 32.714285714285715)","(13.0, 18.0, 17.416666666666668)","(10.0, 14.5, 13.25)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:34.893830,"(3.0, 4.0, 3.8333333333333335)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 32.714285714285715)","(13.0, 18.0, 17.416666666666668)","(10.0, 14.5, 13.25)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:36.167037,"(3.0, 4.0, 3.875)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 32.714285714285715)","(13.0, 18.0, 16.5)","(10.0, 14.5, 13.25)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
