,Headbanger,Sonnys Amazing,Holzhauer,Our Holla Star,Allthewaytoroyalty,Cc Jones Nz
10-01-2023 18:52:06.450084,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:07.436825,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:08.557572,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:09.706179,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:10.776371,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:11.868755,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:12.911822,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:13.901056,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:14.947048,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:15.962553,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:17.109691,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:18.488043,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:19.859404,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:20.925362,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:22.055211,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:23.150043,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:24.203643,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:25.259727,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:26.370982,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:27.403994,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:28.397236,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:29.495515,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:30.633151,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:31.841148,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:33.024783,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:34.084299,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:35.183887,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:36.321970,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:37.507825,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:38.590179,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:39.728445,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:40.958000,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:42.199830,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:43.516621,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:44.536600,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:45.618015,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:46.764443,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:47.833526,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:48.937332,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:50.023891,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:50.983506,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:51.992604,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:53.201601,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:54.359595,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:55.490857,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:56.622217,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:57.703205,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:58.741392,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:59.704968,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:00.658207,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:01.748767,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:02.858355,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:03.972255,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:04.987016,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:05.851775,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:06.942715,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:08.086284,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:09.225198,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:10.289856,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:11.255788,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:12.260208,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:13.285275,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:14.200121,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:15.244088,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:16.353177,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:17.395325,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:18.326364,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:19.245827,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:20.329772,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:21.444247,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:22.525995,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:23.577041,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:24.614571,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:25.595179,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:26.591954,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:27.489478,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:28.595251,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:29.703573,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:30.834894,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:31.847744,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:32.987823,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:34.171616,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:35.130274,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:36.153952,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:37.171691,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:38.236461,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:39.132669,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:40.175163,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:41.227218,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:42.195007,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:43.163766,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:53:44.106525,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.725)","(5.0, 99999, 99990)"
10-01-2023 18:53:45.046618,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.725)","(5.0, 99999, 99990)"
10-01-2023 18:53:46.026111,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.725)","(5.0, 99999, 99990)"
10-01-2023 18:53:46.968619,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.725)","(5.0, 99999, 99990)"
10-01-2023 18:53:47.854084,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.725)","(5.0, 99999, 99990)"
10-01-2023 18:53:48.781014,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.725)","(5.0, 99999, 99990)"
10-01-2023 18:53:49.786257,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.3, 3.0466666666666664)","(12.0, 23.0, 16.454545454545453)","(5.0, 7.2, 6.725)","(5.0, 99999, 99990)"
