,Stone,Amarillo Slim,Pattys Regret,Barefoot Di,Starlight Belle,Malis Whitey,Blackpool Coco,Midnight Image
16-12-2022 13:27:23.767656,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:24.819369,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:25.876160,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:26.936491,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:28.014269,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:29.112727,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:30.230948,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:31.328550,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:32.425094,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:33.560114,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:34.641663,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:35.743305,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:36.780017,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:37.864689,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 16.46666666666667)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:38.955913,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 16.46666666666667)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:40.029553,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 16.46666666666667)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:41.088280,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 16.46666666666667)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:42.189599,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 16.46666666666667)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:43.189780,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:44.165581,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:45.225414,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:46.274490,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:47.376281,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:48.517961,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:49.548464,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:50.629617,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:51.643972,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:52.731385,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:53.836157,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:55.016583,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:56.158533,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:57.230662,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:58.284225,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:59.384327,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:00.426685,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:01.500925,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:02.591346,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.68)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:03.692191,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.3875)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:04.729891,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.3875)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:05.716399,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.53333333333333)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:06.818844,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.53333333333333)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:07.891870,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.8)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:09.008543,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.8)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:10.089194,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.8)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:11.206763,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.8)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:12.261345,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.8)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:13.364585,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:14.447329,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:15.538037,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:16.654916,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:17.770210,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:18.813666,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:19.853182,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:20.944556,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:22.132140,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:23.227197,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:24.369044,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:25.484209,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:26.664128,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:27.851114,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:29.119364,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:30.370988,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.84)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:31.555880,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.34285714285714)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:32.783302,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.34285714285714)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:34.046384,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.37142857142857)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:35.317554,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 16.37142857142857)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:36.541528,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.96)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:37.741689,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.96)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:38.829659,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.96)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:39.924786,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.96)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:41.149939,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.96)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:42.349869,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.96)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:43.513396,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.5, 15.96)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:44.626609,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.0, 15.56)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:28:45.809034,"(4.0, 7.0, 4.592105263157895)","(21.0, 70.0, 38.75)","(7.5, 17.0, 15.56)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
