,Aston Autumn,Aussie Bullseye,Fly Slip,Twister Giblet,Creditor,Jamilla Bale,Ranger Ricksen,Why Not Emily
10-01-2023 13:35:41.364406,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:42.634543,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:43.962327,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:45.217114,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:46.546577,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:48.052021,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:49.458123,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:50.975506,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:52.215716,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:53.573546,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:54.917763,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:56.302395,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:57.642318,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:58.824098,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:59.946616,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:01.044228,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:02.225982,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:03.472015,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:04.716446,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:05.994699,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:07.302699,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:08.491323,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:09.634752,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:10.787198,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:11.906936,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:36:13.131634,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 59.42857142857143)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 132.85714285714286)"
10-01-2023 13:36:14.367558,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 132.85714285714286)"
10-01-2023 13:36:15.625863,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 132.85714285714286)"
10-01-2023 13:36:16.871681,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 132.85714285714286)"
10-01-2023 13:36:18.093027,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 132.85714285714286)"
10-01-2023 13:36:19.289717,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:20.519973,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:21.617256,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:22.777076,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:24.047673,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:25.297764,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:26.530651,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:27.754254,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:28.935020,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:30.152788,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:31.359899,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:32.517373,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 49.09090909090909)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:33.673527,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:34.804444,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:35.976933,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:37.182499,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 162.3529411764706)"
10-01-2023 13:36:38.343233,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 66.81818181818181)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 170.0)"
10-01-2023 13:36:39.592318,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 66.81818181818181)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 170.0)"
10-01-2023 13:36:40.772741,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 66.81818181818181)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 170.0)"
10-01-2023 13:36:41.933734,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 66.81818181818181)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 170.0)"
10-01-2023 13:36:43.067411,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 66.81818181818181)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:44.216406,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:45.391752,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:46.566139,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:47.748988,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:48.949850,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:50.140223,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:51.272630,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:52.399225,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:53.441525,"(2.7, 4.2, 2.9333333333333336)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:54.669847,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:55.935594,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:57.245608,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:58.611337,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:36:59.987935,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:01.499565,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:02.750443,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:04.014216,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:05.223164,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:06.357573,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:07.458905,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:08.667448,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:09.907973,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:11.068850,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
10-01-2023 13:37:12.209113,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 111.42857142857143)"
