,Savvy Valentino,Hint Of Stars,Commander Harry,Prospectus,Beaufort Park,Golwen,The Yachtsman
08-01-2023 15:24:26.278893,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:27.180048,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:28.105431,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:29.048217,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:30.012607,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1221208907741254)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:30.913276,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1221208907741254)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:31.866217,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1221208907741254)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:32.813990,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1221208907741254)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:33.745784,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:34.702368,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:35.626209,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:36.560813,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:37.489944,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:38.406764,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:39.330919,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:40.309036,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:41.228444,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.07037037037037)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:42.173426,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.5285714285714285)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 4.8)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:43.107661,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.5285714285714285)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 4.8)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:44.033933,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.5285714285714285)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:44.955803,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:45.938808,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:46.916792,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:47.857719,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:48.768081,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:49.697732,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:50.686615,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:51.604004,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:52.524025,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:53.434866,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:54.376508,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:55.335148,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:56.293776,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:57.226821,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:58.151351,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:59.108447,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:00.066442,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:01.005388,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:01.940075,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:02.859763,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.12962962962963)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:03.786781,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.5)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:04.757750,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.277777777777779)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:05.734939,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.277777777777779)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:06.633941,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.277777777777779)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:07.526146,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.277777777777779)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:08.531688,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.277777777777779)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:09.463220,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.277777777777779)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:10.367929,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.208333333333334)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:11.303598,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.208333333333334)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:12.222383,"(31.0, 50.0, 48.0)","(6.0, 12.5, 10.208333333333334)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:13.147384,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:14.136758,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:15.060830,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:15.965323,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.076923076923077)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:16.920485,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.030769230769231)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:17.881660,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.030769230769231)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:18.802410,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.030769230769231)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:19.742246,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.030769230769231)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:20.663459,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.691176470588236)","(3.8, 4.7, 4.679661016949153)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.030769230769231)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:21.565284,"(31.0, 50.0, 47.0)","(6.0, 12.5, 11.666666666666666)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.933333333333334)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:22.500811,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 4.933333333333334)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:23.471012,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:24.398966,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:25.304449,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:26.229385,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:27.172578,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:28.086459,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:29.009056,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:29.940256,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:30.847689,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.215384615384616)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:31.813032,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.25)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.109090909090909)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:32.778078,"(31.0, 50.0, 47.0)","(6.0, 12.5, 11.72857142857143)","(3.8, 4.7, 4.678181818181819)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.2, 5.091666666666667)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:33.663392,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.227272727272727)","(3.8, 4.7, 4.678947368421053)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.091666666666667)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:34.597225,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.227272727272727)","(3.8, 4.7, 4.678947368421053)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.091666666666667)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:35.538449,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.227272727272727)","(3.8, 4.7, 4.678947368421053)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.091666666666667)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:36.463637,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.227272727272727)","(3.8, 4.7, 4.678947368421053)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.091666666666667)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:37.373340,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.227272727272727)","(3.8, 4.7, 4.678947368421053)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.091666666666667)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:25:38.271266,"(31.0, 50.0, 47.0)","(6.0, 12.5, 10.227272727272727)","(3.8, 4.7, 4.678947368421053)","(2.05, 2.16, 2.1222410147991546)","(3.6, 5.1, 5.091836734693877)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
