,Bettys Star,Yarramundi Garth,Finniss Spice,Blaze Victorem,Silk Sonic
11-01-2023 13:12:11.379591,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:12.180373,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:13.071175,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:14.000635,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:14.887005,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:15.803718,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:16.618059,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:17.445502,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:18.276737,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:19.106040,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:19.936177,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 5.3999999999999995)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:20.759867,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 5.3999999999999995)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:21.776819,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 5.3999999999999995)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:22.642403,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 5.3999999999999995)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:23.512394,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 5.3999999999999995)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:24.342917,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 6.0)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:25.236834,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 6.0)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:26.085104,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 6.0)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:26.957542,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 9.023529411764706)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:27.870627,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:28.838293,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:29.702381,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:30.515615,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:31.423087,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:32.362454,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:33.226303,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.85, 2.6764705882352944)"
11-01-2023 13:12:34.109468,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:35.051788,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:35.954213,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:36.817687,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:37.730402,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:38.660135,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:39.484421,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:40.308847,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:41.208399,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:42.117579,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:42.991681,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:43.860295,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 3.95, 2.6391666666666667)"
11-01-2023 13:12:44.766166,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:45.582916,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:46.451223,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:47.382063,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:48.339469,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:49.172779,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:50.003513,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:50.886608,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:51.720539,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:52.556167,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:53.470129,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.1, 2.6042666666666667)"
11-01-2023 13:12:54.369948,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:12:55.202225,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:12:56.164005,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:12:57.124687,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:12:58.033701,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:12:58.941423,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:12:59.903809,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:00.823185,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:01.630289,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:02.495931,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:03.424951,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:04.268413,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:05.123954,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:05.984366,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:06.877057,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:07.692743,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:08.521356,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:09.373608,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:10.229270,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:11.060037,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:11.919031,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:12.813479,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:13.647940,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:14.513775,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:15.449136,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:16.450041,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:17.226988,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:18.141015,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:19.068217,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:20.010836,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:20.929914,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:21.776010,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:22.660570,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:23.572785,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:24.726231,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:25.576179,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:26.514420,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:27.364431,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:28.322096,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:29.391041,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:30.246340,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:31.099291,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:31.994941,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:32.876602,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:33.781053,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:34.846839,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:35.719227,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:36.522632,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:37.356241,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:38.236778,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:39.144700,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:40.074266,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:41.061525,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:41.963630,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:42.831632,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:43.792116,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:44.717002,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:45.639014,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:46.576653,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:47.845195,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:48.792235,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:49.684334,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:50.558771,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:51.404956,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:52.261541,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:53.343181,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:54.440363,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:55.373608,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:56.535390,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:57.428562,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
11-01-2023 13:13:58.299700,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 9.6, 5.76)","(26.0, 200.0, 114.0)","(2.6, 4.2, 2.968)"
