,Jimmyjoe,Rock Fisherman,True Confessions,Boom Nz,Whats Your Secret Nz,Cassius Deck,Yesnomaybeso,Glenavril King,Louis Litt Nz,Lochiel Nz
07-01-2023 18:41:32.948069,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.933333333333334)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.0, 9.377777777777776)","(61.0, 110.0, 105.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:34.114478,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.933333333333334)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.0, 9.377777777777776)","(61.0, 110.0, 104.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:35.268447,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.933333333333334)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.0, 9.377777777777776)","(61.0, 110.0, 104.0)","(26.0, 130.0, 98.28571428571428)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:36.577966,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.933333333333334)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.0, 9.017241379310345)","(61.0, 110.0, 104.0)","(26.0, 110.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:37.858830,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.933333333333334)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.873846153846154)","(61.0, 110.0, 104.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:39.037042,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.933333333333334)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.873846153846154)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:40.221152,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.933333333333334)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.873846153846154)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:41.459929,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.873846153846154)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:42.924903,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:44.099684,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:45.508471,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:46.948169,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:48.071962,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:49.202547,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:50.337362,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:51.457852,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 101.0)","(26.0, 100.0, 82.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:52.677678,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.9)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 96.66666666666667)","(26.0, 100.0, 64.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:53.849247,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 103.0)","(26.0, 120.0, 69.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:54.988662,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 103.0)","(26.0, 110.0, 69.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:56.157926,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 103.0)","(26.0, 110.0, 69.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:57.320508,"(8.0, 11.5, 9.583333333333332)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 103.0)","(26.0, 110.0, 69.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:58.602888,"(8.0, 11.5, 9.583333333333332)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 105.0)","(26.0, 110.0, 92.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:59.814469,"(8.0, 11.5, 10.15)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 105.0)","(26.0, 110.0, 92.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:00.985638,"(8.0, 10.5, 9.75)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 105.0)","(26.0, 110.0, 92.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:02.129135,"(8.0, 10.5, 9.75)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 107.5)","(26.0, 110.0, 92.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:03.447670,"(8.0, 10.5, 9.25)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 8.852459016393443)","(61.0, 110.0, 158.33333333333334)","(26.0, 110.0, 92.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:05.348369,"(8.0, 10.5, 9.25)","(6.5, 7.0, 6.9)","(26.0, 130.0, 89.71428571428572)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.2, 9.100000000000001)","(61.0, 200.0, 178.75)","(26.0, 110.0, 92.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:06.692143,"(8.0, 10.5, 9.25)","(6.5, 7.0, 6.9)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.0, 9.22857142857143)","(61.0, 190.0, 146.66666666666669)","(26.0, 110.0, 83.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:08.158931,"(8.0, 10.5, 9.25)","(6.5, 7.0, 6.45)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.8, 9.4)","(61.0, 180.0, 140.83333333333331)","(26.0, 110.0, 83.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:09.363982,"(8.0, 10.5, 9.25)","(6.5, 7.0, 6.45)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 83.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:10.610887,"(8.0, 10.5, 9.25)","(6.5, 7.0, 6.45)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 83.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:11.984327,"(8.0, 10.5, 9.75)","(6.5, 7.0, 6.45)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 83.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:13.343679,"(8.0, 11.0, 9.666666666666666)","(6.5, 7.0, 6.45)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 97.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:14.612175,"(8.0, 10.5, 9.75)","(6.5, 7.0, 6.45)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 97.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:15.842026,"(8.0, 10.5, 9.25)","(6.5, 7.0, 6.45)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 97.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:17.108357,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:18.280039,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:19.466278,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:20.681852,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:21.913979,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:23.266751,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:24.419901,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:25.892966,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:27.458433,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:28.884792,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:30.146298,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 98.66666666666666)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 59.33333333333333)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:31.505491,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.5)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 96.66666666666667)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:32.830356,"(8.0, 10.5, 9.25)","(6.5, 6.8, 6.62)","(26.0, 130.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 96.66666666666667)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:34.131625,"(8.0, 11.0, 9.333333333333334)","(6.5, 6.8, 6.62)","(26.0, 180.0, 108.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:35.340373,"(8.0, 10.5, 9.75)","(6.5, 6.8, 6.62)","(26.0, 170.0, 103.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:36.601596,"(8.0, 11.0, 9.666666666666666)","(6.5, 6.8, 6.62)","(26.0, 170.0, 103.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:37.971346,"(8.0, 11.0, 10.0)","(6.5, 6.8, 6.62)","(26.0, 170.0, 103.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:39.207526,"(8.0, 10.5, 9.75)","(6.5, 6.8, 6.62)","(26.0, 170.0, 103.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:40.453765,"(8.0, 11.0, 9.666666666666666)","(6.5, 6.8, 6.62)","(26.0, 170.0, 71.42857142857143)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(61.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:41.935513,"(8.5, 11.0, 9.666666666666666)","(6.5, 6.8, 6.62)","(26.0, 160.0, 88.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:43.509546,"(8.5, 11.0, 9.666666666666666)","(6.5, 6.8, 6.62)","(26.0, 140.0, 88.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:44.934860,"(8.5, 11.0, 9.75)","(6.5, 6.8, 6.62)","(26.0, 140.0, 88.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 98.57142857142857)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:46.417426,"(8.5, 10.5, 9.9375)","(6.5, 6.8, 6.3)","(26.0, 140.0, 83.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 58.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:47.709557,"(8.5, 10.5, 9.9375)","(6.5, 6.8, 6.3)","(26.0, 130.0, 119.2)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 58.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:49.014627,"(8.5, 10.5, 9.9375)","(6.5, 6.8, 6.3)","(26.0, 140.0, 119.2)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 58.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:50.258689,"(8.5, 10.5, 9.9375)","(6.5, 6.8, 6.3)","(26.0, 140.0, 119.2)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 58.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:42:51.479527,"(8.5, 10.5, 9.225000000000001)","(6.5, 6.8, 6.3)","(26.0, 140.0, 119.2)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 8.8, 8.656)","(71.0, 170.0, 140.83333333333331)","(26.0, 110.0, 58.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
