,Balts Obsession,Free At Night,Aston Rupiah,Flash Fever,Midnight Image,Cry Wolf,Paw Baby,Ruthless Runner
10-01-2023 21:08:07.419571,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:08.682267,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:10.076593,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:11.510184,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:12.721111,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:13.909080,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:15.250089,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:16.766027,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:18.277711,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:19.750748,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:21.099207,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:22.503482,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:23.977645,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:25.382268,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:26.685442,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:27.892942,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:29.058658,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:30.301727,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:31.621120,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:32.877434,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:34.442408,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:35.968568,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:37.466060,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:39.246749,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:40.737733,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:42.152085,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:43.502397,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:44.868083,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:46.484453,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:47.804307,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:49.281687,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:50.672444,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:52.111004,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:53.456032,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:54.719116,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:56.068432,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:57.534228,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:58.962481,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:00.371837,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:01.629016,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:02.947752,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:04.301327,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:05.622850,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:06.968406,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:08.364550,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:09.760312,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:11.105451,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:12.463286,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:13.697032,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:14.958500,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:16.288723,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:17.771876,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:19.225190,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:20.644566,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:22.148772,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:23.747930,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:25.298067,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:26.658368,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:28.019452,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:29.392358,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:30.673144,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:31.933279,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:33.293752,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:34.589261,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:35.889756,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:37.190759,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:38.494154,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:39.743089,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:41.046837,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:42.603002,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:44.158509,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:45.664197,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:09:46.999025,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
