,Autumn Leaf,Canada Bay,Clovelly,Fearless Thinking,Impacting,Matronymic,Prior Thoughts,So Rosie,Amberina,Fooled Again,Cashmere Inn
08-01-2023 15:42:40.132623,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61651376146789)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:41.354601,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61651376146789)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:42.546313,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61651376146789)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:43.744684,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:44.987795,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:46.274909,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:47.487094,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:48.696826,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:49.919805,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:51.213374,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:52.476317,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:53.702624,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:54.959673,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:56.187017,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.5064935064935066)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:57.452730,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.644859813084112)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:58.721191,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.644859813084112)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:59.936743,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.644859813084112)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:01.107202,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.644859813084112)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:02.299409,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.644859813084112)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:03.546677,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.644859813084112)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:04.778067,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.644859813084112)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:05.991259,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.55)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:07.187432,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.55)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:08.409201,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.55)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:09.625256,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.55)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:10.891855,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.55)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:43:12.148496,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.55)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
