,Know Knuckles,Ohoka Coco,Homebush Lauren,Homebush Gracen,Champagne,Homebush Reta,Opawa Cody,Rowdys Message
20,"[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 42, 85559), 6.0, 19.0]"
21,"[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 43, 217052), 6.0, 19.0]"
22,"[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 44, 393042), 6.0, 19.0]"
23,"[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 45, 553121), 6.0, 19.0]"
24,"[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 46, 742104), 6.0, 19.0]"
25,"[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 47, 887983), 6.0, 19.0]"
26,"[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 49, 29790), 6.0, 19.0]"
27,"[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 50, 170830), 6.0, 19.0]"
28,"[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 51, 310412), 6.0, 19.0]"
29,"[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 52, 446006), 6.0, 19.0]"
30,"[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 53, 632123), 6.0, 19.0]"
31,"[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 54, 800321), 6.0, 19.0]"
32,"[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 55, 933252), 6.0, 19.0]"
33,"[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 57, 85858), 6.0, 19.0]"
34,"[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 58, 234580), 6.0, 19.0]"
35,"[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 59, 442779), 6.0, 19.0]"
36,"[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 20, 0, 586136), 6.0, 19.0]"
37,"[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 20, 1, 774813), 6.0, 19.0]"
38,"[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 20, 2, 934990), 6.0, 19.0]"
39,"[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 20, 4, 73700), 6.0, 19.0]"
