,Cosmic Bruce,Head Bin,Sugar Your Sweet,Moraine Chloe,Umbilical Man,Tiggys Em,Inga Sally,Rebels Spark
09-01-2023 14:12:19.908572,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:21.054410,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:22.198590,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:23.274719,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:24.391296,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:25.574982,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:26.719455,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:27.817301,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:28.938998,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:29.993658,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:31.123916,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 131.0)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:32.130205,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 131.0)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:33.128771,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 131.0)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:34.450566,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 131.0)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:35.551810,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 131.0)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:36.658358,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 131.0)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:37.721028,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 131.0)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.77777777777778)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:39.137891,"(2.7, 4.3, 3.832)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 92.0)","(2.9, 4.2, 3.865)","(12.0, 50.0, 40.625)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.92)","(5.0, 7.6, 6.633333333333333)"
09-01-2023 14:12:40.731249,"(2.7, 4.1, 3.9160000000000004)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 53.3)","(2.9, 4.2, 3.672)","(12.0, 50.0, 40.75)","(11.0, 21.0, 18.88888888888889)","(8.5, 15.0, 10.6)","(5.0, 7.6, 6.4799999999999995)"
09-01-2023 14:12:42.160846,"(2.7, 4.2, 3.9160000000000004)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 53.3)","(2.9, 4.2, 3.672)","(12.0, 50.0, 40.75)","(11.0, 21.0, 18.88888888888889)","(8.5, 15.0, 10.6)","(5.0, 7.6, 6.4799999999999995)"
09-01-2023 14:12:43.559163,"(2.7, 4.2, 3.9160000000000004)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 53.3)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 40.875)","(11.0, 21.0, 18.88888888888889)","(8.5, 15.0, 10.927272727272728)","(5.0, 7.6, 6.7)"
09-01-2023 14:12:44.733993,"(2.7, 4.2, 3.9160000000000004)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 53.3)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.4375)","(11.0, 21.0, 18.88888888888889)","(8.5, 15.0, 12.013333333333334)","(5.0, 7.6, 5.9)"
09-01-2023 14:12:45.820798,"(2.7, 4.2, 4.090769230769231)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 53.3)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.4375)","(11.0, 21.0, 18.88888888888889)","(8.5, 15.0, 10.66)","(5.0, 7.4, 5.709090909090909)"
09-01-2023 14:12:46.972330,"(2.7, 4.2, 4.090769230769231)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 53.3)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.4375)","(11.0, 21.0, 18.88888888888889)","(8.5, 15.0, 10.66)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:12:48.139664,"(2.7, 4.2, 4.090769230769231)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 53.3)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 45.4375)","(11.0, 21.0, 18.88888888888889)","(8.5, 15.0, 10.66)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:12:49.247832,"(2.7, 4.2, 4.090769230769231)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.8)","(11.0, 21.0, 17.2)","(8.5, 15.0, 11.181818181818182)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:12:50.488081,"(2.7, 4.2, 4.090769230769231)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.125)","(11.0, 21.0, 17.2)","(8.5, 15.0, 11.181818181818182)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:12:51.663635,"(2.7, 4.2, 4.090769230769231)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.125)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.94)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:12:52.749877,"(2.7, 4.2, 4.090769230769231)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.125)","(11.0, 21.0, 17.2)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:12:53.939874,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:12:55.084380,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.418181818181818)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:12:56.189194,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:12:57.278707,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:12:58.445033,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.672727272727272)","(5.0, 7.6, 5.8)"
09-01-2023 14:12:59.649397,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 70.83333333333334)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.38)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:13:00.815448,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.38)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:13:01.998862,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:03.245711,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:04.511306,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:05.800087,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:07.064412,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:08.316471,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:09.516197,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 290.0, 102.85714285714286)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:10.730768,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 20.4375)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:11.977364,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 16.583333333333332)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 17.2)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:13.235728,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.25)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.38)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:14.500996,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 41.375)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.38)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:15.746498,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 25.142857142857142)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:16.993090,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 48.0, 25.142857142857142)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:18.269267,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 48.0, 25.142857142857142)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:13:19.489700,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 48.0, 25.142857142857142)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:13:20.713009,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 48.0, 25.142857142857142)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:21.945222,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 48.0, 25.142857142857142)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:23.199919,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 48.0, 25.142857142857142)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.672727272727272)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:24.439032,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 48.0, 42.0)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.38)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:25.645588,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 55.0, 25.714285714285715)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.38)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:26.918397,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 25.714285714285715)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:28.123871,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 25.714285714285715)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:13:29.310703,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 25.714285714285715)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:13:30.575762,"(2.7, 4.2, 3.7333333333333334)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 24.5)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.418181818181818)","(5.0, 7.6, 5.709090909090909)"
09-01-2023 14:13:31.912514,"(2.7, 4.2, 4.046666666666667)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 24.5)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:33.209304,"(2.7, 4.2, 4.1137500000000005)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 24.5)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:34.461579,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 24.5)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.418181818181818)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:35.920016,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 24.5)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:37.086696,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 24.5)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:38.472546,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 24.5)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:39.761286,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 27.666666666666668)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.418181818181818)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:41.010065,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 27.666666666666668)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.885714285714285)"
09-01-2023 14:13:42.204294,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 27.666666666666668)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.1)","(5.0, 7.6, 5.666666666666667)"
09-01-2023 14:13:43.423918,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 27.666666666666668)","(11.0, 21.0, 15.0)","(8.5, 15.0, 9.82)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:44.628508,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 27.666666666666668)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.418181818181818)","(5.0, 7.6, 5.5636363636363635)"
09-01-2023 14:13:45.826697,"(2.7, 4.2, 3.928)","(15.0, 32.0, 17.0)","(26.0, 270.0, 97.14285714285714)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 27.666666666666668)","(11.0, 21.0, 15.0)","(8.5, 15.0, 10.418181818181818)","(5.0, 7.6, 5.5636363636363635)"
