,Prota,Tringale,Confusion Baby Boy,Antipoison,Yabba Dabba Dude,Northern Ridge,Trustyourinstinct,Nick The Cardshark
15-12-2022 11:47:37.998307,"(6.0, 13.0, 10.6)","(7.0, 12.0, 9.24)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.5)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:39.132459,"(6.0, 13.0, 10.6)","(7.0, 12.0, 9.24)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.5)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:40.215765,"(6.0, 13.0, 10.6)","(7.0, 12.0, 9.24)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:41.354958,"(6.0, 13.0, 10.6)","(7.0, 12.0, 9.24)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:42.411861,"(6.0, 13.0, 10.6)","(7.0, 12.0, 9.24)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:43.541973,"(6.0, 13.0, 10.6)","(7.0, 12.0, 9.24)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:44.626502,"(6.0, 13.0, 10.6)","(7.0, 9.2, 6.218181818181818)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:45.712418,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.25)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:46.797553,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.466666666666667)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:47.871614,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.466666666666667)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:48.997339,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.466666666666667)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:50.114712,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.466666666666667)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.35)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:51.288061,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.466666666666667)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.05, 2.68, 2.31)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:52.490664,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.466666666666667)","(31.0, 190.0, 170.5)","(12.0, 23.0, 22.166666666666664)","(31.0, 190.0, 20.333333333333332)","(10.0, 19.0, 17.75)","(2.05, 2.66, 2.3066666666666666)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:53.895454,"(6.0, 13.0, 10.6)","(7.0, 9.2, 7.209090909090909)","(31.0, 210.0, 170.5)","(12.0, 28.0, 23.7)","(31.0, 30.0, 20.333333333333332)","(10.0, 19.0, 17.75)","(2.05, 2.64, 2.3066666666666666)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:55.248147,"(6.0, 13.0, 10.6)","(7.0, 7.4, 6.7)","(31.0, 210.0, 170.5)","(12.0, 27.0, 23.7)","(31.0, 30.0, 20.333333333333332)","(10.0, 19.0, 17.75)","(2.05, 2.64, 2.3066666666666666)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:56.499900,"(6.0, 13.0, 10.6)","(7.0, 7.4, 6.7)","(31.0, 210.0, 170.5)","(12.0, 27.0, 23.7)","(31.0, 30.0, 20.333333333333332)","(10.0, 19.0, 17.75)","(2.05, 2.64, 2.3066666666666666)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:57.780310,"(6.0, 13.0, 10.6)","(7.0, 7.4, 6.7)","(31.0, 210.0, 170.5)","(12.0, 27.0, 23.7)","(31.0, 30.0, 20.333333333333332)","(10.0, 19.0, 17.75)","(2.05, 2.64, 2.3920000000000003)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:59.135057,"(7.0, 13.0, 10.6)","(4.6, 7.4, 7.209090909090909)","(20.0, 210.0, 170.5)","(12.0, 27.0, 23.7)","(17.0, 30.0, 20.333333333333332)","(10.0, 19.0, 17.75)","(2.45, 2.62, 2.3920000000000003)","(5.0, 12.0, 9.76)"
15-12-2022 11:48:00.483914,"(7.0, 13.0, 10.6)","(4.6, 7.4, 7.209090909090909)","(20.0, 210.0, 170.5)","(12.0, 27.0, 23.7)","(17.0, 30.0, 20.333333333333332)","(10.0, 19.0, 17.75)","(2.45, 2.62, 2.3920000000000003)","(5.0, 12.0, 9.76)"
15-12-2022 11:48:01.849459,"(7.0, 13.0, 10.6)","(4.6, 7.4, 7.209090909090909)","(20.0, 210.0, 170.5)","(12.0, 27.0, 23.333333333333332)","(17.0, 30.0, 21.5)","(10.0, 19.0, 17.5)","(2.45, 2.62, 2.3920000000000003)","(5.0, 12.0, 9.76)"
15-12-2022 11:48:03.130591,"(7.0, 13.0, 10.6)","(4.6, 7.4, 7.209090909090909)","(19.0, 210.0, 170.5)","(12.0, 27.0, 23.333333333333332)","(16.0, 30.0, 21.5)","(10.0, 19.0, 17.5)","(2.5, 2.62, 2.3920000000000003)","(5.0, 12.0, 9.76)"
15-12-2022 11:48:04.435804,"(7.0, 13.0, 10.6)","(4.6, 7.6, 7.2333333333333325)","(19.0, 170.0, 91.5)","(12.0, 27.0, 18.11111111111111)","(16.0, 36.0, 29.571428571428573)","(10.0, 16.5, 14.25)","(2.5, 2.62, 2.3920000000000003)","(5.0, 12.0, 9.92)"
15-12-2022 11:48:05.687275,"(7.0, 13.0, 10.6)","(4.6, 6.8, 6.08)","(19.0, 170.0, 123.25)","(12.0, 27.0, 18.11111111111111)","(16.0, 36.0, 28.142857142857142)","(10.0, 16.5, 12.4)","(2.5, 2.62, 2.485)","(5.0, 12.0, 9.92)"
15-12-2022 11:48:06.994996,"(7.0, 13.0, 10.6)","(4.6, 6.8, 6.08)","(19.0, 160.0, 123.25)","(12.0, 27.0, 18.11111111111111)","(16.0, 34.0, 28.142857142857142)","(10.0, 16.0, 12.4)","(2.5, 2.62, 2.485)","(5.0, 12.0, 9.92)"
15-12-2022 11:48:08.251976,"(7.0, 13.0, 10.7)","(4.6, 6.8, 6.08)","(19.0, 160.0, 123.25)","(12.0, 27.0, 18.11111111111111)","(16.0, 34.0, 28.142857142857142)","(10.0, 16.0, 12.4)","(2.5, 2.62, 2.485)","(5.0, 12.0, 9.92)"
15-12-2022 11:48:09.523533,"(7.0, 13.0, 10.7)","(4.6, 6.8, 6.08)","(19.0, 160.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 34.0, 26.714285714285715)","(10.0, 16.0, 12.4)","(2.5, 2.62, 2.6060714285714286)","(5.0, 12.0, 9.92)"
15-12-2022 11:48:10.786890,"(7.0, 13.0, 10.7)","(4.6, 6.8, 6.08)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 26.714285714285715)","(10.0, 16.0, 12.4)","(2.5, 2.62, 2.6060714285714286)","(5.0, 12.0, 9.92)"
15-12-2022 11:48:11.986817,"(7.0, 13.0, 10.7)","(4.4, 6.8, 6.08)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 26.714285714285715)","(10.0, 16.0, 12.4)","(2.5, 2.62, 2.6060714285714286)","(5.0, 12.0, 9.92)"
15-12-2022 11:48:13.185208,"(7.0, 13.0, 10.7)","(4.4, 6.8, 6.08)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 26.714285714285715)","(10.0, 16.0, 12.4)","(2.5, 2.62, 2.6060714285714286)","(5.0, 12.0, 9.84)"
15-12-2022 11:48:14.362360,"(7.0, 13.0, 10.444444444444445)","(4.4, 6.8, 5.92)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 26.714285714285715)","(10.0, 16.0, 12.4)","(2.5, 2.62, 2.6060714285714286)","(5.0, 12.0, 9.84)"
15-12-2022 11:48:15.514278,"(7.0, 13.0, 10.444444444444445)","(4.4, 6.8, 5.92)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 26.714285714285715)","(10.0, 16.0, 12.25)","(2.5, 2.62, 2.5171428571428573)","(5.0, 12.0, 9.84)"
15-12-2022 11:48:16.690255,"(7.0, 13.0, 10.444444444444445)","(4.4, 6.4, 5.83125)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 26.714285714285715)","(10.0, 16.0, 12.25)","(2.5, 2.62, 2.5171428571428573)","(5.0, 12.0, 9.84)"
15-12-2022 11:48:17.829664,"(7.0, 13.0, 10.444444444444445)","(4.4, 6.4, 5.83125)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 26.714285714285715)","(10.0, 16.0, 12.25)","(2.5, 2.62, 2.5171428571428573)","(5.0, 12.0, 9.84)"
15-12-2022 11:48:18.965217,"(7.0, 13.0, 10.444444444444445)","(4.4, 5.6, 5.33)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 32.0, 24.571428571428573)","(10.0, 16.0, 12.25)","(2.5, 2.62, 2.5171428571428573)","(5.0, 12.0, 9.84)"
15-12-2022 11:48:20.164142,"(7.0, 13.0, 10.444444444444445)","(4.4, 5.6, 5.2727272727272725)","(19.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(16.0, 29.0, 24.571428571428573)","(10.0, 16.0, 12.25)","(2.5, 2.62, 2.5300000000000002)","(5.0, 12.0, 10.2)"
15-12-2022 11:48:21.267180,"(7.5, 13.0, 10.444444444444445)","(4.2, 5.6, 5.2727272727272725)","(18.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(15.0, 29.0, 24.571428571428573)","(9.0, 16.0, 12.25)","(2.6, 2.62, 2.5300000000000002)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:22.649673,"(7.5, 13.0, 10.444444444444445)","(4.2, 5.6, 5.2727272727272725)","(18.0, 150.0, 115.75)","(12.0, 27.0, 21.666666666666664)","(15.0, 29.0, 24.571428571428573)","(9.0, 16.0, 12.25)","(2.6, 2.62, 2.5300000000000002)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:23.830877,"(7.5, 13.0, 10.444444444444445)","(4.2, 6.0, 5.733333333333333)","(18.0, 150.0, 122.7)","(12.0, 27.0, 21.666666666666664)","(15.0, 29.0, 24.571428571428573)","(9.0, 16.0, 12.25)","(2.6, 2.62, 2.5300000000000002)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:25.062366,"(7.5, 13.0, 10.444444444444445)","(4.2, 6.0, 5.733333333333333)","(18.0, 150.0, 122.7)","(12.0, 27.0, 21.666666666666664)","(15.0, 29.0, 24.571428571428573)","(9.0, 16.0, 12.25)","(2.6, 2.62, 2.5300000000000002)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:26.394607,"(7.5, 13.0, 10.444444444444445)","(4.2, 6.0, 5.866666666666667)","(18.0, 160.0, 111.33333333333333)","(12.0, 27.0, 21.666666666666664)","(15.0, 29.0, 24.571428571428573)","(9.0, 16.0, 12.25)","(2.6, 2.74, 2.5525)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:27.565845,"(7.5, 13.0, 10.444444444444445)","(4.2, 6.2, 5.866666666666667)","(18.0, 160.0, 111.33333333333333)","(12.0, 27.0, 21.666666666666664)","(15.0, 29.0, 24.571428571428573)","(9.0, 16.0, 12.25)","(2.6, 2.74, 2.5525)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:28.885787,"(7.5, 13.0, 10.7)","(4.2, 6.2, 5.533333333333333)","(18.0, 160.0, 111.33333333333333)","(12.0, 27.0, 21.666666666666664)","(15.0, 29.0, 26.714285714285715)","(9.0, 16.0, 12.25)","(2.6, 2.74, 2.58)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:30.189334,"(7.5, 13.0, 10.7)","(4.2, 6.2, 5.533333333333333)","(18.0, 160.0, 86.5)","(12.0, 27.0, 21.666666666666664)","(15.0, 32.0, 26.714285714285715)","(9.0, 16.0, 12.25)","(2.6, 2.72, 2.7171153846153846)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:31.408678,"(7.5, 13.0, 10.7)","(4.2, 6.2, 5.533333333333333)","(18.0, 160.0, 86.5)","(12.0, 27.0, 21.666666666666664)","(15.0, 32.0, 26.714285714285715)","(9.0, 16.0, 12.833333333333334)","(2.6, 2.72, 2.66)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:32.640421,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.6)","(18.0, 160.0, 86.5)","(12.0, 27.0, 21.666666666666664)","(15.0, 32.0, 26.714285714285715)","(9.0, 15.5, 12.833333333333334)","(2.6, 2.72, 2.648)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:33.847077,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.6)","(18.0, 160.0, 86.5)","(12.0, 27.0, 21.666666666666664)","(15.0, 32.0, 26.714285714285715)","(9.0, 15.5, 12.833333333333334)","(2.6, 2.72, 2.636)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:35.007664,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.6)","(18.0, 160.0, 86.5)","(12.0, 27.0, 18.42857142857143)","(15.0, 32.0, 23.0)","(9.0, 15.5, 12.833333333333334)","(2.6, 2.72, 2.646666666666667)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:36.144297,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.6)","(18.0, 160.0, 86.5)","(12.0, 24.0, 18.42857142857143)","(15.0, 32.0, 23.0)","(9.0, 15.5, 12.833333333333334)","(2.6, 2.72, 2.646666666666667)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:37.312920,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.6)","(18.0, 160.0, 86.5)","(12.0, 24.0, 18.42857142857143)","(15.0, 32.0, 23.0)","(9.0, 15.5, 12.833333333333334)","(2.6, 2.72, 2.646666666666667)","(5.5, 12.0, 10.2)"
15-12-2022 11:48:38.542210,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 21.333333333333332)","(15.0, 32.0, 25.75)","(9.0, 15.5, 12.125)","(2.6, 2.72, 2.925)","(5.5, 12.0, 9.685714285714285)"
15-12-2022 11:48:39.679001,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 21.333333333333332)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 2.98, 3.0433333333333334)","(5.5, 12.0, 10.52)"
15-12-2022 11:48:40.807241,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 21.333333333333332)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.1, 3.064)","(5.5, 11.5, 9.685714285714285)"
15-12-2022 11:48:41.911440,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 21.333333333333332)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.1, 3.064)","(5.5, 12.0, 9.685714285714285)"
15-12-2022 11:48:42.970383,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.1959999999999997)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:44.059044,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.2439999999999998)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:45.217405,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.2439999999999998)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:46.285922,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.2439999999999998)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:47.348789,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.2439999999999998)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:48.518500,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.2439999999999998)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:49.674325,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.2439999999999998)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:50.823821,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.6)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.2439999999999998)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:52.047409,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.341176470588236)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.25)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:53.239066,"(7.5, 11.5, 9.95)","(4.2, 6.4, 5.341176470588236)","(18.0, 160.0, 126.5)","(12.0, 24.0, 18.642857142857142)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.25)","(5.5, 12.0, 10.133333333333333)"
15-12-2022 11:48:54.383462,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.5200000000000005)","(18.0, 160.0, 100.4)","(12.0, 24.0, 19.166666666666668)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.25)","(5.5, 12.0, 9.8)"
15-12-2022 11:48:55.557887,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.5200000000000005)","(18.0, 150.0, 100.4)","(12.0, 23.0, 18.6)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.1799999999999997)","(5.5, 11.5, 9.8)"
15-12-2022 11:48:56.682526,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.5200000000000005)","(18.0, 150.0, 100.4)","(12.0, 23.0, 18.6)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.137142857142857)","(5.5, 11.5, 9.8)"
15-12-2022 11:48:57.794747,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.5200000000000005)","(18.0, 150.0, 100.4)","(12.0, 23.0, 18.6)","(15.0, 32.0, 25.75)","(9.0, 14.0, 12.125)","(2.6, 3.3, 3.137142857142857)","(5.5, 11.5, 9.8)"
15-12-2022 11:48:58.921646,"(7.5, 11.5, 9.95)","(4.2, 6.0, 5.5200000000000005)","(18.0, 150.0, 100.4)","(12.0, 23.0, 18.6)","(15.0, 32.0, 19.666666666666668)","(9.0, 14.0, 12.75)","(2.6, 3.3, 3.2239999999999998)","(5.5, 11.5, 9.8)"
15-12-2022 11:49:00.061300,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.4)","(18.0, 150.0, 115.875)","(12.0, 23.0, 18.6)","(15.0, 32.0, 19.666666666666668)","(9.0, 16.5, 12.75)","(2.6, 3.3, 3.2239999999999998)","(5.5, 11.5, 9.8)"
15-12-2022 11:49:01.159581,"(7.5, 13.0, 10.7)","(4.2, 6.2, 5.4)","(18.0, 150.0, 115.875)","(12.0, 23.0, 18.6)","(15.0, 32.0, 19.666666666666668)","(9.0, 16.5, 12.75)","(2.6, 3.3, 3.2239999999999998)","(5.5, 11.5, 9.8)"
15-12-2022 11:49:02.292539,"(7.5, 13.0, 10.7)","(4.2, 6.2, 5.4)","(18.0, 150.0, 115.875)","(12.0, 23.0, 18.6)","(15.0, 32.0, 22.25)","(9.0, 16.5, 13.6)","(2.6, 3.3, 3.2239999999999998)","(5.5, 11.5, 9.8)"
15-12-2022 11:49:03.620568,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.78)","(18.0, 150.0, 59.0)","(12.0, 23.0, 19.333333333333332)","(15.0, 32.0, 19.333333333333332)","(9.0, 16.0, 14.0)","(2.6, 3.3, 3.2239999999999998)","(5.5, 11.5, 9.8)"
15-12-2022 11:49:04.884672,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.45)","(18.0, 150.0, 59.333333333333336)","(12.0, 23.0, 19.333333333333332)","(15.0, 32.0, 19.333333333333332)","(9.0, 16.0, 14.0)","(2.6, 3.3, 3.2239999999999998)","(5.5, 11.5, 9.8)"
15-12-2022 11:49:06.149130,"(7.5, 13.0, 10.7)","(4.2, 6.0, 5.45)","(18.0, 150.0, 59.333333333333336)","(12.0, 23.0, 19.333333333333332)","(15.0, 32.0, 19.333333333333332)","(9.0, 16.0, 14.0)","(2.6, 3.3, 3.2239999999999998)","(5.5, 11.5, 9.8)"
