,Dazzling Cruiser,Hot Sky,Victa Indi,Ragin Skywalker,Springvale Chip
09-01-2023 17:48:45.573135,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:46.520086,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:47.489475,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:48.358050,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:49.289115,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:50.228922,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:51.063900,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:51.965279,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:52.896119,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.22340425531915)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:53.880138,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.22340425531915)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:48:54.927445,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:48:55.941943,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:48:56.967896,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:48:57.922992,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:48:58.781506,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:48:59.644080,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:49:00.638177,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:49:01.644760,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:49:02.685851,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 20.88888888888889)"
09-01-2023 17:49:03.658043,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 16.615384615384617)"
09-01-2023 17:49:04.656566,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 19.0)"
09-01-2023 17:49:05.543970,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 19.0)"
09-01-2023 17:49:06.455687,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 19.0)"
09-01-2023 17:49:07.295852,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 19.0)"
09-01-2023 17:49:08.202944,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 19.0)"
09-01-2023 17:49:09.108219,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:09.978692,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:10.863710,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:11.786947,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:12.724545,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:13.709970,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:14.630709,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:15.542152,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:16.414863,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:17.291371,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:18.154569,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:19.063726,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:20.046782,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:21.078783,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:22.111937,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:23.129762,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 21.166666666666664)"
09-01-2023 17:49:24.146776,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 23.26923076923077)"
09-01-2023 17:49:25.059679,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 23.26923076923077)"
09-01-2023 17:49:25.925052,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 23.26923076923077)"
09-01-2023 17:49:26.808228,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:27.743578,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:28.752785,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:29.757355,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:30.769362,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:31.656501,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:32.518822,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:33.396725,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:34.287710,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 21.25)"
09-01-2023 17:49:35.219208,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.25)"
09-01-2023 17:49:36.148388,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.25)"
09-01-2023 17:49:37.028130,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.25)"
09-01-2023 17:49:37.935433,"(5.0, 12.5, 7.300000000000001)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.25)"
09-01-2023 17:49:38.846343,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.25)"
09-01-2023 17:49:39.810255,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.25)"
09-01-2023 17:49:40.756482,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:41.676234,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:42.641570,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:43.559299,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.8385714285714285)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:44.363965,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:45.236319,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:46.158986,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:47.113960,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:48.062366,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:48.967880,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:49.853298,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:50.779784,"(5.0, 12.5, 5.655555555555555)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:51.679909,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:52.593305,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:53.573116,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:54.502390,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:55.403734,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:56.280476,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:57.197095,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:58.186624,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:49:59.147035,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:50:00.110782,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:50:00.930242,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:50:01.792620,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:50:02.801081,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 18.125)"
09-01-2023 17:50:03.745283,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:04.675026,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:05.565558,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:06.424738,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:07.360350,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:08.265972,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 10.647368421052633)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:09.179405,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:10.080943,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:10.992263,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:11.964516,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:12.902897,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:13.887383,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:14.917561,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
09-01-2023 17:50:15.913535,"(5.0, 12.5, 8.1)","(2.2, 3.15, 2.0865853658536584)","(5.5, 14.0, 6.125)","(3.0, 4.2, 2.8823529411764706)","(13.0, 30.0, 20.75)"
