,Cuckoo Coconuts,Blazing Arizona,Aerobic Rouge,Starlight Nelly,Our Matriarch,Blazin Caza,Neon Alley,Cheers Vicki
14-12-2022 11:54:46.389680,"(9.0, 29.0, 16.654545454545453)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.54)"
14-12-2022 11:54:47.406673,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.54)"
14-12-2022 11:54:48.487800,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.54)"
14-12-2022 11:54:49.673572,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.54)"
14-12-2022 11:54:50.816816,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.7346153846153847)"
14-12-2022 11:54:51.931155,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:54:52.976352,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:54:54.042294,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:54:55.074669,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:54:56.164184,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:54:57.206206,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:54:58.269118,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:54:59.318287,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:55:00.387772,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:55:01.499384,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:55:02.611018,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:55:03.706472,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:55:04.736667,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.7346153846153847)"
14-12-2022 11:55:05.775178,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:06.819804,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:07.905711,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:09.075709,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:10.183231,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:11.315314,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:12.476453,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:13.664875,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:14.706611,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:15.767046,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:16.773645,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:17.831095,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:18.988808,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:20.010562,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:20.990572,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:21.971419,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:22.972670,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:24.135494,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:25.290853,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:26.392162,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:27.532510,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:28.677123,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.075)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:29.715577,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.075)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:30.723341,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.1125)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:31.748507,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.1125)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:32.822285,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.075)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:33.937745,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.075)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:34.955699,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.075)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:35.994149,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.075)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:37.035752,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.075)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:38.258910,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.0954545454545452)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:39.311685,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.0954545454545452)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:40.335771,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.0954545454545452)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:41.418374,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.05)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:42.563237,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.05)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:43.569936,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.05)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:44.549760,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.05)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:45.698948,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.0954545454545452)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:46.789501,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.0954545454545452)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:47.824624,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.15, 3.0428571428571427)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:48.790331,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0428571428571427)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:49.855014,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0428571428571427)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:50.917103,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0428571428571427)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:51.954374,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.096875)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 4.016666666666667)"
14-12-2022 11:55:52.965482,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.096875)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.8499999999999996)"
14-12-2022 11:55:54.089311,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.096875)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.8499999999999996)"
14-12-2022 11:55:55.109727,"(10.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.096875)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.6, 3.8499999999999996)"
