,Belriah,Definitely Maybe,Overriding,Galactic Angel,Harmony Halo,Painite
07-01-2023 13:44:06.081962,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:06.915302,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:07.834327,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:08.748335,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:09.683034,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:10.678277,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:11.573052,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:12.475061,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:13.393531,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:14.252375,"(9.0, 18.0, 13.1)","(7.0, 17.0, 12.333333333333334)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:15.122462,"(9.0, 18.0, 13.1)","(7.0, 17.0, 12.333333333333334)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:16.002158,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:16.983584,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:17.943387,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:18.836521,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:19.739588,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:20.697010,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5798913043478262)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:21.577462,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:22.489889,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:23.389721,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:24.265387,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:25.218059,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:26.130762,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:27.059791,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:28.004564,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6142105263157895)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:28.906823,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.594)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:29.880629,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:30.824443,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:31.686218,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:32.572076,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:33.455279,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:34.306316,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:35.202965,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:36.132672,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:37.114766,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:38.074164,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:38.978697,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:39.872387,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:40.857647,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:41.803422,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:42.760385,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:43.714608,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:44.700624,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:45.703966,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6075)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:46.654595,"(9.0, 18.0, 13.1)","(7.0, 17.0, 12.333333333333334)","(1.5, 1.69, 1.6205263157894738)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:47.554572,"(9.0, 18.0, 13.1)","(7.0, 17.0, 12.333333333333334)","(1.5, 1.69, 1.6205263157894738)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:48.475544,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6205263157894738)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:49.433931,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6205263157894738)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:50.473645,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6205263157894738)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:51.413106,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6205263157894738)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:52.344498,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:53.330202,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:54.290315,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:55.233068,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:56.117825,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:57.105505,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:58.108467,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:59.085718,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5891304347826087)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:59.988021,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5840909090909092)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:00.908661,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:01.888453,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.32)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:02.829850,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:03.787993,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:04.668656,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:05.665281,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:06.666944,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:07.566719,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:08.504677,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:09.446140,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:10.425664,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:11.412949,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:12.350133,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:13.320484,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:14.311538,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:15.278748,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:16.188643,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:17.150203,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:18.112342,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:19.186589,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:20.217182,"(9.0, 18.0, 13.1)","(7.0, 17.0, 12.333333333333334)","(1.5, 1.7, 1.5983695652173915)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:21.208411,"(9.0, 18.0, 13.1)","(7.0, 17.0, 12.333333333333334)","(1.5, 1.7, 1.5983695652173915)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:22.273431,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5983695652173915)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:23.166838,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5983695652173915)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:24.138452,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5983695652173915)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:25.140794,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:26.145237,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:27.197054,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:28.128166,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:29.110055,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:30.076442,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.7, 1.5949438202247193)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:31.028349,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6629032258064516)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:32.037373,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:32.984878,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:34.224047,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:35.591242,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:36.641005,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:37.805833,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:38.846836,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:39.835678,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:40.896184,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:45:41.900990,"(9.0, 18.0, 13.863636363636363)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6225)","(4.4, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
