,Gary Said,Pennys Lad,Fade,Spanish Style,Pang,Seedless,Once You Go,Bravo One
08-01-2023 11:44:50.658779,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:51.621456,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:52.595624,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:53.531699,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:54.486637,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:55.440273,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:56.395081,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:57.341776,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:58.308042,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:59.259412,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:00.329601,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:01.351542,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:02.366310,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:03.325158,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:04.294395,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:05.263248,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:06.265724,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:07.258981,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:08.224116,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:09.174840,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:10.127508,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 315.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:11.104066,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:12.070347,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:13.033714,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:14.004253,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:14.958373,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:15.910059,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:16.867829,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:17.810153,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:18.757739,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:19.731311,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:20.778840,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:21.735887,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:22.719889,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:23.677078,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 333.6363636363636)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:24.755112,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:25.742853,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:26.761898,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:27.813220,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:28.846491,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:29.838485,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:30.836335,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:31.800722,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:32.785427,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:33.762611,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:34.813703,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:35.813766,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:36.807441,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:37.790673,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:38.797799,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:39.766573,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:40.775634,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:45:41.768597,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:45:42.803560,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 26.625)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.222222222222221)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:45:43.776496,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 26.625)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.222222222222221)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:45:44.806208,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 26.625)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.222222222222221)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:45:45.769490,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 26.625)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.222222222222221)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:45:46.781447,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 26.625)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.222222222222221)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:45:47.748606,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 26.625)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.222222222222221)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
