,Rapid Renegade,Layla,Clansman Douglas,Vixen Jenny,Express Way,Commissar,Just Like Lucy,Love Race
11-01-2023 12:05:43.320589,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:44.405864,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:45.464816,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:46.479752,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:47.489655,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:48.499565,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:49.525324,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:50.574381,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:51.640117,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:52.671975,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:53.679877,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:54.706103,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:05:55.711963,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:05:56.732696,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:05:57.775003,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:05:58.855084,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:05:59.965728,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:01.028207,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:02.077404,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:03.177430,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:04.280776,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:05.346369,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:06.416055,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:07.494757,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:08.637622,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:09.768427,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:10.818379,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:11.890919,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:12.952171,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:14.025788,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:15.152590,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:16.239934,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:17.299815,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:18.339777,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:19.376560,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:20.378636,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:21.362450,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:22.371640,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:23.409328,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:24.474813,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:25.477110,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:26.545067,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:27.548455,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:28.579325,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:29.662106,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:30.704427,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:31.721573,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:32.746576,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:33.845285,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:34.893462,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:35.938132,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:36.961962,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:38.004820,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:39.054930,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:40.127334,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:41.207098,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:42.265076,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:43.311490,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:44.308808,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:45.316122,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:46.278078,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:47.235421,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:48.252695,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:49.321383,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:50.399430,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:51.451890,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:52.522704,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
11-01-2023 12:06:53.593777,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 30.133333333333333)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.458823529411765)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 5.154545454545454)"
