,Hendy,Canya Bellatrix,Fleet Feet Pete,Tuta Rose,Dont Tell Helen,Master Blake
04-01-2023 14:56:40.530946,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.75)"
04-01-2023 14:56:41.518820,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 21.727272727272727)"
04-01-2023 14:56:42.481627,"(2.25, 4.3, 3.1)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.0)"
04-01-2023 14:56:43.466952,"(2.25, 4.3, 3.1)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.0)"
04-01-2023 14:56:44.489994,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.0)"
04-01-2023 14:56:45.578446,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.0)"
04-01-2023 14:56:46.580679,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 24.692307692307693)"
04-01-2023 14:56:47.505987,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 24.692307692307693)"
04-01-2023 14:56:48.435442,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:49.424300,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:50.433273,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:51.446418,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:52.466872,"(2.25, 4.3, 2.7)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:53.371116,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:54.360939,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:55.282650,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:56.277166,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:57.350963,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:58.381025,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:56:59.363069,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:00.305293,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:01.238983,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:02.251847,"(2.25, 4.3, 2.7)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:03.315984,"(2.25, 4.3, 3.8764705882352937)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:04.280489,"(2.25, 4.3, 3.8764705882352937)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.318181818181817)"
04-01-2023 14:57:05.214519,"(2.25, 4.3, 3.8764705882352937)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 27.47222222222222)"
04-01-2023 14:57:06.203024,"(2.25, 4.3, 3.9307692307692306)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 27.47222222222222)"
04-01-2023 14:57:07.162368,"(2.25, 4.3, 3.9307692307692306)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 27.47222222222222)"
04-01-2023 14:57:08.164309,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 26.578947368421055)"
04-01-2023 14:57:09.188185,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 26.578947368421055)"
04-01-2023 14:57:10.230622,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 26.578947368421055)"
04-01-2023 14:57:11.333627,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 26.578947368421055)"
04-01-2023 14:57:12.357831,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 24.142857142857142)"
04-01-2023 14:57:13.315308,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 24.142857142857142)"
04-01-2023 14:57:14.264607,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:15.170567,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:16.169094,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:17.193390,"(2.25, 4.3, 2.876)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:18.188149,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:19.189508,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:20.205620,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:21.287879,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:22.498926,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:23.627705,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:24.773919,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:25.879551,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:26.893882,"(2.25, 4.3, 2.876)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:27.924962,"(2.25, 4.3, 3.904444444444444)","(14.0, 48.0, 29.11111111111111)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:28.945431,"(2.25, 4.3, 3.0054545454545454)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:29.956334,"(2.25, 4.0, 3.408)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:30.993808,"(2.25, 4.0, 3.408)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:31.940871,"(2.25, 3.9, 3.0375)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:32.875212,"(2.25, 3.9, 3.0375)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:33.900223,"(2.25, 3.9, 3.0375)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:34.849879,"(2.25, 3.9, 3.0375)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:57:35.891396,"(2.25, 3.9, 3.09)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.0)"
04-01-2023 14:57:37.021524,"(2.25, 3.9, 3.09)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.0)"
04-01-2023 14:57:38.008667,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:57:38.980204,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:40.113930,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:41.180513,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:42.296696,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:43.399898,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:44.497580,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:45.617759,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:46.710231,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:47.784506,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:48.749642,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:49.721123,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:50.655476,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:51.677525,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:52.723059,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:53.775445,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:54.788045,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.3125)"
04-01-2023 14:57:55.843487,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.318181818181817)"
04-01-2023 14:57:56.816507,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.318181818181817)"
04-01-2023 14:57:57.682256,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.318181818181817)"
04-01-2023 14:57:58.692572,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.318181818181817)"
04-01-2023 14:57:59.666727,"(2.25, 3.9, 3.437142857142857)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.5)"
04-01-2023 14:58:00.727560,"(2.25, 3.8, 3.04)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.5)"
04-01-2023 14:58:01.784579,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.5)"
04-01-2023 14:58:02.788209,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.9375)"
04-01-2023 14:58:03.852278,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 23.357142857142858)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:58:04.788771,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 29.11111111111111)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:58:05.687802,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:58:06.645544,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:58:07.657768,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:58:08.635072,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:58:09.584563,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
04-01-2023 14:58:10.482864,"(2.25, 3.8, 2.652941176470588)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 23.772727272727273)"
