,Our Girl Lola,Optimus Bruce,Angelic Tess,Bugatti Bro,Rockstar Fender,Running Reds,Despicable Jason,Mighty Titan
07-12-2022 13:55:11.723058,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:12.996063,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:14.447013,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:15.878676,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:17.252536,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:18.460297,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:19.720161,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:20.984015,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:22.222827,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:23.465469,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:24.792469,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:26.136616,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:27.424959,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:28.619375,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:29.844704,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:31.067962,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:32.400848,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:33.735213,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:35.038701,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:36.200977,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:37.353300,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:38.563355,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:39.858055,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:41.106711,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:42.341062,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:43.459163,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:44.546581,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:45.749587,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:46.957964,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 76.42857142857143)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:48.228678,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 95.0)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:49.535870,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 95.0)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:50.935923,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 95.0)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:52.274230,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 95.0)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:53.693953,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 95.0)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:55.031096,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 5.517391304347826)","(31.0, 160.0, 95.0)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:56.352055,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.8, 7.2333333333333325)","(31.0, 160.0, 95.0)","(4.8, 9.8, 7.0)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:57.621307,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.6, 7.2333333333333325)","(31.0, 160.0, 95.0)","(4.8, 9.8, 9.129999999999999)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:58.861568,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.6, 7.2333333333333325)","(31.0, 160.0, 95.0)","(4.8, 9.6, 9.129999999999999)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:56:00.083169,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.6, 7.2333333333333325)","(31.0, 160.0, 95.0)","(4.8, 9.6, 9.129999999999999)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:56:01.269554,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.6, 7.2333333333333325)","(31.0, 160.0, 95.0)","(4.8, 9.6, 9.129999999999999)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:56:02.525051,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.6, 7.2333333333333325)","(31.0, 160.0, 95.0)","(4.8, 9.6, 9.129999999999999)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:56:03.864970,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.342857142857142)","(4.2, 7.6, 7.2333333333333325)","(31.0, 160.0, 95.0)","(4.8, 9.6, 9.129999999999999)","(4.6, 7.2, 5.6375)","(4.4, 7.8, 5.05)","(71.0, 580.0, 495.83333333333337)"
