,Singin Jules,Toxic Impurities,Mine Master,Go Goose Go,Bruisin Bull,Casino Rose,Psychotic Babe,Flying Foo Foo
04-01-2023 11:38:40.306820,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:41.432579,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:42.540648,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:43.592965,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:44.740211,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:45.846885,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:46.931188,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:48.014906,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:49.059284,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:50.159073,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:51.264927,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:52.289858,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:53.322841,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:54.425528,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:55.515995,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:56.545489,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:57.680955,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:58.759303,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:59.799333,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:00.879309,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:01.916809,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:03.108933,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:04.177316,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:05.279686,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:06.362684,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:07.464458,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:08.541428,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:09.652242,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:10.797256,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:11.913513,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:13.023139,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:14.131381,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:15.253303,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:16.412849,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:17.604135,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:18.693268,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:19.837418,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:20.971650,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:22.126633,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:23.226418,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:24.347015,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:25.513743,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:26.671164,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:27.732615,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:28.842923,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:29.945261,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:31.117154,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:32.226756,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:33.304698,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:34.452488,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:35.606370,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:36.764565,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:37.999045,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:39.238530,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:40.442409,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:41.602607,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:42.774268,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:43.980606,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:45.130523,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:46.298479,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:47.535819,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:48.609056,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:49.746372,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:50.906850,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:52.090027,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:53.513062,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:54.774589,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:56.072942,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:57.306099,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:39:58.459603,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
