,Skyla Blue,Rock On Hunter,Tilly Banner,Abby Road,Natisas Sparkle,Zambora Blaster
09-01-2023 17:06:39.316540,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:40.481784,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:41.551791,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:42.717324,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:43.799962,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:44.832606,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:45.798667,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:46.859634,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:47.798946,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:48.823587,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:49.862860,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:50.941494,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:52.193809,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:53.449154,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:54.690734,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:55.744166,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:57.138152,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:58.203169,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:59.430474,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:00.534653,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:01.632491,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:02.666556,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:03.669553,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:04.654453,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:05.564239,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:06.536519,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:07.531104,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:08.476134,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:09.462894,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:10.517466,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:11.643489,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:12.777614,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:13.870914,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:14.935006,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:15.913172,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:16.905628,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:17.916238,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:18.850019,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
