,Adrett,Ariana Blue,Detoron,Eternal Flame,Kaya,Khalida,New York Scandal,Real Alliance,Rubikai,Shaime,Shatusla,Your Shout Gingie
12-01-2023 18:23:49.384777,"(11.0, 13.0, 12.616438356164384)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.8)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 186.66666666666669)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:51.148459,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 23.0, 23.166666666666668)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.36842105263158)"
12-01-2023 18:23:52.912212,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.166666666666668)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.36842105263158)"
12-01-2023 18:23:54.557366,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.166666666666668)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.36842105263158)"
12-01-2023 18:23:56.133248,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.142857142857142)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.36842105263158)"
12-01-2023 18:23:57.803026,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.142857142857142)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.36842105263158)"
12-01-2023 18:23:59.463509,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.142857142857142)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.36842105263158)"
12-01-2023 18:24:01.049085,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.625)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:02.588433,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.586206896551722)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:04.200753,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.62962962962963)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:05.877012,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.62962962962963)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.45)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:07.518922,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.62962962962963)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:09.187917,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.62962962962963)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:11.192375,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.62962962962963)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:13.091769,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.75)","(19.0, 24.0, 22.88888888888889)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:14.923872,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.047619047619047)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:16.601058,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.75)","(19.0, 24.0, 23.047619047619047)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:18.574358,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.75)","(19.0, 24.0, 22.785714285714285)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.6)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:21.123941,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 23.0, 22.76923076923077)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 176.0)","(4.6, 6.8, 6.68)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:22.953894,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 23.0, 24.5)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 180.0)","(4.6, 6.8, 6.68)","(2.8, 3.05, 2.9916666666666667)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:24.865662,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 25.0, 24.5)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 188.88888888888889)","(4.6, 6.8, 6.68)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:27.042499,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 25.0, 24.5)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 188.88888888888889)","(4.6, 6.8, 6.68)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:28.985353,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 25.0, 24.5)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 188.88888888888889)","(4.6, 6.8, 6.68)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:30.761068,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 25.0, 24.5)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 188.88888888888889)","(4.6, 6.8, 6.68)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:32.500492,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 25.0, 24.5)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 188.88888888888889)","(4.8, 6.8, 6.68)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:34.275007,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 25.0, 24.866666666666667)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 180.0)","(4.8, 6.8, 6.68)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:35.976129,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 23.1)","(5.0, 5.9, 5.7555555555555555)","(19.0, 25.0, 24.866666666666667)","(11.0, 19.5, 19.166666666666668)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.8)","(71.0, 200.0, 180.0)","(4.8, 6.8, 6.68)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:37.643916,"(11.0, 13.0, 12.640449438202246)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.76)","(19.0, 25.0, 24.866666666666667)","(11.0, 19.5, 21.8)","(16.0, 22.0, 20.75)","(13.0, 18.5, 17.8)","(71.0, 200.0, 180.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:39.360623,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.8, 5.672727272727273)","(19.0, 25.0, 24.866666666666667)","(11.0, 25.0, 21.8)","(16.0, 22.0, 20.75)","(13.0, 18.5, 17.8)","(71.0, 200.0, 180.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:41.157599,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.7, 5.672727272727273)","(19.0, 25.0, 24.866666666666667)","(11.0, 25.0, 20.2)","(16.0, 22.0, 20.75)","(13.0, 18.5, 17.8)","(71.0, 200.0, 180.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:42.951741,"(11.0, 13.0, 12.655913978494624)","(15.0, 24.0, 22.6)","(5.0, 5.7, 5.672727272727273)","(19.0, 25.0, 25.17241379310345)","(11.0, 25.0, 20.21875)","(16.0, 22.0, 20.75)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.0166666666666666)","(31.0, 100.0, 96.42857142857143)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:44.713166,"(11.0, 13.0, 12.655913978494624)","(15.0, 25.0, 27.44)","(5.0, 5.7, 5.672727272727273)","(19.0, 26.0, 24.4)","(11.0, 24.0, 21.75925925925926)","(16.0, 22.0, 20.0)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.0166666666666666)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:46.422921,"(11.0, 13.0, 12.655913978494624)","(15.0, 28.0, 26.193548387096776)","(5.0, 5.7, 5.672727272727273)","(19.0, 26.0, 24.4)","(11.0, 24.0, 21.75925925925926)","(16.0, 22.0, 19.6)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.0166666666666666)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:48.174234,"(11.0, 13.0, 12.578947368421053)","(15.0, 28.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 26.0, 24.4)","(11.0, 24.0, 21.75925925925926)","(16.0, 22.0, 19.666666666666668)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.0166666666666666)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:49.880579,"(11.0, 13.0, 12.578947368421053)","(15.0, 27.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 26.0, 24.4)","(11.0, 24.0, 21.479166666666668)","(16.0, 21.0, 19.666666666666668)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.0166666666666666)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:51.606349,"(11.0, 13.0, 12.578947368421053)","(15.0, 27.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 26.0, 24.4)","(11.0, 24.0, 21.479166666666668)","(16.0, 21.0, 19.666666666666668)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:53.331775,"(11.0, 13.0, 12.578947368421053)","(15.0, 27.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 26.0, 24.4)","(11.0, 24.0, 21.479166666666668)","(16.0, 21.0, 19.666666666666668)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:55.090178,"(11.0, 13.0, 12.578947368421053)","(15.0, 27.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 26.0, 24.4)","(11.0, 24.0, 19.346153846153847)","(16.0, 21.0, 19.666666666666668)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:56.855416,"(11.0, 13.0, 12.598360655737705)","(15.0, 27.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 26.0, 24.4)","(11.0, 24.0, 19.346153846153847)","(16.0, 21.0, 19.666666666666668)","(13.0, 18.5, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:24:58.594196,"(11.0, 13.0, 12.598360655737705)","(15.0, 27.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 26.0, 24.6)","(11.0, 24.0, 19.346153846153847)","(16.0, 21.0, 19.666666666666668)","(13.0, 18.5, 17.625)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:25:00.317663,"(11.0, 13.0, 12.598360655737705)","(15.0, 27.0, 25.928571428571427)","(5.0, 5.7, 5.676923076923077)","(19.0, 25.0, 24.6)","(11.0, 24.0, 19.346153846153847)","(16.0, 21.0, 19.666666666666668)","(13.0, 18.0, 17.625)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.6)","(2.8, 3.05, 3.00625)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:25:02.001926,"(11.0, 13.0, 12.6171875)","(15.0, 27.0, 25.6)","(5.0, 5.7, 5.676923076923077)","(19.0, 25.0, 24.6)","(11.0, 24.0, 19.346153846153847)","(16.0, 21.0, 19.571428571428573)","(13.0, 18.0, 17.8)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.586666666666667)","(2.8, 3.05, 3.007222222222222)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:25:03.636763,"(11.0, 13.0, 12.6171875)","(15.0, 26.0, 25.6)","(5.0, 5.7, 5.676923076923077)","(19.0, 25.0, 24.6)","(11.0, 24.0, 19.346153846153847)","(16.0, 21.0, 19.571428571428573)","(13.0, 19.0, 17.714285714285715)","(71.0, 200.0, 160.0)","(4.8, 6.8, 6.586666666666667)","(2.8, 3.05, 3.007222222222222)","(31.0, 100.0, 75.0)","(26.0, 75.0, 50.833333333333336)"
