,Glory Daze,Morrissy,My Mate Sonny,Yulong Patrol,Imperial Hilton,Intellective,Pythagoras,Delightful Scoop,Fabians Spirit,Lets Atom,Warlist
08-01-2023 14:44:09.543292,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.741176470588236)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 58.15)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:10.848642,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.741176470588236)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 58.15)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:12.128120,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.741176470588236)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:13.415012,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:14.758369,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:16.094689,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:17.395129,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:18.863719,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:20.126430,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:21.359014,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 57.8235294117647)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:22.715868,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 51.0)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:24.042710,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 51.0)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:25.377201,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 51.0)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:26.606186,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 51.0)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:27.821933,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 51.0)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:29.084337,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 51.0)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:30.406486,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 51.0)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:31.715410,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:32.994523,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.825)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:34.297460,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.825)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:35.579232,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 6.2, 5.825)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:36.872713,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 5.9, 5.78)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:38.233915,"(2.9, 3.4, 3.35)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 5.9, 5.78)","(18.0, 60.0, 56.4)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:39.579707,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 5.8, 5.2444444444444445)","(18.0, 60.0, 51.25)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:40.877027,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 12.0, 11.45)","(4.2, 5.8, 5.2444444444444445)","(18.0, 60.0, 56.5)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:42.085104,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.797163120567376)","(7.5, 12.0, 11.45)","(4.2, 5.8, 5.1571428571428575)","(18.0, 60.0, 56.5)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:43.388407,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.797163120567376)","(7.5, 12.0, 11.45)","(4.2, 5.8, 5.390909090909091)","(18.0, 60.0, 47.5)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:44.756788,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.390909090909091)","(18.0, 55.0, 47.5)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:46.091400,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.390909090909091)","(18.0, 55.0, 47.5)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:47.342869,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.390909090909091)","(18.0, 55.0, 47.5)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:48.562900,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 47.5)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:49.829566,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:51.176297,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:52.507332,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:53.865726,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:55.201856,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:56.478792,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:57.757823,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:59.091473,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:00.474480,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.3)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:01.758063,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.7215686274509805)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:02.998262,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.7215686274509805)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:04.222935,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.7215686274509805)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:05.508453,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.750617283950617)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:06.820072,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 5.8, 5.750617283950617)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:08.068160,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.750617283950617)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:09.359290,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.725531914893617)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:10.620792,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.725531914893617)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:11.910714,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.688)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:13.194655,"(2.9, 3.4, 3.38)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.688)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:14.539649,"(2.9, 3.4, 3.3375)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.688)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:15.898954,"(2.9, 3.4, 3.286363636363636)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.688)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:45:17.187287,"(2.9, 3.4, 3.286363636363636)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.9375)","(4.2, 5.8, 5.688)","(18.0, 55.0, 49.833333333333336)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
