,Our Bondi Beach,Parama Nz,Majordoit,Dikerry Nz,Golightly,Bitcoin,Feelingforarainbow,Rocknroll Classic,Mohs Em Down Nz,Courageous Saint
10-01-2023 16:59:11.474247,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:12.656373,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 45.33333333333333)","(3.3, 4.9, 4.4)","(6.0, 10.0, 8.24)","(9.0, 16.5, 13.666666666666668)","(101.0, 99999, 99990)","(8.5, 15.5, 13.114285714285714)"
10-01-2023 16:59:13.859735,"(7.5, 12.5, 11.0)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.8, 4.16)","(6.0, 9.8, 8.24)","(9.0, 16.0, 13.666666666666668)","(101.0, 99999, 99990)","(8.5, 15.0, 13.114285714285714)"
10-01-2023 16:59:15.096215,"(7.5, 12.5, 11.0)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.8, 4.16)","(6.0, 9.8, 8.24)","(9.0, 16.0, 13.666666666666668)","(101.0, 99999, 99990)","(8.5, 15.0, 13.114285714285714)"
10-01-2023 16:59:16.320018,"(7.5, 12.5, 11.0)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.8, 4.16)","(6.0, 9.8, 8.24)","(9.0, 16.0, 13.666666666666668)","(101.0, 99999, 99990)","(8.5, 15.0, 13.114285714285714)"
10-01-2023 16:59:17.507292,"(7.5, 12.5, 11.0)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.8, 4.16)","(6.0, 9.8, 8.24)","(9.0, 16.0, 13.666666666666668)","(101.0, 99999, 99990)","(8.5, 15.0, 13.114285714285714)"
10-01-2023 16:59:18.799071,"(7.5, 12.5, 11.0)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.8, 4.16)","(6.0, 9.8, 8.24)","(9.0, 16.0, 13.666666666666668)","(101.0, 99999, 99990)","(8.5, 15.0, 13.114285714285714)"
10-01-2023 16:59:20.025584,"(7.5, 12.5, 11.0)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.8, 4.16)","(6.0, 9.8, 8.24)","(9.0, 16.0, 13.666666666666668)","(101.0, 99999, 99990)","(8.5, 15.0, 13.114285714285714)"
10-01-2023 16:59:21.244566,"(7.5, 12.5, 11.0)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.8, 3.95)","(6.0, 9.8, 8.120000000000001)","(9.0, 16.0, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 15.0, 12.757142857142856)"
10-01-2023 16:59:22.476529,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:23.735265,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:24.975678,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:26.186544,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:27.380587,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:28.778983,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:30.131474,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:31.367514,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:32.703154,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:34.179211,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:35.592910,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:36.960739,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:38.351587,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:39.718862,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:41.042673,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:42.258214,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:43.459106,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:44.732476,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:45.984015,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:47.332590,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:48.677801,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:50.013435,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:51.350286,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:52.660202,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:53.992549,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:55.286951,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:56.612707,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:57.901585,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 16:59:59.127089,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:00.458648,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:01.690456,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:02.890138,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:04.170639,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:05.552474,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:06.960065,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:08.315015,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:09.657522,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:11.041611,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:12.361971,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:13.785573,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:15.149587,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:16.552792,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:17.890045,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:19.241235,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:20.656323,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:22.037974,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:23.428500,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:24.776018,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:26.153152,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:27.470095,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:28.760722,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:30.018133,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
10-01-2023 17:00:31.512193,"(7.5, 12.0, 10.285714285714285)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 55.0, 40.5)","(3.3, 4.7, 3.95)","(6.0, 9.6, 8.120000000000001)","(9.0, 15.5, 13.333333333333332)","(101.0, 99999, 99990)","(8.5, 14.5, 12.757142857142856)"
