,Vive El Momento,Platinum Frolic,Gossiping,Party Monster,Sweet Annabella,Sarah Bellum,Awesome Incentive,Helluva Lady,Skyfly,Esperannna
07-01-2023 13:43:04.457884,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:05.676343,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:06.972109,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:08.268582,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:09.739246,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:10.918393,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:12.102192,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:13.393562,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:14.708670,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:15.971832,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:17.293138,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:18.488478,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:19.635831,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:20.747170,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:21.912359,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:23.157568,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:24.426322,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:25.934480,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:27.428388,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:28.954065,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:30.434535,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:32.105290,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
