,Spring Luna,Wheres Johnson,Drink Long Necks,Impact,Times Three,Queen Of Cakes,Ticket To Venus
06-01-2023 15:23:02.330099,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:03.663931,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:04.934609,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:06.175223,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:07.435796,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:08.630712,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:09.899316,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:11.107235,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:12.255485,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:13.463134,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:14.653075,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:15.841965,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:17.125155,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:18.468719,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:19.626542,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:20.837481,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:22.035342,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:23.130963,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:24.401538,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:25.603548,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:26.802984,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:28.009941,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:29.255567,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:30.426021,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:31.735791,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:33.002226,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:34.222314,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:35.489272,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:36.762458,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:38.011733,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:39.256864,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:40.424687,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:41.574680,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:42.585210,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:43.749496,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:44.963871,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:46.121750,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:47.298873,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:48.512916,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:49.640865,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:50.778759,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:51.841515,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:52.926000,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:54.386840,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:55.698018,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:56.956895,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:58.276062,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:59.615029,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:00.886455,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:02.155217,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:03.467247,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:04.563312,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:05.536509,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:06.709549,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:07.868621,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:09.100131,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:10.361518,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:11.654182,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:12.853907,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:14.091698,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:15.307336,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:16.473670,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:17.643917,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:18.833102,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:19.970264,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:21.201499,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:22.404249,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:23.503541,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:24.640346,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:25.720533,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:26.814407,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:28.188182,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:29.545253,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:30.878648,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:32.209553,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:33.617028,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:34.751937,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:35.836578,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:37.030795,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:38.151057,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:39.305709,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:40.392287,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:41.577209,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:42.706043,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:43.831974,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:45.032128,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:46.208709,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:47.223918,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:48.329843,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:24:49.461778,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
