,Our Girl Daisy,Off Switch,Nova Cascade,Juicy Que,Ripplebrook Snip
11-01-2023 14:15:08.919957,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:09.833710,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:10.737165,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:11.618106,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:12.484055,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:13.287011,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:14.088740,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:15.024623,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:15.928834,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:16.752157,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:17.567727,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:18.493167,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:19.423870,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:20.399752,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:21.266162,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:22.078375,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.21764705882353)"
11-01-2023 14:15:22.939412,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.21764705882353)"
11-01-2023 14:15:23.952791,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.21764705882353)"
11-01-2023 14:15:24.975976,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.21764705882353)"
11-01-2023 14:15:25.794503,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.21764705882353)"
11-01-2023 14:15:26.687416,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.21764705882353)"
11-01-2023 14:15:27.643638,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.21764705882353)"
11-01-2023 14:15:28.566382,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:29.418178,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:30.291878,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:31.217058,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:32.159299,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:33.187406,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:34.170239,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:34.976023,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:35.863381,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:36.778154,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:37.645419,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:38.545324,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:39.418824,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:40.395466,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:41.351886,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:42.209053,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:43.095619,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:43.924539,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:44.847134,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:45.743457,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:46.534367,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:47.347741,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:48.250198,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:49.128558,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:49.980591,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:50.965806,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:51.976551,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:52.845969,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:53.672870,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:54.505878,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:55.325930,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:56.216849,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:57.152880,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:58.105755,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:58.931865,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:15:59.751472,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:00.672679,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:01.542744,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:02.375166,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:03.212828,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:03.998147,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:04.843840,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:05.766805,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:06.602950,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:07.438757,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:08.269618,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:09.254533,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:10.176544,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:16:11.012611,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
