,Laroza Bale,Blackpool Ryan,Coach Fagan,No Tax,Crymelon Comet,Spring Tune,Bahrose,Parlo Bale
07-01-2023 18:42:46.041863,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:47.226803,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:48.385701,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:49.578847,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:50.663637,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:51.726483,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:52.860636,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:54.027357,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:55.086381,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:56.201816,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
