,Hurunui Mouse,Homebush Madison,Miss Matilda,Mr Muggins,Go Again,Homebush Faith
10-01-2023 08:02:33.071896,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:34.019426,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:34.937523,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:35.784387,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:36.645817,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:37.535367,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:38.502136,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:39.462246,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:40.329053,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:41.223772,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:42.060076,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:42.911289,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:43.798856,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:44.646706,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:45.601049,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:46.503949,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
