,Big Time Lotus,Big Time Polo,Mow Cow,Big Time Ring,Als Casino,Homebush Mandy
07-12-2022_10:32:24,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.3)","(3.1, 3.4)","(6.5, 8.0)","(26.0, 48.0)"
07-12-2022_10:32:25,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.3)","(3.1, 3.4)","(6.5, 8.0)","(26.0, 48.0)"
07-12-2022_10:32:26,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.2)","(3.1, 3.45)","(6.5, 8.0)","(26.0, 48.0)"
07-12-2022_10:32:27,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.2)","(3.1, 3.45)","(6.5, 8.0)","(26.0, 48.0)"
07-12-2022_10:32:29,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.2)","(3.1, 3.45)","(6.5, 8.0)","(26.0, 48.0)"
07-12-2022_10:32:30,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.2)","(3.1, 3.45)","(6.5, 8.0)","(26.0, 48.0)"
07-12-2022_10:32:31,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.2)","(3.0, 3.4)","(6.5, 8.2)","(26.0, 48.0)"
07-12-2022_10:32:32,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.2)","(3.0, 3.4)","(6.5, 8.2)","(26.0, 48.0)"
07-12-2022_10:32:33,"(3.4, 4.2)","(10.0, 13.0)","(3.4, 4.2)","(3.0, 3.45)","(6.5, 8.2)","(31.0, 48.0)"
07-12-2022_10:32:34,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.45)","(6.5, 8.2)","(31.0, 48.0)"
07-12-2022_10:32:35,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.45)","(6.5, 8.2)","(31.0, 48.0)"
07-12-2022_10:32:37,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.45)","(6.5, 8.2)","(31.0, 48.0)"
07-12-2022_10:32:38,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.45)","(6.5, 8.2)","(31.0, 48.0)"
07-12-2022_10:32:39,"(3.4, 4.2)","(10.0, 12.0)","(3.4, 4.2)","(3.0, 3.6)","(6.5, 8.0)","(31.0, 48.0)"
07-12-2022_10:32:40,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.65)","(6.5, 8.0)","(31.0, 48.0)"
07-12-2022_10:32:41,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.65)","(6.5, 8.0)","(31.0, 48.0)"
07-12-2022_10:32:42,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.0)","(31.0, 48.0)"
07-12-2022_10:32:43,"(3.4, 4.2)","(10.0, 12.5)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.0)","(31.0, 48.0)"
07-12-2022_10:32:45,"(3.4, 4.2)","(10.0, 12.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.0)","(31.0, 48.0)"
07-12-2022_10:32:46,"(3.4, 4.2)","(10.0, 12.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.0)","(31.0, 48.0)"
07-12-2022_10:32:47,"(3.4, 4.1)","(10.0, 12.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.2)","(31.0, 80.0)"
07-12-2022_10:32:48,"(3.4, 4.1)","(10.0, 12.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.2)","(31.0, 75.0)"
07-12-2022_10:32:49,"(3.4, 4.1)","(10.0, 12.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.2)","(31.0, 75.0)"
07-12-2022_10:32:50,"(3.4, 4.1)","(10.0, 11.5)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.2)","(31.0, 75.0)"
07-12-2022_10:32:51,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.65)","(6.5, 8.4)","(31.0, 70.0)"
07-12-2022_10:32:53,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.7)","(6.5, 8.4)","(31.0, 70.0)"
07-12-2022_10:32:54,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.75)","(6.5, 8.2)","(31.0, 70.0)"
07-12-2022_10:32:55,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.75)","(6.5, 8.2)","(31.0, 70.0)"
07-12-2022_10:32:56,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.75)","(6.5, 8.4)","(31.0, 70.0)"
07-12-2022_10:32:57,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.1)","(3.0, 3.75)","(6.5, 8.4)","(31.0, 70.0)"
07-12-2022_10:32:58,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.1)","(3.0, 3.75)","(6.5, 8.4)","(31.0, 70.0)"
07-12-2022_10:32:59,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.1)","(3.0, 3.75)","(6.5, 8.4)","(31.0, 70.0)"
07-12-2022_10:33:00,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.65)","(6.5, 8.6)","(31.0, 70.0)"
07-12-2022_10:33:01,"(3.4, 4.1)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.65)","(6.5, 8.6)","(31.0, 70.0)"
07-12-2022_10:33:03,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:04,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:05,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:06,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:07,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:08,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:09,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:11,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.55)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:12,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.5)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:13,"(3.4, 4.3)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.5)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:14,"(3.4, 4.5)","(10.0, 11.0)","(3.4, 4.2)","(3.0, 3.5)","(6.5, 8.6)","(31.0, 50.0)"
07-12-2022_10:33:15,"(3.4, 4.5)","(10.0, 11.0)","(3.4, 4.1)","(3.0, 3.45)","(6.5, 8.8)","(31.0, 50.0)"
07-12-2022_10:33:16,"(3.5, 4.5)","(10.0, 11.0)","(3.3, 4.1)","(3.0, 3.5)","(6.5, 8.8)","(31.0, 65.0)"
07-12-2022_10:33:17,"(3.5, 4.5)","(10.0, 11.0)","(3.3, 4.1)","(3.0, 3.5)","(6.5, 8.8)","(31.0, 65.0)"
07-12-2022_10:33:19,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:20,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:21,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:22,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:23,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:24,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:25,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:26,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:28,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
07-12-2022_10:33:29,"(3.5, 99998)","(10.0, 99998)","(3.3, 99998)","(3.0, 99998)","(6.5, 99998)","(31.0, 99998)"
