,Bye Bye Blues,Paramount Patti,Wild Bean,Lipinski Pie,Finniss Swell,Bellas Flower
16-12-2022 13:06:08.943230,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:09.816895,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:10.754022,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:11.634255,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:12.581263,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:13.580212,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:14.594599,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:15.582067,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:16.616638,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:17.622340,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:18.533808,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:19.463920,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:20.385576,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:21.276618,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:22.280030,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 5.25)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:23.206988,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:24.195938,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:25.232382,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:26.197460,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:27.173282,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:28.219363,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:29.215561,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:30.116235,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:30.993181,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:31.871404,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:32.824079,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:33.853671,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:34.795238,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.042105263157895)"
16-12-2022 13:06:35.867061,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:36.936263,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:37.969820,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:39.010911,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:40.022550,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:41.018038,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:41.972272,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:42.904617,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.033333333333333)"
16-12-2022 13:06:43.844547,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.9818181818181815)"
16-12-2022 13:06:44.882239,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.9818181818181815)"
16-12-2022 13:06:45.863865,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.9818181818181815)"
16-12-2022 13:06:46.883579,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.9818181818181815)"
16-12-2022 13:06:47.895317,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.9818181818181815)"
16-12-2022 13:06:48.886980,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.25)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 7.9818181818181815)"
16-12-2022 13:06:49.967984,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:50.948723,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:51.824081,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:52.843581,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:53.851231,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:54.791040,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:55.844258,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:56.919239,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:57.927915,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:06:58.935830,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:07:00.015386,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:07:01.027915,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:07:02.000437,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:07:02.969483,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:07:04.022405,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:07:05.057937,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.08)"
16-12-2022 13:07:06.048496,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:07.083455,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:08.178583,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:09.215242,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3323809523809524)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:10.239166,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 6.666666666666666)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.15, 2.3421052631578947)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:11.246747,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.1, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:12.224191,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:13.246546,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:14.141086,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:15.149437,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:16.219753,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:17.248650,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:18.280329,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:19.327489,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:20.328029,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:21.426885,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:22.426357,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:23.352172,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:24.372681,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:25.365356,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:26.301465,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:27.305432,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:28.364447,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
16-12-2022 13:07:29.433687,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.8, 7.8, 5.155555555555556)","(41.0, 240.0, 68.18181818181819)","(2.1, 3.05, 2.868)","(4.8, 8.2, 8.071428571428571)"
