,Aston Simpkin,Clover Door,Clover Energy,Kooringa Magic,My Reputation,Star Max,Consort,Bugatti Fierce
12-01-2023 10:15:15.121855,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:16.193520,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:17.350643,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:18.507509,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:19.629388,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:20.710752,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:21.782280,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:22.885929,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:24.022458,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:25.184994,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:26.223821,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:27.370287,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:28.496253,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:29.601293,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:30.707237,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:31.739325,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:32.920998,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:34.096922,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:35.232793,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:36.363997,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:37.431885,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:38.524134,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:39.662583,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:40.801170,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:41.935948,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:43.004069,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:44.073569,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:45.159040,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:46.337497,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:47.385908,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:48.432655,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:49.504798,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:50.633863,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:51.735724,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:52.772800,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:53.827351,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:55.081821,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:56.194376,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:57.346350,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:58.440770,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:59.510687,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:00.620190,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:01.765538,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:02.845259,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:03.882508,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:04.973041,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:06.064389,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:07.219371,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:08.331068,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:09.388148,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:10.462785,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:11.636691,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:12.770104,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:13.887171,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:14.944123,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:16.084214,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:17.226926,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:18.370111,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:19.494341,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:20.597425,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:21.663804,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:22.808311,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:23.916676,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:25.011249,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:26.044088,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:27.176252,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:28.488834,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:16:29.673898,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
