,Bruce Almighty,Im Full On,Chilli Cherry,Little Wilma,Safety Sam,Two Suns,Wiradjuri Queen,Riley Casey
05-01-2023 16:19:06.152936,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:07.189369,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:08.347146,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:09.541107,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:10.731402,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:11.875096,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:19:12.945344,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:19:14.028879,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:19:15.042131,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:19:16.244812,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:17.423448,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:18.628922,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:19.742492,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:20.839582,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:21.943983,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:23.060024,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:24.209664,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:25.408173,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:26.645388,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 31.0)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:27.900478,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:29.062075,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:30.172368,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:31.282442,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:32.461304,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:33.665737,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:34.863872,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.26)"
05-01-2023 16:19:36.000112,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:37.059756,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:38.034014,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:39.152019,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:40.233890,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:41.345814,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:42.530466,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:43.693648,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:44.824509,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:45.947079,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 188.22222222222223)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:47.074773,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:48.200457,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:49.438662,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:50.585718,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 31.0)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.614285714285714)"
05-01-2023 16:19:51.772425,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 32.5)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.61875)"
05-01-2023 16:19:52.945736,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 50.0, 32.5)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 5.85)"
05-01-2023 16:19:54.076239,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 50.0, 32.5)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 5.85)"
05-01-2023 16:19:55.274732,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 50.0, 32.5)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:56.322587,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 50.0, 32.5)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:57.449125,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:58.623461,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:59.848639,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:01.048275,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:02.377256,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:03.614800,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:04.862629,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:06.075721,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:07.129498,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:08.186020,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:09.242778,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:10.296709,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:11.324479,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:12.275168,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:13.284920,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:14.319690,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:15.389735,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:20:16.500714,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:17.642698,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:18.738482,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:19.830478,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:20.949146,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:21.972712,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 34.375)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:23.092514,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 34.375)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:24.163034,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 34.375)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:25.243611,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 34.375)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:26.356298,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 55.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
05-01-2023 16:20:27.442702,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.85714285714286)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.625)"
