,Got The Lot,Perfect Colour,Dr Nightingale,Salad Dodger,Unleash Collinda,Shadow Riot,Oldrik Bale,Center
11-01-2023 19:36:56.177871,"(5.5, 14.0, 12.71111111111111)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 5.88)","(1.75, 1.97, 1.9172222222222222)","(4.2, 5.3, 4.82)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:36:57.426105,"(5.5, 14.0, 12.066666666666666)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.333333333333333)","(1.75, 1.97, 1.9172222222222222)","(4.2, 5.3, 4.82)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:36:58.647454,"(5.5, 14.0, 12.066666666666666)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.0, 6.333333333333333)","(1.75, 1.97, 1.9172222222222222)","(4.2, 5.3, 4.82)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:36:59.906332,"(5.5, 14.0, 12.066666666666666)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.0, 6.32)","(1.75, 1.97, 1.8245454545454547)","(4.2, 5.3, 4.82)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:01.153357,"(5.5, 14.0, 12.066666666666666)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.8245454545454547)","(4.2, 5.3, 4.9)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:02.405213,"(5.5, 14.0, 12.4)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.8245454545454547)","(4.2, 5.3, 4.9)","(51.0, 400.0, 268.57142857142856)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:03.572128,"(5.5, 14.0, 12.457142857142857)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.8245454545454547)","(4.2, 5.3, 4.9)","(51.0, 390.0, 290.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:04.755539,"(5.5, 14.0, 12.457142857142857)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.8245454545454547)","(4.2, 5.3, 5.263636363636364)","(51.0, 440.0, 290.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:05.934385,"(5.5, 14.0, 10.4)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.8245454545454547)","(4.2, 6.6, 5.263636363636364)","(51.0, 440.0, 300.7142857142857)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:07.174511,"(5.5, 14.0, 10.285714285714286)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.8245454545454547)","(4.2, 6.6, 5.263636363636364)","(51.0, 440.0, 313.0769230769231)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:08.422531,"(5.5, 14.0, 10.666666666666666)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.8245454545454547)","(4.2, 6.6, 5.190909090909091)","(51.0, 430.0, 278.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:09.690246,"(5.5, 14.0, 10.666666666666666)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 1.97, 1.815686274509804)","(4.2, 6.4, 5.633333333333334)","(51.0, 430.0, 278.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:10.903467,"(5.5, 14.0, 10.571428571428571)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 2.1, 1.8325)","(4.2, 6.2, 5.633333333333334)","(51.0, 430.0, 278.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:37:12.110959,"(5.5, 14.0, 10.571428571428571)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.2, 6.054545454545455)","(1.75, 2.08, 1.8346153846153848)","(4.2, 6.2, 5.633333333333334)","(51.0, 430.0, 278.0)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:13.257080,"(5.5, 14.0, 10.714285714285715)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.2, 5.485714285714286)","(1.75, 2.08, 1.8346153846153848)","(4.2, 6.2, 5.633333333333334)","(51.0, 430.0, 112.85714285714286)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:14.532910,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.485714285714286)","(1.75, 2.08, 1.8346153846153848)","(4.2, 6.2, 5.633333333333334)","(51.0, 430.0, 112.85714285714286)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:15.765478,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.485714285714286)","(1.75, 2.08, 1.8346153846153848)","(4.2, 6.2, 5.133333333333333)","(51.0, 430.0, 278.0)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:17.085956,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.7)","(1.75, 2.08, 1.975625)","(4.2, 6.2, 4.699999999999999)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:18.386786,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.7)","(1.75, 2.06, 1.975625)","(4.2, 5.3, 4.699999999999999)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:19.924892,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.7)","(1.75, 2.06, 1.975625)","(4.2, 5.3, 4.699999999999999)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:21.378238,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.7)","(1.75, 2.06, 1.975625)","(4.2, 5.3, 4.699999999999999)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:22.781577,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.7)","(1.75, 2.06, 1.975625)","(4.2, 5.3, 4.699999999999999)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:24.123577,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.7)","(1.75, 2.06, 1.8134782608695652)","(4.2, 5.3, 5.133333333333333)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:25.671160,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.7)","(1.75, 2.06, 1.8134782608695652)","(4.2, 6.2, 5.133333333333333)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 153.33333333333331)"
11-01-2023 19:37:27.180768,"(5.5, 12.5, 11.090909090909092)","(15.0, 38.0, 22.642857142857142)","(81.0, 600.0, 337.5)","(5.0, 7.2, 5.6000000000000005)","(1.75, 2.06, 1.8945454545454545)","(4.2, 6.2, 5.133333333333333)","(51.0, 430.0, 121.42857142857143)","(41.0, 360.0, 80.0)"
