,Antique Elsa,Apollo One,Denis The Menace,Maximum Zeal,Kinimakatka,Arts Inferno,Urana Fernando,Queen Sal
15-12-2022 12:52:48.368739,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:49.428974,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:50.509620,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:51.564531,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:52.699710,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:53.796027,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:54.840443,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:55.934074,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:57.054377,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:58.185867,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:59.322804,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:00.470807,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:01.656855,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:02.841116,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:03.962190,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:05.022745,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:06.099350,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:07.300594,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:08.394084,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:09.536451,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:10.714849,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:11.770055,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:12.842490,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:14.085690,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:15.110215,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:16.125608,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:17.264324,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:18.392419,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:19.561523,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:20.743859,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:22.065275,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:23.393079,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:24.624803,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:25.916743,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:27.283515,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:28.562234,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:29.820196,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:31.073821,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:32.427174,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:33.686541,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:34.876069,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:36.095808,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:37.263137,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:38.342797,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:39.453187,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:40.492301,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:41.658370,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:42.829771,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:44.007736,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:45.158202,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:46.294271,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:47.374480,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:48.566011,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:49.730478,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:50.849721,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:51.973178,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:53.127130,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:54.277636,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:55.395217,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:56.473029,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:57.542795,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:53:58.562269,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
