,Moonlit Picture,Clover Athena,Lizard,Fernando Diva,Liar For Hire,Sunset Charlie,Integrity Angel
05-01-2023 12:56:23.379774,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:24.461034,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:25.565038,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:26.791597,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:27.974894,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:29.115776,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:30.268552,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:31.369985,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:32.487086,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:33.665625,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:34.788852,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:35.944131,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:36.992833,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:38.086030,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:39.198849,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:40.289485,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:41.548741,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:42.637880,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:43.644335,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:44.722316,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:45.890228,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:47.003434,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:48.189252,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:49.278685,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:50.447481,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:51.560807,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:52.722484,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:54.049669,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:55.166213,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:56.631140,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:57.859158,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:56:58.982255,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:57:00.064750,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:57:01.146134,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.464285714285715)"
05-01-2023 12:57:02.306528,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:03.468053,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:04.591273,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:05.772980,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:06.936224,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:08.205323,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:09.426752,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:10.716246,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.11111111111111)"
05-01-2023 12:57:11.951763,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 19.88888888888889)"
05-01-2023 12:57:13.303905,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 19.88888888888889)"
05-01-2023 12:57:14.373949,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 19.88888888888889)"
05-01-2023 12:57:15.445896,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 19.88888888888889)"
05-01-2023 12:57:16.562791,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:17.628951,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:18.663183,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:20.030810,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:21.695221,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:23.001155,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:24.294733,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:25.674761,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:26.989790,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:28.310117,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:29.595452,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:31.030540,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:32.297944,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:33.451583,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:34.518292,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:35.714302,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:36.914032,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:38.037062,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:39.133223,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:40.284426,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:41.484253,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:42.642642,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:43.890928,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:45.085820,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:46.284429,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:47.544087,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:49.009386,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:50.502970,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 21.48275862068966)"
05-01-2023 12:57:51.610052,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:57:52.761046,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:57:53.977029,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:57:55.207078,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:57:56.459110,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:57:57.561089,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:57:58.733965,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:57:59.864983,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:58:01.069840,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:58:02.169943,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:58:03.255181,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:58:04.449729,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:58:05.596940,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
