,Brinktop Lad,Freak On A Lead,Gee Gee True Story,Mr Freeze,Shampz Again,Ziavera,Nevs Boy,Swing King,Zades Stories,Magic Typhoon,Heavens Miracle,Renascence
06-01-2023 14:34:25.615285,"(8.0, 9.2, 9.113043478260868)","(4.6, 5.4, 5.391891891891892)","(8.0, 8.8, 8.635200000000001)","(13.0, 17.0, 16.36231884057971)","(16.0, 24.0, 23.466666666666665)","(31.0, 48.0, 47.523809523809526)","(4.2, 4.8, 4.7167164179104475)","(91.0, 140.0, 147.5)","(9.0, 12.0, 11.954545454545455)","(9.0, 11.0, 10.801315789473684)","(21.0, 30.0, 29.923076923076923)","(31.0, 40.0, 38.111111111111114)"
06-01-2023 14:34:27.100409,"(8.0, 9.0, 8.995555555555555)","(4.6, 5.4, 5.391891891891892)","(8.0, 8.8, 8.635200000000001)","(13.0, 17.0, 16.36231884057971)","(16.0, 24.0, 23.875)","(31.0, 48.0, 47.523809523809526)","(4.2, 4.8, 4.697297297297298)","(91.0, 150.0, 147.5)","(8.5, 12.0, 11.96)","(9.0, 11.0, 10.797402597402597)","(21.0, 30.0, 29.56756756756757)","(31.0, 40.0, 38.111111111111114)"
06-01-2023 14:34:28.743562,"(8.0, 9.0, 8.995555555555555)","(4.6, 5.4, 5.3918181818181825)","(8.0, 8.8, 8.700000000000001)","(13.0, 17.0, 16.352941176470587)","(16.0, 24.0, 23.863636363636363)","(31.0, 48.0, 47.523809523809526)","(4.2, 4.7, 4.677087794432548)","(91.0, 150.0, 147.5)","(8.5, 12.0, 11.801369863013699)","(9.0, 11.0, 10.797402597402597)","(21.0, 32.0, 29.428571428571427)","(31.0, 40.0, 38.111111111111114)"
06-01-2023 14:34:30.384884,"(8.0, 9.0, 8.96)","(4.4, 5.4, 5.3918181818181825)","(8.5, 8.8, 8.617021276595745)","(13.0, 17.0, 16.369230769230768)","(16.0, 24.0, 23.95)","(31.0, 48.0, 47.523809523809526)","(4.2, 4.7, 4.687019230769231)","(91.0, 150.0, 147.5)","(8.5, 12.0, 11.872881355932204)","(9.0, 11.0, 10.798177083333334)","(21.0, 32.0, 30.90566037735849)","(31.0, 40.0, 36.76190476190476)"
06-01-2023 14:34:32.052246,"(8.0, 9.0, 8.853703703703705)","(4.4, 5.4, 5.347976878612717)","(8.5, 8.8, 8.617021276595745)","(13.0, 17.0, 16.403508771929825)","(16.0, 24.0, 23.95)","(31.0, 48.0, 46.583333333333336)","(4.2, 4.7, 4.657522123893806)","(91.0, 150.0, 147.5)","(8.5, 12.0, 11.895348837209303)","(9.0, 11.0, 10.78968253968254)","(21.0, 32.0, 30.979591836734695)","(31.0, 40.0, 36.76190476190476)"
06-01-2023 14:34:33.884784,"(8.0, 9.0, 8.791869918699188)","(4.6, 5.4, 5.3641509433962264)","(8.0, 8.8, 8.675675675675675)","(13.0, 17.0, 16.448979591836736)","(16.0, 24.0, 23.9375)","(31.0, 48.0, 46.583333333333336)","(4.2, 4.7, 4.655555555555556)","(91.0, 150.0, 147.5)","(9.0, 12.0, 11.605263157894736)","(9.0, 11.0, 10.78968253968254)","(21.0, 32.0, 31.03846153846154)","(31.0, 40.0, 36.76190476190476)"
06-01-2023 14:34:35.679286,"(8.0, 8.8, 8.797014925373134)","(4.6, 5.4, 5.340206185567011)","(8.0, 8.8, 8.784905660377358)","(13.0, 17.0, 16.369565217391305)","(16.0, 24.0, 23.464646464646464)","(31.0, 48.0, 46.5)","(4.2, 4.7, 4.667889908256881)","(91.0, 150.0, 147.85714285714286)","(9.0, 12.0, 11.680851063829786)","(9.0, 11.0, 10.789731051344743)","(21.0, 32.0, 31.152542372881356)","(31.0, 42.0, 41.85)"
06-01-2023 14:34:37.253089,"(8.0, 9.0, 8.795488721804512)","(4.6, 5.4, 5.340206185567011)","(8.0, 8.8, 8.138461538461538)","(13.0, 16.5, 16.344827586206897)","(16.0, 25.0, 23.448979591836736)","(31.0, 48.0, 45.88235294117647)","(4.2, 4.7, 4.663432835820895)","(91.0, 150.0, 148.23529411764707)","(9.0, 12.0, 11.711538461538462)","(9.0, 11.0, 10.788697788697789)","(21.0, 32.0, 31.137931034482758)","(31.0, 42.0, 41.86046511627907)"
06-01-2023 14:34:38.779467,"(8.0, 9.0, 8.795488721804512)","(4.6, 5.4, 5.325663716814159)","(8.0, 8.6, 7.819354838709677)","(13.0, 16.5, 16.344827586206897)","(16.0, 25.0, 24.074074074074073)","(31.0, 48.0, 45.88235294117647)","(4.2, 4.7, 4.695906432748538)","(91.0, 150.0, 148.23529411764707)","(9.0, 12.0, 11.744047619047619)","(9.0, 11.0, 10.792892156862745)","(21.0, 32.0, 31.11864406779661)","(31.0, 42.0, 41.72727272727273)"
06-01-2023 14:34:40.495014,"(8.0, 8.8, 8.764161849710984)","(4.6, 5.5, 5.339183673469388)","(8.0, 8.0, 7.755023923444976)","(13.0, 16.5, 16.375)","(16.0, 25.0, 24.22222222222222)","(31.0, 48.0, 45.88235294117647)","(4.2, 4.7, 4.695454545454545)","(91.0, 150.0, 148.23529411764707)","(9.0, 12.5, 11.744047619047619)","(9.0, 11.0, 10.789346246973366)","(21.0, 32.0, 31.2)","(31.0, 42.0, 41.72727272727273)"
06-01-2023 14:34:42.087413,"(8.0, 8.8, 8.764161849710984)","(4.6, 5.5, 5.338247011952191)","(8.0, 8.0, 7.692836676217765)","(13.0, 16.5, 16.375)","(16.0, 25.0, 24.16)","(31.0, 48.0, 46.06896551724138)","(4.2, 4.7, 4.7090163934426235)","(91.0, 150.0, 148.33333333333334)","(9.0, 12.5, 11.782485875706215)","(9.0, 11.0, 10.711920529801324)","(21.0, 32.0, 31.161290322580644)","(31.0, 42.0, 41.886792452830186)"
06-01-2023 14:34:43.729824,"(8.0, 8.8, 8.764161849710984)","(4.6, 5.5, 5.376190476190477)","(8.0, 8.0, 7.82437275985663)","(13.0, 16.5, 16.681818181818183)","(16.0, 25.0, 24.5609756097561)","(31.0, 48.0, 46.4)","(4.2, 4.8, 4.5640909090909085)","(91.0, 150.0, 160.0)","(9.0, 12.5, 12.064516129032258)","(9.0, 11.0, 10.717665615141955)","(21.0, 32.0, 31.022222222222222)","(31.0, 42.0, 42.666666666666664)"
06-01-2023 14:34:45.426971,"(8.0, 9.0, 8.857399103139015)","(4.6, 5.4, 5.326540284360189)","(7.5, 8.0, 7.882706766917293)","(13.0, 17.0, 16.81578947368421)","(17.0, 25.0, 24.866666666666667)","(31.0, 48.0, 47.08571428571429)","(4.2, 4.6, 4.5368055555555555)","(91.0, 170.0, 164.375)","(9.0, 12.5, 12.057142857142857)","(9.0, 11.0, 10.73463687150838)","(21.0, 32.0, 31.323076923076922)","(31.0, 44.0, 43.38461538461539)"
06-01-2023 14:34:47.244641,"(8.0, 9.0, 8.831746031746032)","(4.6, 5.5, 5.3273170731707316)","(7.5, 8.0, 7.86280193236715)","(13.0, 17.0, 16.825)","(17.0, 25.0, 24.88888888888889)","(31.0, 48.0, 46.93333333333333)","(4.2, 4.6, 4.453024911032029)","(91.0, 170.0, 164.375)","(9.0, 12.5, 11.956221198156681)","(9.0, 11.0, 10.73463687150838)","(21.0, 32.0, 31.323076923076922)","(31.0, 44.0, 43.38461538461539)"
06-01-2023 14:34:49.234640,"(8.0, 9.0, 8.798601398601399)","(4.6, 5.5, 5.314659685863874)","(7.5, 8.0, 7.855837563451776)","(13.0, 17.0, 16.825)","(17.0, 25.0, 24.928571428571427)","(31.0, 48.0, 46.93333333333333)","(4.2, 4.6, 4.437482517482517)","(91.0, 170.0, 157.14285714285714)","(9.0, 12.5, 11.956221198156681)","(9.0, 11.0, 10.738636363636363)","(21.0, 32.0, 31.323076923076922)","(31.0, 44.0, 43.36)"
06-01-2023 14:34:51.003794,"(8.0, 8.8, 8.882634730538923)","(4.6, 5.5, 5.442156862745098)","(7.5, 8.0, 7.908614232209738)","(13.0, 17.0, 17.11842105263158)","(17.0, 25.0, 25.483870967741936)","(31.0, 48.0, 47.142857142857146)","(4.2, 4.6, 4.4575000000000005)","(91.0, 170.0, 165.71428571428572)","(9.0, 12.5, 12.116883116883116)","(9.0, 11.0, 10.783018867924529)","(21.0, 34.0, 33.44)","(31.0, 48.0, 46.285714285714285)"
06-01-2023 14:34:52.610783,"(8.0, 9.0, 8.856934306569343)","(4.6, 5.5, 5.434686346863469)","(7.5, 8.0, 7.931132075471698)","(13.0, 17.5, 16.916666666666668)","(17.0, 26.0, 25.956521739130434)","(31.0, 48.0, 47.0)","(4.2, 4.5, 4.457874015748032)","(91.0, 170.0, 163.07692307692307)","(9.0, 12.5, 12.090909090909092)","(9.0, 11.0, 10.762532981530343)","(21.0, 34.0, 33.27272727272727)","(31.0, 48.0, 46.285714285714285)"
06-01-2023 14:34:54.118901,"(8.0, 9.0, 8.868456375838926)","(4.6, 5.5, 5.339090909090909)","(7.5, 8.0, 7.956906077348067)","(13.0, 17.0, 17.142857142857142)","(17.0, 26.0, 25.928571428571427)","(31.0, 48.0, 47.111111111111114)","(4.2, 4.5, 4.437832310838446)","(91.0, 170.0, 176.66666666666666)","(9.0, 12.5, 12.887096774193548)","(9.0, 11.0, 10.768637532133676)","(21.0, 34.0, 33.27272727272727)","(31.0, 48.0, 46.285714285714285)"
06-01-2023 14:34:55.668239,"(8.0, 9.0, 8.868456375838926)","(4.6, 5.5, 5.376785714285715)","(7.5, 8.0, 8.041379310344828)","(13.0, 17.5, 17.115384615384617)","(17.0, 26.0, 25.91304347826087)","(31.0, 48.0, 47.111111111111114)","(4.0, 4.5, 4.432244897959183)","(91.0, 180.0, 176.66666666666666)","(9.0, 13.0, 12.887096774193548)","(9.0, 11.0, 10.754768392370572)","(21.0, 34.0, 33.310344827586206)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:34:57.302542,"(8.0, 9.0, 8.850980392156863)","(4.6, 5.4, 5.377777777777778)","(7.5, 8.2, 8.008333333333333)","(13.0, 17.5, 17.075)","(17.0, 26.0, 25.88235294117647)","(31.0, 48.0, 47.111111111111114)","(4.0, 4.5, 4.432244897959183)","(91.0, 180.0, 176.66666666666666)","(9.0, 13.0, 12.887096774193548)","(9.0, 11.0, 10.754098360655737)","(21.0, 34.0, 33.310344827586206)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:34:58.844713,"(8.0, 9.0, 8.850980392156863)","(4.6, 5.4, 5.4418238993710695)","(7.5, 8.2, 8.06341463414634)","(13.0, 17.5, 17.115384615384617)","(17.0, 26.0, 25.91304347826087)","(31.0, 48.0, 46.857142857142854)","(4.0, 4.5, 4.386219081272085)","(101.0, 180.0, 176.66666666666666)","(9.0, 13.0, 12.887096774193548)","(9.0, 11.0, 10.754098360655737)","(21.0, 34.0, 32.46153846153846)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:35:00.436715,"(8.0, 9.0, 8.822222222222223)","(4.6, 5.5, 5.441776315789474)","(7.5, 8.2, 8.11111111111111)","(13.0, 17.5, 17.32456140350877)","(17.0, 26.0, 25.928571428571427)","(31.0, 48.0, 46.857142857142854)","(4.0, 4.4, 4.37280701754386)","(101.0, 180.0, 178.46153846153845)","(9.0, 13.0, 12.86)","(9.0, 11.0, 11.447557471264368)","(21.0, 34.0, 32.470588235294116)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:35:01.938151,"(8.0, 9.0, 8.822222222222223)","(4.6, 5.5, 5.4303149606299215)","(7.5, 8.2, 8.03030303030303)","(13.0, 17.5, 17.22340425531915)","(17.0, 26.0, 25.928571428571427)","(31.0, 48.0, 46.857142857142854)","(4.0, 4.4, 4.372403560830861)","(101.0, 180.0, 178.46153846153845)","(9.0, 13.0, 12.849462365591398)","(9.0, 11.5, 11.425619834710744)","(21.0, 34.0, 32.470588235294116)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:35:03.444843,"(8.0, 9.0, 8.822222222222223)","(4.6, 5.5, 5.4107142857142865)","(7.5, 8.2, 8.080851063829787)","(13.0, 17.5, 17.22340425531915)","(17.0, 26.0, 25.925925925925927)","(31.0, 48.0, 46.857142857142854)","(4.0, 4.4, 4.382677165354331)","(101.0, 180.0, 178.46153846153845)","(9.0, 13.0, 12.844086021505376)","(9.0, 11.5, 11.41644204851752)","(21.0, 34.0, 32.470588235294116)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:35:04.984654,"(8.0, 9.0, 8.836666666666668)","(4.6, 5.5, 5.4107142857142865)","(7.5, 8.2, 8.048648648648648)","(13.0, 17.5, 17.22340425531915)","(17.0, 26.0, 25.925925925925927)","(31.0, 48.0, 46.857142857142854)","(4.0, 4.4, 4.382608695652174)","(101.0, 180.0, 178.46153846153845)","(10.0, 13.0, 12.844086021505376)","(9.0, 11.5, 11.383850931677019)","(21.0, 34.0, 32.470588235294116)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:35:06.483063,"(8.0, 9.0, 8.836666666666668)","(4.6, 5.5, 5.409958506224067)","(7.5, 8.2, 8.05625)","(13.0, 17.5, 17.22340425531915)","(17.0, 26.0, 25.925925925925927)","(31.0, 48.0, 46.857142857142854)","(4.0, 4.4, 4.285474860335196)","(101.0, 180.0, 177.5)","(10.0, 13.0, 13.056521739130435)","(9.0, 11.5, 11.408376963350785)","(21.0, 34.0, 32.470588235294116)","(31.0, 48.0, 46.421052631578945)"
06-01-2023 14:35:08.001818,"(7.5, 9.0, 8.836666666666668)","(4.6, 5.5, 5.400561797752809)","(7.5, 8.2, 8.03720930232558)","(13.0, 17.5, 17.25)","(17.0, 26.0, 25.935483870967744)","(31.0, 48.0, 47.45454545454545)","(4.0, 4.3, 4.2865)","(101.0, 180.0, 177.5)","(10.0, 13.5, 13.081967213114755)","(9.0, 11.5, 11.40691489361702)","(21.0, 34.0, 33.06666666666666)","(31.0, 48.0, 46.5)"
06-01-2023 14:35:09.511667,"(7.5, 9.0, 8.811538461538461)","(4.6, 5.5, 5.34)","(7.5, 8.2, 8.09047619047619)","(13.0, 17.5, 17.24137931034483)","(17.0, 26.0, 25.942857142857143)","(31.0, 48.0, 46.8)","(4.0, 4.3, 4.2745945945945945)","(101.0, 180.0, 177.5)","(10.0, 13.5, 13.104651162790697)","(9.0, 11.5, 11.40691489361702)","(21.0, 34.0, 33.06666666666666)","(31.0, 48.0, 46.5)"
06-01-2023 14:35:10.915591,"(7.5, 9.0, 8.812765957446809)","(4.6, 5.4, 5.329545454545454)","(7.5, 8.2, 8.11875)","(13.0, 17.5, 17.24137931034483)","(17.0, 26.0, 25.942857142857143)","(31.0, 48.0, 46.8)","(4.0, 4.3, 4.2803571428571425)","(101.0, 180.0, 177.5)","(10.0, 13.5, 13.058823529411764)","(9.0, 11.5, 11.40691489361702)","(21.0, 34.0, 33.06666666666666)","(31.0, 48.0, 46.5)"
06-01-2023 14:35:12.471588,"(7.5, 9.0, 8.8987012987013)","(4.6, 5.4, 5.293055555555555)","(7.5, 8.4, 8.172151898734178)","(13.0, 17.5, 17.24137931034483)","(17.0, 26.0, 25.933333333333334)","(31.0, 48.0, 46.8)","(4.0, 4.3, 4.281428571428571)","(101.0, 180.0, 177.5)","(10.0, 13.5, 13.125)","(9.0, 11.5, 11.406790945406126)","(21.0, 34.0, 33.06666666666666)","(31.0, 48.0, 46.5)"
06-01-2023 14:35:14.129161,"(7.5, 9.0, 8.898113207547171)","(4.6, 5.3, 5.296808510638297)","(7.5, 8.4, 8.309090909090909)","(13.0, 17.5, 17.21698113207547)","(17.0, 26.0, 25.933333333333334)","(31.0, 48.0, 46.5)","(4.0, 4.3, 4.297435897435897)","(101.0, 180.0, 169.33333333333334)","(10.0, 13.5, 12.873913043478261)","(9.0, 11.5, 11.406790945406126)","(21.0, 34.0, 33.06666666666666)","(31.0, 48.0, 46.5)"
06-01-2023 14:35:15.733428,"(7.5, 9.0, 8.898113207547171)","(4.6, 5.3, 5.296808510638297)","(7.5, 8.4, 8.309090909090909)","(13.0, 17.5, 17.21698113207547)","(17.0, 26.0, 25.933333333333334)","(31.0, 48.0, 46.5)","(4.0, 4.3, 4.297435897435897)","(101.0, 180.0, 169.33333333333334)","(10.0, 13.5, 12.820754716981131)","(9.0, 11.5, 11.4055330634278)","(21.0, 34.0, 33.096774193548384)","(31.0, 48.0, 46.5)"
06-01-2023 14:35:17.321370,"(7.5, 9.0, 8.861538461538462)","(4.6, 5.3, 5.296407185628742)","(7.5, 8.4, 8.128)","(13.0, 17.5, 16.75)","(17.0, 26.0, 25.942857142857143)","(31.0, 48.0, 46.5)","(4.0, 4.3, 4.27070707070707)","(101.0, 180.0, 169.33333333333334)","(10.0, 13.5, 13.271739130434783)","(9.0, 11.5, 11.4055330634278)","(21.0, 34.0, 33.096774193548384)","(31.0, 48.0, 46.5)"
06-01-2023 14:35:18.867281,"(7.5, 9.0, 8.855172413793104)","(4.6, 5.3, 5.296756756756756)","(7.5, 8.2, 8.133333333333333)","(13.0, 17.5, 16.9)","(17.0, 26.0, 25.857142857142858)","(31.0, 48.0, 46.5)","(4.0, 4.3, 4.288)","(101.0, 180.0, 171.57894736842104)","(10.0, 13.5, 13.285714285714286)","(9.0, 11.5, 11.399856938483548)","(21.0, 34.0, 33.13846153846154)","(31.0, 48.0, 46.125)"
06-01-2023 14:35:20.446790,"(8.0, 9.0, 8.872727272727273)","(4.6, 5.3, 5.297169811320755)","(7.5, 8.2, 8.134883720930231)","(13.0, 17.5, 17.0)","(17.0, 26.0, 25.9)","(31.0, 48.0, 47.25)","(4.0, 4.3, 4.296969696969697)","(101.0, 180.0, 174.4)","(10.0, 13.5, 13.3)","(9.0, 11.5, 11.400990099009901)","(21.0, 34.0, 33.1764705882353)","(31.0, 48.0, 46.18181818181818)"
06-01-2023 14:35:21.992014,"(8.0, 9.0, 8.892307692307693)","(4.6, 5.3, 5.297413793103448)","(7.5, 8.2, 8.149090909090908)","(13.0, 17.5, 17.151162790697676)","(17.0, 26.0, 25.928571428571427)","(31.0, 48.0, 46.75)","(4.0, 4.3, 4.297340425531915)","(101.0, 190.0, 174.4)","(10.0, 13.5, 13.325)","(9.0, 11.5, 11.402234636871508)","(21.0, 34.0, 33.2112676056338)","(31.0, 48.0, 46.23529411764706)"
06-01-2023 14:35:23.609921,"(8.0, 9.0, 8.906666666666666)","(4.6, 5.3, 5.297073170731707)","(7.5, 8.2, 8.158823529411764)","(13.0, 17.5, 17.193877551020407)","(18.0, 26.0, 25.944444444444443)","(31.0, 48.0, 46.888888888888886)","(3.9, 4.3, 4.3072463768115945)","(101.0, 190.0, 175.0)","(10.0, 13.5, 13.401869158878505)","(9.0, 11.5, 11.40358126721763)","(21.0, 34.0, 33.24324324324324)","(31.0, 48.0, 46.285714285714285)"
06-01-2023 14:35:25.237354,"(8.0, 9.0, 8.89090909090909)","(4.6, 5.3, 5.297073170731707)","(7.5, 8.2, 8.158823529411764)","(13.0, 17.5, 17.193877551020407)","(18.0, 26.0, 25.833333333333332)","(31.0, 48.0, 46.888888888888886)","(3.9, 4.4, 4.296478873239437)","(101.0, 190.0, 175.0)","(10.0, 13.5, 13.414634146341463)","(9.0, 11.5, 11.40358126721763)","(21.0, 34.0, 33.24324324324324)","(31.0, 48.0, 46.285714285714285)"
06-01-2023 14:35:27.440926,"(8.0, 9.0, 8.88139534883721)","(4.6, 5.3, 5.297073170731707)","(7.5, 8.2, 8.158823529411764)","(13.0, 17.5, 17.193877551020407)","(18.0, 26.0, 25.833333333333332)","(31.0, 48.0, 46.888888888888886)","(3.9, 4.3, 4.296875)","(101.0, 190.0, 175.0)","(10.0, 13.5, 13.414634146341463)","(9.0, 11.5, 11.40358126721763)","(21.0, 34.0, 33.23287671232877)","(31.0, 48.0, 46.285714285714285)"
06-01-2023 14:35:29.216178,"(8.0, 9.0, 8.89090909090909)","(4.6, 5.3, 5.29815668202765)","(7.0, 8.2, 8.168181818181818)","(14.0, 17.5, 17.22222222222222)","(18.0, 26.0, 25.88888888888889)","(31.0, 48.0, 47.0)","(3.8, 4.3, 4.346443514644352)","(101.0, 190.0, 175.55555555555554)","(10.0, 13.5, 12.566666666666666)","(9.0, 11.5, 11.40450204638472)","(21.0, 34.0, 33.41573033707865)","(31.0, 48.0, 46.048780487804876)"
06-01-2023 14:35:30.880132,"(8.0, 9.0, 8.905263157894737)","(4.6, 5.3, 5.326666666666666)","(7.0, 8.2, 8.164556962025316)","(14.0, 17.5, 17.22222222222222)","(18.0, 26.0, 25.72)","(31.0, 48.0, 47.0)","(3.9, 4.4, 4.346443514644352)","(101.0, 190.0, 175.55555555555554)","(10.0, 13.0, 12.566666666666666)","(9.0, 11.5, 11.39280245022971)","(21.0, 34.0, 33.37078651685393)","(31.0, 48.0, 46.048780487804876)"
06-01-2023 14:35:32.475853,"(8.0, 9.0, 8.905263157894737)","(4.6, 5.5, 5.326666666666666)","(7.0, 8.2, 8.164556962025316)","(14.0, 17.5, 17.22222222222222)","(18.0, 27.0, 25.72)","(31.0, 48.0, 47.0)","(3.9, 4.4, 4.305882352941176)","(101.0, 190.0, 175.55555555555554)","(10.0, 13.0, 12.566666666666666)","(9.0, 11.5, 11.38391376451078)","(21.0, 34.0, 33.37078651685393)","(31.0, 48.0, 46.048780487804876)"
06-01-2023 14:35:34.095808,"(8.0, 9.0, 8.82089552238806)","(4.6, 5.4, 5.340298507462687)","(7.5, 8.2, 8.17391304347826)","(13.0, 17.5, 17.03125)","(18.0, 27.0, 26.2)","(31.0, 48.0, 47.04761904761905)","(3.9, 4.4, 4.308163265306122)","(101.0, 190.0, 174.4)","(10.0, 13.0, 12.807692307692308)","(9.0, 11.5, 11.38391376451078)","(21.0, 34.0, 33.37078651685393)","(31.0, 48.0, 46.048780487804876)"
06-01-2023 14:35:35.816800,"(8.0, 9.0, 8.80327868852459)","(4.6, 5.4, 5.344444444444445)","(7.5, 8.2, 8.22251655629139)","(13.0, 17.5, 17.24137931034483)","(18.0, 27.0, 26.58139534883721)","(31.0, 48.0, 47.130434782608695)","(3.9, 4.4, 4.468965517241379)","(101.0, 190.0, 174.4)","(10.0, 13.0, 12.797619047619047)","(9.0, 11.5, 11.378048780487806)","(21.0, 34.0, 32.88)","(31.0, 48.0, 46.11764705882353)"
06-01-2023 14:35:37.454137,"(8.0, 9.0, 8.80294117647059)","(4.6, 5.4, 5.494354838709677)","(7.0, 8.4, 8.208571428571428)","(14.0, 17.5, 17.24137931034483)","(18.0, 27.0, 25.822222222222223)","(31.0, 48.0, 47.130434782608695)","(3.8, 4.5, 4.362962962962963)","(101.0, 190.0, 174.4)","(10.0, 13.0, 12.797619047619047)","(9.0, 11.5, 11.370497427101201)","(21.0, 34.0, 32.88)","(31.0, 48.0, 46.11764705882353)"
