,Chicks Love Me,Emerley Bruce,Butterfly Angel,Redevelop,Plant Road,Emerley Poida,Faux Allie,Shes Driven
11-01-2023 13:10:02.819365,"(9.0, 15.0, 14.38888888888889)","(1.8, 2.1, 2.0945945945945947)","(4.2, 4.6, 4.5)","(19.0, 27.0, 26.294117647058822)","(31.0, 75.0, 73.5)","(4.6, 6.8, 6.676923076923077)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 71.81818181818181)"
11-01-2023 13:10:03.926120,"(9.0, 15.0, 14.666666666666666)","(1.8, 2.12, 2.0963636363636367)","(4.2, 4.5, 4.470833333333333)","(19.0, 27.0, 25.894736842105264)","(31.0, 75.0, 72.0)","(4.6, 6.8, 6.676923076923077)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 71.81818181818181)"
11-01-2023 13:10:05.060306,"(9.0, 15.5, 14.483870967741936)","(1.8, 2.12, 2.090909090909091)","(3.9, 4.5, 4.47741935483871)","(19.0, 27.0, 26.0)","(31.0, 75.0, 72.0)","(4.6, 6.8, 6.676923076923077)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 71.81818181818181)"
11-01-2023 13:10:06.160536,"(9.0, 15.5, 14.483870967741936)","(1.8, 2.12, 2.090909090909091)","(3.9, 4.6, 4.514285714285714)","(19.0, 27.0, 26.0)","(31.0, 75.0, 73.5)","(4.6, 6.8, 6.6)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 71.81818181818181)"
11-01-2023 13:10:07.132877,"(9.0, 15.5, 14.416666666666666)","(1.8, 2.1, 2.081818181818182)","(3.9, 4.6, 4.547058823529412)","(19.0, 27.0, 25.636363636363637)","(31.0, 75.0, 72.0)","(4.6, 6.8, 6.6)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 71.81818181818181)"
11-01-2023 13:10:08.127664,"(9.0, 15.5, 14.46875)","(1.8, 2.1, 2.081818181818182)","(3.9, 4.6, 4.558139534883721)","(19.0, 27.0, 25.894736842105264)","(31.0, 75.0, 72.0)","(4.6, 6.8, 6.676923076923077)","(41.0, 110.0, 101.81818181818181)","(31.0, 75.0, 70.0)"
11-01-2023 13:10:09.117092,"(9.0, 15.5, 14.46875)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.565789473684211)","(19.0, 27.0, 25.894736842105264)","(31.0, 75.0, 73.5)","(4.6, 6.8, 6.6)","(41.0, 110.0, 101.81818181818181)","(31.0, 75.0, 72.14285714285714)"
11-01-2023 13:10:10.212367,"(9.0, 15.5, 14.46875)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.565789473684211)","(19.0, 27.0, 26.125)","(31.0, 75.0, 74.21052631578948)","(4.6, 6.8, 6.676923076923077)","(41.0, 110.0, 95.78947368421052)","(31.0, 75.0, 72.14285714285714)"
11-01-2023 13:10:11.289959,"(9.0, 15.5, 14.46875)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.565789473684211)","(19.0, 27.0, 26.125)","(31.0, 75.0, 69.0909090909091)","(4.6, 6.8, 6.676923076923077)","(41.0, 110.0, 95.78947368421052)","(31.0, 75.0, 70.0)"
11-01-2023 13:10:12.340948,"(9.0, 15.5, 14.46875)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.565789473684211)","(19.0, 27.0, 26.125)","(31.0, 70.0, 69.0909090909091)","(4.6, 6.8, 6.676923076923077)","(41.0, 110.0, 95.78947368421052)","(31.0, 75.0, 72.14285714285714)"
11-01-2023 13:10:13.308916,"(9.0, 15.0, 14.666666666666666)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.565789473684211)","(19.0, 27.0, 26.125)","(31.0, 75.0, 67.5)","(4.6, 6.8, 6.588235294117647)","(41.0, 110.0, 95.78947368421052)","(31.0, 75.0, 72.14285714285714)"
11-01-2023 13:10:14.388278,"(9.0, 15.0, 14.4)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.569767441860465)","(19.0, 27.0, 26.125)","(31.0, 75.0, 67.5)","(4.6, 6.8, 6.610526315789474)","(41.0, 110.0, 95.78947368421052)","(31.0, 75.0, 72.14285714285714)"
11-01-2023 13:10:15.676967,"(9.0, 15.0, 14.294117647058824)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.573170731707317)","(19.0, 27.0, 25.821428571428573)","(31.0, 75.0, 70.0)","(4.6, 6.8, 6.557894736842106)","(41.0, 110.0, 95.78947368421052)","(31.0, 75.0, 66.81818181818181)"
11-01-2023 13:10:16.696952,"(9.0, 15.0, 14.428571428571429)","(1.8, 2.1, 2.0825)","(3.9, 4.6, 4.5625)","(19.0, 27.0, 25.821428571428573)","(31.0, 75.0, 70.0)","(4.6, 7.0, 6.557894736842106)","(41.0, 110.0, 95.78947368421052)","(31.0, 75.0, 66.81818181818181)"
11-01-2023 13:10:17.756478,"(9.0, 15.0, 14.45)","(1.8, 2.1, 2.081538461538462)","(3.9, 4.6, 4.54375)","(19.0, 27.0, 25.821428571428573)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.65)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 66.81818181818181)"
11-01-2023 13:10:18.809764,"(9.0, 15.0, 14.428571428571429)","(1.8, 2.1, 2.0918644067796612)","(3.9, 4.6, 4.54375)","(19.0, 27.0, 26.125)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.69655172413793)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 66.81818181818181)"
11-01-2023 13:10:19.945328,"(9.0, 15.0, 14.428571428571429)","(1.8, 2.1, 2.0918644067796612)","(3.9, 4.6, 4.54375)","(19.0, 27.0, 26.125)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.69655172413793)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 66.81818181818181)"
11-01-2023 13:10:20.928612,"(9.0, 15.0, 14.294117647058824)","(1.8, 2.1, 2.091578947368421)","(3.9, 4.6, 4.523404255319149)","(19.0, 27.0, 26.625)","(31.0, 75.0, 70.0)","(4.6, 7.0, 6.69655172413793)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 67.17391304347827)"
11-01-2023 13:10:21.960823,"(9.0, 15.0, 14.31578947368421)","(1.8, 2.1, 2.091578947368421)","(3.9, 4.6, 4.523404255319149)","(19.0, 27.0, 26.625)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.68235294117647)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 67.17391304347827)"
11-01-2023 13:10:22.929505,"(9.0, 15.0, 14.31578947368421)","(1.8, 2.1, 2.091578947368421)","(3.9, 4.6, 4.523404255319149)","(19.0, 27.0, 26.625)","(31.0, 75.0, 70.0)","(4.6, 7.0, 6.68235294117647)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 67.17391304347827)"
11-01-2023 13:10:24.085592,"(9.0, 15.0, 14.31578947368421)","(1.8, 2.1, 2.091578947368421)","(3.9, 4.6, 4.523404255319149)","(19.0, 27.0, 26.625)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.68235294117647)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.61538461538461)"
11-01-2023 13:10:25.064595,"(9.0, 15.0, 14.31578947368421)","(1.8, 2.12, 2.1072)","(3.9, 4.5, 4.425)","(19.0, 27.0, 26.625)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.61538461538461)"
11-01-2023 13:10:26.119696,"(9.0, 15.0, 14.277777777777779)","(1.8, 2.12, 2.106666666666667)","(3.9, 4.5, 4.411111111111111)","(19.0, 27.0, 26.526315789473685)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.61538461538461)"
11-01-2023 13:10:27.089262,"(9.0, 15.0, 14.277777777777779)","(1.8, 2.12, 2.106666666666667)","(3.9, 4.4, 4.37)","(19.0, 27.0, 26.526315789473685)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.61538461538461)"
11-01-2023 13:10:28.092958,"(9.0, 15.0, 14.31578947368421)","(1.8, 2.12, 2.106666666666667)","(3.9, 4.4, 4.37)","(19.0, 27.0, 26.526315789473685)","(31.0, 75.0, 70.0)","(4.6, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.61538461538461)"
11-01-2023 13:10:29.096377,"(9.0, 15.0, 14.31578947368421)","(1.8, 2.12, 2.106666666666667)","(3.9, 4.4, 4.38)","(19.0, 27.0, 26.526315789473685)","(31.0, 75.0, 67.5)","(4.6, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.61538461538461)"
11-01-2023 13:10:30.086253,"(9.0, 15.0, 14.31578947368421)","(1.75, 2.12, 2.106666666666667)","(3.9, 4.4, 4.361538461538462)","(19.0, 27.0, 26.526315789473685)","(31.0, 75.0, 67.5)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.61538461538461)"
11-01-2023 13:10:31.092319,"(9.0, 15.0, 14.31578947368421)","(1.75, 2.12, 2.106666666666667)","(3.9, 4.4, 4.361538461538462)","(19.0, 27.0, 26.526315789473685)","(31.0, 75.0, 67.5)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 63.75)"
11-01-2023 13:10:32.084840,"(9.0, 15.0, 14.31578947368421)","(1.75, 2.14, 2.1097560975609757)","(3.9, 4.4, 4.344444444444444)","(19.0, 27.0, 26.473684210526315)","(31.0, 75.0, 67.5)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 63.75)"
11-01-2023 13:10:33.129657,"(9.0, 15.0, 14.31578947368421)","(1.75, 2.14, 2.1097560975609757)","(3.9, 4.4, 4.3538461538461535)","(19.0, 27.0, 26.88888888888889)","(31.0, 75.0, 70.0)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 63.75)"
11-01-2023 13:10:34.121261,"(9.0, 15.0, 14.277777777777779)","(1.75, 2.14, 2.1126829268292684)","(3.9, 4.5, 4.3538461538461535)","(19.0, 27.0, 26.88888888888889)","(31.0, 75.0, 70.0)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 63.75)"
11-01-2023 13:10:35.073924,"(9.0, 15.0, 14.277777777777779)","(1.75, 2.14, 2.1126829268292684)","(3.9, 4.5, 4.38421052631579)","(19.0, 27.0, 26.6)","(31.0, 75.0, 67.5)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 63.75)"
11-01-2023 13:10:36.035994,"(9.0, 15.0, 14.277777777777779)","(1.75, 2.14, 2.1126829268292684)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 26.5)","(31.0, 75.0, 67.5)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 62.5)"
11-01-2023 13:10:37.064083,"(9.0, 15.0, 14.277777777777779)","(1.75, 2.14, 2.1097297297297297)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 25.75)","(31.0, 75.0, 70.0)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.77272727272728)"
11-01-2023 13:10:38.049958,"(9.0, 15.0, 14.277777777777779)","(1.75, 2.14, 2.1097297297297297)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 26.5)","(31.0, 75.0, 70.58823529411765)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 66.0)"
11-01-2023 13:10:39.014228,"(9.0, 15.0, 14.277777777777779)","(1.75, 2.14, 2.1097297297297297)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 26.5)","(31.0, 75.0, 70.58823529411765)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.28571428571428)"
11-01-2023 13:10:39.978700,"(9.0, 15.0, 14.277777777777779)","(1.75, 2.14, 2.121935483870968)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 26.5)","(31.0, 75.0, 70.58823529411765)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 64.28571428571428)"
11-01-2023 13:10:40.951033,"(9.0, 15.0, 14.31578947368421)","(1.75, 2.14, 2.121935483870968)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 25.75)","(31.0, 75.0, 70.58823529411765)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 98.26086956521739)","(31.0, 75.0, 66.0)"
11-01-2023 13:10:41.938093,"(9.0, 15.0, 14.31578947368421)","(1.75, 2.14, 2.121935483870968)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 25.75)","(31.0, 75.0, 70.3125)","(4.8, 7.0, 6.693333333333333)","(41.0, 110.0, 97.14285714285714)","(31.0, 75.0, 66.0)"
11-01-2023 13:10:42.925379,"(10.0, 15.0, 14.352941176470589)","(1.8, 2.14, 2.121935483870968)","(3.9, 4.5, 4.3914285714285715)","(19.0, 27.0, 28.846153846153847)","(31.0, 75.0, 70.3125)","(5.0, 7.0, 6.693333333333333)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 64.77272727272728)"
11-01-2023 13:10:43.866899,"(10.0, 15.0, 14.352941176470589)","(1.8, 2.14, 2.121935483870968)","(3.9, 4.5, 4.3914285714285715)","(19.0, 30.0, 28.846153846153847)","(31.0, 75.0, 70.3125)","(5.0, 7.0, 6.693333333333333)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 64.77272727272728)"
11-01-2023 13:10:44.792824,"(10.0, 15.0, 14.24)","(1.8, 2.14, 2.121935483870968)","(3.9, 4.5, 4.3914285714285715)","(19.0, 30.0, 28.41176470588235)","(31.0, 70.0, 69.23076923076923)","(5.0, 7.0, 6.693333333333333)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 64.77272727272728)"
11-01-2023 13:10:45.778475,"(10.0, 15.0, 14.272727272727273)","(1.8, 2.14, 2.121935483870968)","(3.9, 4.5, 4.3914285714285715)","(19.0, 30.0, 28.846153846153847)","(31.0, 70.0, 70.58823529411765)","(5.0, 7.0, 6.693333333333333)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 64.77272727272728)"
11-01-2023 13:10:46.723695,"(10.0, 15.0, 14.272727272727273)","(1.8, 2.14, 2.1225)","(3.9, 4.5, 4.38421052631579)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 70.58823529411765)","(5.0, 7.0, 6.693333333333333)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 61.15384615384615)"
11-01-2023 13:10:47.691162,"(10.0, 15.0, 14.272727272727273)","(1.8, 2.14, 2.1171428571428574)","(3.9, 4.5, 4.38421052631579)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 70.58823529411765)","(5.0, 7.0, 6.693333333333333)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 65.21739130434783)"
11-01-2023 13:10:48.633403,"(10.0, 15.0, 14.3)","(1.8, 2.14, 2.13)","(3.9, 4.5, 4.41578947368421)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.026415094339622)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:49.582779,"(10.0, 15.0, 14.333333333333334)","(1.8, 2.16, 2.144)","(3.9, 4.5, 4.404761904761905)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.026415094339622)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:50.513776,"(10.0, 15.0, 14.333333333333334)","(1.8, 2.16, 2.1433333333333335)","(3.9, 4.5, 4.404761904761905)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.976119402985075)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:51.459194,"(10.0, 15.5, 14.833333333333334)","(1.8, 2.16, 2.146666666666667)","(3.9, 4.5, 4.381481481481481)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.976119402985075)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:52.420103,"(10.0, 16.0, 14.875)","(1.8, 2.16, 2.146666666666667)","(3.9, 4.5, 4.381481481481481)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.976119402985075)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:53.393666,"(10.0, 16.0, 14.625)","(1.8, 2.16, 2.146666666666667)","(3.9, 4.5, 4.364705882352941)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:54.360169,"(10.0, 16.0, 14.578947368421053)","(1.8, 2.16, 2.146666666666667)","(3.9, 4.5, 4.364705882352941)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:55.347600,"(10.0, 16.0, 14.578947368421053)","(1.8, 2.16, 2.151743119266055)","(3.9, 4.5, 4.364705882352941)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:56.314066,"(10.0, 16.0, 14.578947368421053)","(1.8, 2.16, 2.151743119266055)","(3.9, 4.5, 4.364705882352941)","(19.0, 30.0, 28.41176470588235)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:57.349132,"(10.0, 16.0, 14.578947368421053)","(1.8, 2.16, 2.1514285714285717)","(3.9, 4.5, 4.370967741935484)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:58.343737,"(10.0, 16.0, 14.894736842105264)","(1.8, 2.16, 2.136923076923077)","(3.9, 4.5, 4.370967741935484)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.969863013698631)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:10:59.294839,"(10.0, 16.0, 15.181818181818182)","(1.8, 2.16, 2.1412500000000003)","(3.9, 4.5, 4.364705882352941)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:00.259881,"(10.0, 16.0, 15.181818181818182)","(1.8, 2.16, 2.1412500000000003)","(3.9, 4.5, 4.351612903225806)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:01.482106,"(10.0, 16.0, 15.142857142857142)","(1.8, 2.16, 2.1412500000000003)","(3.9, 4.5, 4.323076923076923)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:02.446580,"(10.0, 16.0, 15.1)","(1.8, 2.16, 2.140952380952381)","(3.9, 4.5, 4.411764705882353)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.990361445783133)","(51.0, 110.0, 98.0)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:03.409351,"(10.0, 16.0, 15.181818181818182)","(1.8, 2.18, 2.164347826086957)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.968)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:04.400054,"(10.0, 16.0, 15.272727272727273)","(1.8, 2.18, 2.165)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.966279069767443)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:05.597282,"(10.0, 16.0, 15.272727272727273)","(1.8, 2.18, 2.165)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.966279069767443)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:06.546956,"(10.0, 16.0, 15.272727272727273)","(1.8, 2.18, 2.1603174603174606)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 5.966279069767443)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:07.464404,"(10.0, 16.0, 15.272727272727273)","(1.8, 2.18, 2.165909090909091)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.007547169811321)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:08.485939,"(10.0, 16.0, 15.272727272727273)","(1.8, 2.18, 2.165909090909091)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.007547169811321)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.22222222222222)"
11-01-2023 13:11:09.443950,"(10.0, 16.0, 15.272727272727273)","(1.8, 2.18, 2.166666666666667)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.007547169811321)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:10.385077,"(10.0, 16.0, 15.272727272727273)","(1.8, 2.18, 2.166521739130435)","(3.9, 4.5, 4.4)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.007547169811321)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:11.374414,"(10.0, 16.0, 15.2)","(1.8, 2.18, 2.170526315789474)","(3.9, 4.4, 4.333333333333334)","(19.0, 30.0, 28.82608695652174)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.007547169811321)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:12.418872,"(10.0, 16.0, 15.2)","(1.8, 2.18, 2.1837500000000003)","(3.9, 4.4, 4.310204081632653)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0052631578947375)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:13.397271,"(10.0, 16.0, 15.2)","(1.8, 2.2, 2.188)","(3.9, 4.2, 4.173684210526316)","(19.0, 30.0, 28.5)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0052631578947375)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.0)"
