,Oreilly Mcluke,Ring Of Honour,Alpine Affair,Lucky Bucky,Gee Gee Als Prince,Power Magnum,Sparkling One,Tiltherewarsyou,Copper Charm
11-01-2023 14:33:57.525137,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 41.66666666666667)","(4.2, 6.0, 5.236363636363636)"
11-01-2023 14:33:58.809083,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 85.0, 41.66666666666667)","(4.2, 6.0, 5.3875)"
11-01-2023 14:34:00.109685,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 85.0, 62.0)","(4.2, 6.0, 5.3875)"
11-01-2023 14:34:01.438333,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 72.5)","(4.2, 6.0, 5.3875)"
11-01-2023 14:34:02.856135,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 67.14285714285714)","(4.2, 6.0, 5.1923076923076925)"
11-01-2023 14:34:04.236558,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 67.14285714285714)","(4.2, 6.0, 5.1923076923076925)"
11-01-2023 14:34:05.565990,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 67.14285714285714)","(4.2, 6.0, 5.1923076923076925)"
11-01-2023 14:34:06.991818,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 67.14285714285714)","(4.2, 6.0, 5.1923076923076925)"
11-01-2023 14:34:08.296091,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 6.0, 5.1923076923076925)"
11-01-2023 14:34:09.576737,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 6.0, 5.58)"
11-01-2023 14:34:10.905576,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 6.0, 4.982142857142857)"
11-01-2023 14:34:12.206053,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 6.0, 4.982142857142857)"
11-01-2023 14:34:13.522794,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 6.0, 5.760000000000001)"
11-01-2023 14:34:14.721897,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:15.963667,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:17.363377,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:18.736181,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:20.100619,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:21.436280,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:22.757545,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:24.280847,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.760000000000001)"
11-01-2023 14:34:25.742661,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.67)"
11-01-2023 14:34:27.210495,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.25)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.8, 5.67)"
11-01-2023 14:34:28.781301,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.5625)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.8, 5.645454545454546)"
11-01-2023 14:34:30.338107,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.227272727272727)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.469230769230769)"
11-01-2023 14:34:31.750636,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.227272727272727)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.469230769230769)"
11-01-2023 14:34:33.104959,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.227272727272727)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.469230769230769)"
11-01-2023 14:34:34.382125,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.227272727272727)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 61.25)","(4.2, 5.9, 5.469230769230769)"
11-01-2023 14:34:35.757367,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.428571428571427)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 67.14285714285714)","(4.2, 5.9, 5.38)"
11-01-2023 14:34:37.093495,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 68.88888888888889)","(4.2, 5.9, 4.94)"
11-01-2023 14:34:38.443523,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 68.88888888888889)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:39.782103,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 68.88888888888889)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:41.093744,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 62.85714285714286)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:42.443921,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 62.85714285714286)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:43.711433,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 62.85714285714286)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:45.070660,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 62.85714285714286)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:46.436362,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.0)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 62.85714285714286)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:47.807013,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.428571428571427)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 62.85714285714286)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:49.098854,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.428571428571427)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 61.83333333333333)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:50.398790,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 61.83333333333333)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:51.759555,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 61.83333333333333)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:53.083984,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 61.83333333333333)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:54.416943,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 15.444444444444445)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 64.55555555555556)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:55.719770,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 15.444444444444445)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 64.55555555555556)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:56.950828,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 15.444444444444445)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 70.0, 45.75)","(4.2, 5.9, 5.042857142857143)"
11-01-2023 14:34:58.161146,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 39.5625)","(4.2, 5.9, 5.14)"
11-01-2023 14:34:59.414267,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:00.639349,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:01.892203,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:03.140035,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.5, 17.4)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:04.407646,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:05.768850,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:07.001819,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:08.257365,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:09.571866,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:10.842112,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:12.076839,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:13.326767,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 38.35714285714286)","(4.2, 5.8, 5.14)"
11-01-2023 14:35:14.554645,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 15.222222222222221)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 40.05882352941177)","(4.2, 5.8, 5.038461538461538)"
11-01-2023 14:35:15.838565,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 13.714285714285714)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 40.05882352941177)","(4.2, 5.8, 5.038461538461538)"
11-01-2023 14:35:17.016804,"(5.0, 7.2, 6.726315789473684)","(13.0, 25.0, 23.583333333333336)","(12.0, 18.0, 13.714285714285714)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 48.0, 40.05882352941177)","(4.2, 5.8, 5.038461538461538)"
