,Windsors Champion,Missing Link,Salsa Rita,Captain Sam,Ms Headley
15-12-2022 12:27:41.715916,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:42.630428,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:43.503618,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:44.324755,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:45.124223,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:45.971924,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:46.862805,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:47.731263,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:48.534119,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:49.407711,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:50.366348,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:51.334946,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:52.145539,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:52.973727,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:53.938928,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:54.917249,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:55.807680,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:56.663117,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:57.583602,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:58.464293,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:59.475651,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:00.468525,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:01.323154,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:02.115454,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:03.054591,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:03.976515,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:04.843448,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.760975609756097)","(9.0, 25.0, 21.833333333333332)","(3.7, 5.6, 5.49090909090909)","(3.0, 4.2, 4.173913043478261)"
15-12-2022 12:28:05.658233,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 21.833333333333332)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:06.535361,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 21.833333333333332)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:07.441961,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 21.833333333333332)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:08.345324,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:09.223822,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:10.126668,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:10.957919,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:11.787465,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:12.671705,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:13.621162,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:14.457876,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:15.347333,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:16.354990,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:17.331613,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:18.316455,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:19.272191,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:20.276637,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:21.287274,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:22.168753,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:23.105103,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:23.991081,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:24.916678,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:25.840741,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:27.038060,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:27.938184,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:28.925313,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:29.924212,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:30.864030,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:31.761373,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:32.716201,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:33.595937,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:34.553736,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:35.573847,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:36.468964,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:37.388559,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:38.431660,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:28:39.354461,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:40.318866,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.83265306122449)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:41.262612,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.83265306122449)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:42.135007,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.83265306122449)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:43.385838,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.83265306122449)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:44.565539,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.83265306122449)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:45.667210,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.83265306122449)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:46.768348,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.83265306122449)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:47.703315,"(2.15, 2.86, 2.7622222222222224)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.49090909090909)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:48.810493,"(2.15, 2.86, 2.7622222222222224)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.49090909090909)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:49.909028,"(2.15, 2.86, 2.7622222222222224)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.49090909090909)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:51.160967,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.2, 6.533333333333333)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:52.482756,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.2, 6.485714285714286)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:53.598578,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.2, 6.472727272727273)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:54.871770,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.2, 6.472727272727273)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:56.077837,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.2, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:57.132329,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:58.014063,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:28:59.056528,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:00.114690,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:01.099835,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:02.120957,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:03.155154,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:04.168741,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:05.199265,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.7)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:06.368786,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.775)","(9.0, 25.0, 21.833333333333332)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:07.447206,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.775)","(9.0, 25.0, 21.833333333333332)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:08.517586,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.775)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:09.651650,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.775)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:10.842703,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.775)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:11.921854,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.775)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.358333333333333)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:13.078425,"(2.15, 2.86, 2.818095238095238)","(4.8, 7.0, 6.775)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.1875)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:14.232485,"(2.15, 2.88, 2.81)","(4.8, 7.0, 6.775)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.7, 5.369230769230769)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:15.352100,"(2.15, 2.9, 2.81)","(4.8, 7.0, 6.775)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.369230769230769)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:16.495353,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.614285714285715)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.3999999999999995)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:17.560205,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.614285714285715)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.3999999999999995)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:18.423364,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.614285714285715)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.3999999999999995)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:19.461030,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.324999999999999)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:20.532789,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.324999999999999)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:21.455109,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.324999999999999)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:22.452275,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.324999999999999)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:23.482279,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.324999999999999)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:24.492786,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.324999999999999)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:25.500556,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.324999999999999)","(3.0, 4.2, 4.170967741935484)"
15-12-2022 12:29:26.582397,"(2.15, 2.9, 2.7924137931034485)","(4.8, 7.0, 6.550000000000001)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.38)","(3.0, 4.2, 4.170967741935484)"
