,Flyin Disco,Telkem Jay,Miss Willoughby,Bonnie Pauline,No Noney,Morissette,Spinner Of Yarns,Alexandra Thegreat,Your Grace
11-01-2023 16:18:17.861822,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:18.982693,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:20.251802,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:21.630266,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:22.968120,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:24.318934,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:25.659105,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:26.897106,"(4.6, 7.6, 4.635294117647058)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:28.193261,"(4.6, 7.6, 4.635294117647058)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:29.487423,"(4.6, 7.6, 4.635294117647058)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:30.862927,"(4.6, 7.6, 4.635294117647058)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:32.109986,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:33.352663,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:34.545106,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:35.840159,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:37.211489,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:38.507645,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:39.885307,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:41.054363,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 30.0)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:42.207581,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 10.100000000000001)","(21.0, 70.0, 36.333333333333336)","(26.0, 85.0, 42.66666666666667)","(17.0, 30.0, 26.46153846153846)"
11-01-2023 16:18:43.500762,"(4.6, 7.2, 5.92)","(1.75, 2.66, 2.48)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:44.826718,"(4.6, 7.2, 5.92)","(1.75, 2.66, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:46.151218,"(4.6, 7.2, 5.92)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:47.397379,"(4.6, 7.2, 5.92)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:48.585689,"(4.6, 7.2, 5.92)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:50.045595,"(4.6, 7.2, 5.92)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:51.383921,"(4.6, 7.2, 5.92)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:52.669704,"(4.6, 7.2, 5.92)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:53.971428,"(4.6, 7.2, 5.92)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:55.248378,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:56.648060,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.100000000000001)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:57.910105,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.334375)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:18:59.155682,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.348571428571429)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:00.421992,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:01.620872,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:02.967938,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:04.270191,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:05.608967,"(4.6, 7.0, 4.473684210526316)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:06.913470,"(4.6, 6.8, 5.68)","(1.75, 2.64, 2.4000000000000004)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:08.187181,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:09.467828,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:10.752821,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:12.063057,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:13.333257,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 42.66666666666667)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:14.554465,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 80.0, 32.5)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:15.802455,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 75.0, 32.5)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:16.977265,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 75.0, 32.5)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:18.297444,"(4.6, 6.8, 5.68)","(1.75, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(71.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(21.0, 65.0, 36.333333333333336)","(26.0, 75.0, 32.5)","(17.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:19.592154,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 75.0, 32.5)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:20.844889,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 75.0, 32.5)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:21.993723,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 75.0, 32.5)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:23.182470,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 75.0, 32.5)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:24.494196,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 75.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:25.810310,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:27.074379,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:28.403955,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:29.651025,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:30.965703,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:32.279348,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:33.547205,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 8.766666666666666)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:34.794350,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.354285714285716)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:35.963644,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.354285714285716)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
11-01-2023 16:19:37.189818,"(4.8, 6.8, 5.68)","(1.7, 2.62, 2.448)","(6.5, 12.0, 9.514285714285714)","(81.0, 210.0, 167.14285714285714)","(41.0, 150.0, 107.25)","(5.5, 10.5, 10.354285714285716)","(26.0, 65.0, 36.333333333333336)","(18.0, 85.0, 34.166666666666664)","(18.0, 29.0, 26.46153846153846)"
