,Jimmy The Bear,El Crimp Adore,Real Mickoy,Little Amelia,Behind Greywalls,Shes The One,Magic Bee,Donald Lane
10-01-2023 18:52:29.059737,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:30.251113,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:31.547058,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:32.715261,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:33.902116,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:35.135845,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:36.397536,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:37.788827,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:39.092352,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:40.292827,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:41.816191,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
