,All Inn Aussie,Kaidee Dixie,Be Good Beach,Miss Billy Cargo,Smokin Ziggy,Japanese Black,Aeroplane Lucy,Pepper Sauce
15-12-2022 14:54:46.264507,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:47.363064,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:48.430191,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:49.469903,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:50.528753,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:51.559260,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:52.551974,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 7.16)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:53.527021,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 7.16)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:54.524811,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 7.16)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:55.492973,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:56.543548,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:57.582005,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:58.685148,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 28.88888888888889)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:59.820106,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 40.0, 35.66666666666667)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:00.918728,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 46.0, 35.66666666666667)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:02.066606,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 46.0, 35.66666666666667)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:03.133109,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 46.0, 35.66666666666667)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:04.141799,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 46.0, 32.22222222222222)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:05.167009,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 46.0, 32.22222222222222)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:06.132261,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 46.0, 32.22222222222222)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:07.096131,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 46.0, 32.22222222222222)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:08.068134,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 234.28571428571428)","(3.0, 5.0, 3.0345945945945947)","(15.0, 46.0, 32.22222222222222)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:09.084876,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 234.28571428571428)","(3.0, 5.0, 3.0345945945945947)","(15.0, 46.0, 32.22222222222222)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:55:10.161636,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 5.0, 3.049655172413793)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:11.250122,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.15)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 5.0, 3.049655172413793)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:12.323471,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 5.0, 3.4)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:13.451327,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 5.0, 3.95)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:14.533635,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:15.611507,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:16.706398,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:17.719405,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:18.734269,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 234.28571428571428)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.083333333333336)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:19.710936,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 26.833333333333332)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:20.695470,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:21.694144,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:22.692629,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:23.741786,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:24.802156,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:25.868011,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:26.929931,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:27.973663,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:29.032792,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:30.027093,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:31.051449,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:32.054508,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:33.082916,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:34.058838,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:35.024297,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:35.992725,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:36.963534,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:37.984523,"(2.4, 3.35, 2.5341666666666667)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:38.985236,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 28.416666666666668)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 19.666666666666668)"
15-12-2022 14:55:40.026739,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 33.291666666666664)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:41.012413,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 23.058823529411764)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:42.038106,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.454545454545453)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:43.016216,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.454545454545453)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:43.989081,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.454545454545453)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:44.929859,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.454545454545453)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:45.911169,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.454545454545453)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:46.905855,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.454545454545453)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:47.943279,"(2.4, 3.35, 2.5588888888888888)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.454545454545453)","(16.0, 38.0, 29.153846153846153)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 34.269230769230774)","(11.0, 24.0, 13.583333333333334)"
15-12-2022 14:55:48.952509,"(2.4, 3.15, 2.5689473684210524)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.65)","(16.0, 38.0, 25.5)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 26.0)","(11.0, 24.0, 17.055555555555557)"
15-12-2022 14:55:49.981860,"(2.4, 3.15, 2.5689473684210524)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.65)","(16.0, 38.0, 25.5)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 26.0)","(11.0, 24.0, 17.055555555555557)"
15-12-2022 14:55:50.964458,"(2.4, 3.15, 2.5689473684210524)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.65)","(16.0, 38.0, 25.5)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 26.0)","(11.0, 24.0, 17.055555555555557)"
15-12-2022 14:55:51.979029,"(2.4, 3.15, 2.5689473684210524)","(4.0, 7.8, 7.566666666666666)","(15.0, 36.0, 16.65)","(16.0, 38.0, 25.5)","(71.0, 460.0, 108.88888888888889)","(3.0, 4.9, 3.95)","(15.0, 46.0, 26.0)","(11.0, 24.0, 17.055555555555557)"
