,Ebby Collerson,Levente,Quest For Extra,Court Jester,Local Doll,Wishing You,Miss Blue Fancy,Agera
07-01-2023 09:07:48.956711,"(11.0, 21.0, 12.2)","(26.0, 90.0, 51.714285714285715)","(1.95, 2.46, 2.051111111111111)","(21.0, 80.0, 60.0)","(3.6, 8.6, 6.531818181818181)","(4.6, 7.4, 4.9)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:49.986769,"(11.0, 21.0, 12.2)","(26.0, 90.0, 51.714285714285715)","(1.95, 2.46, 2.051111111111111)","(21.0, 80.0, 60.0)","(3.6, 8.6, 6.531818181818181)","(4.6, 7.4, 4.68125)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:51.034124,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0538461538461537)","(21.0, 80.0, 60.0)","(3.6, 8.2, 7.0)","(4.6, 7.4, 5.110526315789474)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:51.999204,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0538461538461537)","(21.0, 80.0, 60.0)","(3.6, 8.2, 7.0)","(4.6, 7.4, 5.110526315789474)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:52.992885,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0538461538461537)","(21.0, 80.0, 60.0)","(3.6, 8.2, 7.0)","(4.6, 7.4, 5.066666666666666)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:53.983648,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.043783783783784)","(21.0, 80.0, 60.0)","(3.6, 8.2, 7.0)","(4.6, 7.4, 5.066666666666666)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:54.974817,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.043783783783784)","(21.0, 80.0, 60.0)","(3.6, 8.2, 7.0)","(4.6, 7.8, 5.017391304347826)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:56.003576,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.043783783783784)","(21.0, 80.0, 60.0)","(3.6, 8.2, 7.0)","(4.6, 7.6, 5.6)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:57.055185,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 60.0)","(3.6, 8.2, 7.0)","(4.6, 7.6, 5.6)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:58.098940,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.0)","(4.6, 7.6, 5.6)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:59.102612,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.0)","(4.6, 7.6, 5.6)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:00.108739,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.0)","(4.6, 7.6, 5.6)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:01.046415,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.0)","(4.6, 7.6, 5.6)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:01.983291,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.6)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:02.915474,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.114285714285715)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:03.862589,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:04.792368,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:05.743605,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:06.696338,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 62.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:08:07.631539,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 51.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 21.25)"
07-01-2023 09:08:08.574289,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 51.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 16.8)"
07-01-2023 09:08:09.542208,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 51.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 16.8)"
07-01-2023 09:08:10.476137,"(11.0, 21.0, 12.2)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 51.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 30.0, 16.8)"
07-01-2023 09:08:11.530071,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 51.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 28.0, 16.4)"
07-01-2023 09:08:12.531171,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 51.0)","(3.6, 8.2, 7.619999999999999)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 28.0, 16.4)"
07-01-2023 09:08:13.504335,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 51.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 28.0, 16.4)"
07-01-2023 09:08:14.580212,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 50.05882352941177)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 28.0, 16.4)"
07-01-2023 09:08:15.572603,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 50.05882352941177)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 28.0, 15.05)"
07-01-2023 09:08:16.568604,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 54.266666666666666)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 50.05882352941177)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:17.563091,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 50.05882352941177)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:18.550540,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 50.05882352941177)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:19.547135,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 50.05882352941177)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:20.543761,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 50.05882352941177)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:21.505385,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 35.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:22.475057,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:23.445332,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:24.399947,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:25.354930,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:26.307940,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:27.278207,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:28.202512,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:29.160283,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:30.111808,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:31.120503,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:32.112922,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:33.092844,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.284210526315789)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:34.076023,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:35.227979,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:36.284898,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:37.293121,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:38.334684,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:39.638378,"(11.0, 21.0, 13.0)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:40.808758,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:42.075856,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:43.248205,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:44.321005,"(11.0, 21.0, 13.666666666666666)","(26.0, 90.0, 42.72727272727273)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:45.386338,"(11.0, 21.0, 12.2)","(26.0, 90.0, 50.61538461538461)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:46.348742,"(11.0, 21.0, 13.0)","(26.0, 90.0, 50.61538461538461)","(1.95, 2.46, 2.0030555555555556)","(21.0, 80.0, 36.0)","(3.6, 8.2, 7.2333333333333325)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:47.378675,"(11.0, 21.0, 13.0)","(26.0, 90.0, 50.61538461538461)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 5.285714285714286)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:48.470113,"(11.0, 21.0, 13.0)","(26.0, 90.0, 50.61538461538461)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 5.285714285714286)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:49.571060,"(11.0, 21.0, 13.0)","(26.0, 90.0, 50.61538461538461)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 34.63636363636364)","(3.6, 8.2, 5.285714285714286)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
07-01-2023 09:08:50.725621,"(11.0, 21.0, 12.2)","(26.0, 90.0, 58.0)","(1.95, 2.46, 2.0030555555555556)","(21.0, 75.0, 38.0)","(3.6, 8.2, 5.285714285714286)","(4.6, 7.6, 5.733333333333333)","(14.0, 30.0, 26.6)","(13.0, 29.0, 15.05)"
