,List Of Secrets,General Payton,Devon Lass,Magic Lies,Top Faith,Furious Angel,Jax
05-01-2023 15:53:24.676218,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:25.733481,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:26.746545,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:27.790803,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:28.840269,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:29.849254,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:30.890437,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:31.964969,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:32.982938,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:34.042590,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:34.971150,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:35.971224,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:37.029791,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:38.113543,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:39.125209,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:40.270140,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:41.294184,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.8, 3.84)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:42.470604,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.8, 3.84)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:43.784171,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:45.190637,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:46.288816,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:47.264251,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:48.404452,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:49.623205,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:50.703977,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:51.766947,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:52.791530,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:53.919538,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:54.953819,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:55.943569,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:56.958768,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:58.128902,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:59.358403,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:00.503558,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:01.739188,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:02.826767,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:03.957650,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:05.128954,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:06.483033,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:07.598380,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:08.780588,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:10.101317,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.4125)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:11.451207,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.44)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:12.856909,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.37)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:13.953623,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:15.052309,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:16.264093,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:17.421611,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:18.514210,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:19.695326,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:20.822964,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:21.977927,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:23.101997,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:24.166671,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:25.291159,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:26.492658,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:27.671030,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:28.782737,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:29.868547,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:30.996955,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:32.178798,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:33.249967,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:34.338038,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:35.451712,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:36.554554,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:37.648339,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:38.655143,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:39.671283,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:41.046452,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 4.233333333333333)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:42.495713,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.6, 3.8200000000000003)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:43.695287,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.24)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:44.800057,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.24)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:45.848030,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 8.9)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.24)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:46.947441,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 4.24)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:47.976522,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:48.999706,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:50.101706,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:51.139593,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:52.230487,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:53.265197,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:54.311226,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:55.375398,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:54:56.537002,"(5.5, 9.2, 7.966666666666667)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.5238095238095237)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
