,Emiko,Chief Bronie,Not Today,Zulu Boy,Casual Glance,Sketchy Zara,Fernandos Gal,Murphey
05-01-2023 14:23:02.410649,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:03.443861,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:04.511671,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:05.563101,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:06.629470,"(6.0, 19.0, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:07.795484,"(6.0, 19.0, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:09.109071,"(6.0, 19.0, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:10.262659,"(6.0, 19.0, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:11.402688,"(6.0, 19.0, 13.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:12.658673,"(6.0, 19.0, 13.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:13.826217,"(6.0, 19.0, 13.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:14.927277,"(6.0, 19.0, 13.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:16.004509,"(6.0, 19.0, 13.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:17.065653,"(6.0, 19.0, 13.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:18.142105,"(6.0, 19.0, 13.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.6807092198581561)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:19.158520,"(6.0, 19.0, 14.90909090909091)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.6807092198581561)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:20.212469,"(6.0, 19.0, 14.90909090909091)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:21.200432,"(6.0, 19.0, 14.90909090909091)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:22.149453,"(6.0, 19.0, 14.90909090909091)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:23.259585,"(6.0, 19.0, 14.90909090909091)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:24.271852,"(6.0, 19.0, 14.90909090909091)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:25.549954,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:26.858795,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:27.970832,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:29.239361,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:30.428403,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:31.603985,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:32.757294,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:33.852441,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:34.949898,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:35.952132,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:36.979033,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:38.036153,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:39.148633,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:40.222120,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:41.387762,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:42.500281,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:43.628088,"(6.0, 19.0, 15.458333333333334)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:44.746073,"(6.0, 19.0, 15.666666666666666)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:45.865859,"(6.0, 16.0, 15.375)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:47.004061,"(6.0, 16.0, 15.375)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:48.181398,"(6.0, 16.0, 15.375)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:49.295602,"(6.0, 16.0, 15.375)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:50.449743,"(6.0, 16.0, 15.375)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:51.801464,"(6.0, 19.0, 14.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:52.979820,"(6.0, 19.0, 14.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:54.099995,"(6.0, 19.0, 14.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:55.190132,"(6.0, 19.0, 14.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:56.322820,"(6.0, 19.0, 14.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:57.355347,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:58.398912,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:59.529670,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:00.655478,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:01.756698,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:02.920739,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:04.102350,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:05.251444,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5352688172043012)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:06.441949,"(6.0, 17.5, 15.75)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.5356989247311827)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:07.609150,"(6.0, 17.5, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.06, 1.5356989247311827)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:08.882954,"(6.0, 17.5, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.06, 1.5356989247311827)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:10.076506,"(6.0, 17.5, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.06, 1.5356989247311827)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:11.186802,"(6.0, 17.5, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.06, 1.5561111111111112)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:12.313656,"(6.0, 17.5, 13.125)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.0, 1.5561111111111112)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:24:13.437207,"(6.0, 17.5, 14.772727272727273)","(101.0, 650.0, 372.5)","(5.0, 8.6, 6.75)","(31.0, 340.0, 246.0)","(1.45, 2.0, 1.5561111111111112)","(51.0, 440.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 10.366666666666667)"
05-01-2023 14:24:14.500845,"(6.0, 17.0, 15.625)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 330.0, 246.0)","(1.45, 2.0, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
05-01-2023 14:24:15.545001,"(6.0, 17.0, 15.625)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 340.0, 125.41176470588235)","(1.45, 1.99, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
05-01-2023 14:24:16.618759,"(6.0, 17.0, 15.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 340.0, 125.41176470588235)","(1.45, 1.99, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
05-01-2023 14:24:17.674351,"(6.0, 17.0, 15.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 340.0, 125.41176470588235)","(1.45, 1.99, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
05-01-2023 14:24:18.675463,"(6.0, 17.0, 15.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 340.0, 125.41176470588235)","(1.45, 1.99, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
05-01-2023 14:24:19.784408,"(6.0, 17.0, 15.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 340.0, 125.41176470588235)","(1.45, 1.99, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
05-01-2023 14:24:20.897225,"(6.0, 17.0, 15.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 340.0, 125.41176470588235)","(1.45, 1.99, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
05-01-2023 14:24:21.931898,"(6.0, 17.0, 15.88888888888889)","(101.0, 650.0, 372.5)","(5.0, 8.4, 6.75)","(31.0, 340.0, 125.41176470588235)","(1.45, 1.99, 1.622)","(51.0, 430.0, 148.75)","(19.0, 60.0, 31.636363636363637)","(6.0, 11.5, 10.366666666666667)"
