,Whitestarchristian,Bettor Be Lively,Longtan Cassanova,Dont Tell Alice,Shazzam,Uncle Leo,Joonior Brown
12-01-2023 13:28:19.429918,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:20.488500,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:21.519941,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:22.725891,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:23.730231,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:24.729097,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:25.753959,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:26.780386,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:27.740613,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:28.790700,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:29.895943,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:30.902016,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:31.895881,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:32.925473,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:33.839091,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:35.012868,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:36.207837,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:37.241377,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:38.161277,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:39.358875,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:40.504655,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:41.536175,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:42.592134,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:43.774877,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:44.855753,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:45.970591,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:47.004615,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:48.014330,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:49.077472,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:50.042105,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:51.068109,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:52.130809,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:53.207259,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:54.256886,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:55.385343,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:56.325314,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:57.297597,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:58.352214,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:59.399899,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:00.546011,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:01.691174,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:02.809657,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:03.729302,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:04.747731,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:05.868930,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:06.902497,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:07.954699,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:09.061053,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:10.091541,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:11.119886,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:12.160642,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:13.272607,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:14.224656,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:15.272737,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:16.312067,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:17.278533,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:18.308484,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:19.383122,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:20.417112,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:21.386244,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:22.354185,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:23.343338,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:24.426335,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:25.567701,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:26.617248,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:27.666361,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:28.657605,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:29.763116,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:30.834314,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:31.826607,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:32.902820,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:33.978416,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:34.958662,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:36.076696,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:37.245713,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:38.351335,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:39.354097,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:40.296212,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:41.278387,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:42.315881,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:43.448829,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:44.531220,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:45.612843,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
12-01-2023 13:29:46.641742,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 17.5)","(3.5, 5.7, 5.05)"
